,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
0,A.J. Lawson,DAL,13,4.8,5,8,0.1,0.0,0.6,0.4,0.4,100.0
1,AJ Green,MIL,32,9.4,25,7,0.2,0.0,1.0,0.8,1.0,77.4
2,AJ Griffin,ATL,65,19.4,30,35,0.6,0.2,1.6,1.5,2.0,75.4
3,Aaron Gordon,DEN,61,30.1,42,19,0.8,0.7,4.2,1.9,3.0,62.3
4,Aaron Holiday,ATL,56,13.7,29,27,0.6,0.2,0.8,0.8,1.0,78.2
5,Aaron Nesmith,IND,65,24.7,28,37,0.8,0.4,3.0,1.8,2.8,63.2
6,Aaron Wiggins,OKC,62,18.3,33,29,0.5,0.2,2.1,1.3,2.3,57.2
7,Admiral Schofield,ORL,31,11.9,12,19,0.2,0.1,1.1,1.1,1.4,77.3
8,Al Horford,BOS,58,30.8,41,17,0.5,0.9,5.0,2.8,4.8,59.1
9,Alec Burks,DET,50,22.0,12,38,0.8,0.2,2.8,1.8,2.5,71.5
10,Aleksej Pokusevski,OKC,31,21.9,15,16,0.6,1.3,3.6,3.5,5.7,61.0
11,Alex Caruso,CHI,59,23.9,27,32,1.5,0.6,2.4,1.2,1.9,62.3
12,Alex Len,SAC,18,3.2,12,6,0.0,0.0,0.7,0.3,0.6,60.0
13,Alize Johnson,SAS,4,7.4,1,3,0.3,0.0,2.0,0.0,1.8,0.0
14,Alondes Williams,BKN,1,5.3,1,0,0.0,0.0,1.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,67,28.5,14,53,0.9,0.9,5.5,3.8,6.0,63.9
16,Amir Coffey,LAC,46,13.0,24,22,0.2,0.1,0.8,0.6,0.9,70.0
17,Andre Drummond,CHI,60,12.7,28,32,0.7,0.4,4.6,1.4,2.2,60.9
18,Andre Iguodala,GSW,7,13.5,2,5,0.4,0.3,1.4,1.6,2.0,78.6
19,Andrew Nembhard,IND,67,27.2,30,37,0.9,0.2,2.2,1.3,2.0,64.4
20,Andrew Wiggins,GSW,36,32.3,18,18,1.2,0.7,3.4,2.2,3.1,69.6
21,Anfernee Simons,POR,62,35.0,27,35,0.7,0.2,2.3,2.3,3.1,74.5
22,Anthony Davis,LAL,48,33.8,25,23,1.0,2.0,9.1,4.0,7.0,56.4
23,Anthony Edwards,MIN,71,36.0,35,36,1.6,0.7,5.3,2.2,3.1,70.6
24,Anthony Gill,WAS,51,9.9,19,32,0.1,0.2,0.9,0.7,1.1,60.3
25,Anthony Lamb,GSW,54,19.8,30,24,0.5,0.3,2.6,2.4,3.4,68.6
26,Austin Reaves,LAL,56,28.1,29,27,0.6,0.3,2.5,1.8,2.4,77.3
27,Austin Rivers,MIN,52,19.5,25,27,0.5,0.1,1.5,0.8,1.0,76.9
28,Ayo Dosunmu,CHI,70,26.8,34,36,0.8,0.3,2.2,1.4,2.2,64.3
29,Bam Adebayo,MIA,69,35.2,37,32,1.2,0.9,6.9,2.7,4.2,64.6
30,Ben Simmons,BKN,42,26.3,24,18,1.3,0.6,5.3,1.7,3.0,57.5
31,Bennedict Mathurin,IND,70,27.8,31,39,0.6,0.1,2.9,1.7,2.6,67.6
32,Bismack Biyombo,PHX,53,13.9,26,27,0.3,1.3,2.8,1.6,3.5,45.9
33,Blake Griffin,BOS,34,14.3,21,13,0.4,0.2,2.6,1.4,2.0,67.6
34,Blake Wesley,SAS,28,17.5,6,22,0.6,0.1,1.8,0.7,1.0,71.4
35,Boban Marjanovic,HOU,26,5.0,4,22,0.2,0.0,1.2,0.3,0.5,69.2
36,Bobby Portis,MIL,62,25.9,42,20,0.4,0.2,7.3,2.3,3.3,69.1
37,Bogdan Bogdanovic,ATL,47,28.3,23,24,0.8,0.4,2.7,1.9,2.6,73.8
38,Bojan Bogdanovic,DET,58,32.0,15,43,0.6,0.1,3.2,1.9,2.6,76.4
39,Bol Bol,ORL,67,21.4,26,41,0.4,1.2,4.8,1.9,2.8,67.0
40,Bones Hyland,LAC,48,19.1,31,17,0.7,0.3,1.9,1.6,1.9,84.4
41,Bradley Beal,WAS,50,33.5,24,26,0.9,0.7,3.1,1.4,2.0,69.3
