,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
0,A.J. Lawson,DAL,13,4.8,5,8,0.1,0.0,0.6,0.4,0.4,100.0
1,AJ Green,MIL,29,9.8,23,6,0.2,0.0,1.0,0.8,1.1,77.4
2,AJ Griffin,ATL,58,20.2,27,31,0.7,0.1,1.6,1.6,2.1,76.7
3,Aaron Gordon,DEN,51,30.1,37,14,0.8,0.8,4.5,1.9,3.2,61.1
4,Aaron Holiday,ATL,51,14.3,27,24,0.5,0.2,0.9,0.8,1.0,76.5
5,Aaron Nesmith,IND,56,24.5,24,32,0.8,0.4,2.9,1.6,2.6,61.5
6,Aaron Wiggins,OKC,50,18.8,25,25,0.5,0.2,2.1,1.3,2.2,58.3
7,Admiral Schofield,ORL,29,12.3,11,18,0.2,0.1,1.1,1.1,1.4,76.2
8,Al Horford,BOS,49,30.8,35,14,0.5,0.9,5.0,2.6,4.5,57.2
9,Alec Burks,DET,49,22.0,12,37,0.8,0.1,2.7,1.8,2.5,71.9
10,Aleksej Pokusevski,OKC,31,21.9,15,16,0.6,1.3,3.6,3.5,5.7,61.0
11,Alex Caruso,CHI,52,24.2,22,30,1.6,0.6,2.5,1.3,2.1,63.6
12,Alex Len,SAC,14,3.4,9,5,0.0,0.0,0.8,0.4,0.6,55.6
13,Alize Johnson,SAS,4,7.4,1,3,0.3,0.0,2.0,0.0,1.8,0.0
14,Alondes Williams,BKN,1,5.3,1,0,0.0,0.0,1.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,57,28.2,10,47,0.8,0.9,5.5,3.9,6.0,64.3
16,Amir Coffey,LAC,41,13.9,21,20,0.2,0.1,0.9,0.7,1.0,69.2
17,Andre Drummond,CHI,50,13.0,22,28,0.7,0.3,4.6,1.5,2.2,65.2
18,Andre Iguodala,GSW,2,12.3,0,2,0.0,0.0,1.0,1.0,1.5,66.7
19,Andrew Nembhard,IND,56,27.0,25,31,1.0,0.2,2.2,1.3,2.1,64.3
20,Andrew Wiggins,GSW,36,32.3,18,18,1.2,0.7,3.4,2.2,3.1,69.6
21,Anfernee Simons,POR,57,35.3,27,30,0.7,0.2,2.4,2.3,3.2,73.9
22,Anthony Davis,LAL,38,33.3,18,20,1.1,2.1,9.2,4.1,7.1,57.4
23,Anthony Edwards,MIN,64,36.4,32,32,1.7,0.7,5.3,2.2,3.1,71.9
24,Anthony Gill,WAS,42,10.0,17,25,0.1,0.2,0.8,0.7,1.1,63.8
25,Anthony Lamb,GSW,46,19.8,25,21,0.5,0.3,2.5,2.4,3.5,68.7
26,Austin Reaves,LAL,45,27.6,22,23,0.6,0.4,2.3,1.8,2.4,76.4
27,Austin Rivers,MIN,49,20.4,24,25,0.6,0.1,1.6,0.8,1.1,76.9
28,Ayo Dosunmu,CHI,60,27.9,28,32,0.7,0.4,2.5,1.5,2.4,65.2
29,Bam Adebayo,MIA,58,35.0,30,28,1.2,0.8,7.2,2.7,4.2,64.0
