,PLAYER,TEAM,GP,W,L,MIN,REB,Contested REB,Contested REB%,REB Chances,REB Chance%,Deferred REB Chances,Adjusted REB Chance%,AVG REB Distance
0,A.J. Lawson,DAL,13,5,8,4.8,0.8,0.4,50.0,1.3,58.8,0.2,71.4,5.6
1,AJ Green,MIL,33,26,7,9.7,1.2,0.4,35.9,2.5,47.6,0.2,52.7,8.4
2,AJ Griffin,ATL,69,32,37,19.2,2.1,0.6,26.2,3.7,57.3,0.2,60.4,8.6
3,Aaron Gordon,DEN,66,45,21,30.2,6.6,3.0,45.0,10.6,62.1,0.5,65.3,5.8
4,Aaron Holiday,ATL,59,30,29,13.3,1.2,0.3,21.1,2.5,48.3,0.2,51.8,10.0
5,Aaron Nesmith,IND,70,29,41,25.0,3.8,1.2,31.6,8.0,47.2,0.8,52.3,6.9
6,Aaron Wiggins,OKC,67,35,32,18.4,3.0,1.3,41.8,5.8,51.4,0.5,56.5,7.3
7,Admiral Schofield,ORL,34,14,20,11.5,1.6,0.6,39.3,4.1,40.3,0.3,43.4,6.9
8,Al Horford,BOS,61,43,18,30.5,6.2,2.1,34.2,10.2,60.4,1.0,66.7,6.4
9,Alec Burks,DET,50,12,38,22.0,3.1,0.8,24.5,5.1,60.5,0.2,63.3,7.7
10,Aleksej Pokusevski,OKC,34,16,18,20.6,4.7,2.1,45.9,9.3,50.3,1.1,57.0,5.0
11,Alex Caruso,CHI,63,30,33,23.8,3.0,0.5,18.3,5.6,53.1,0.5,57.9,9.4
12,Alex Len,SAC,22,14,8,4.9,1.6,0.6,38.9,2.9,56.3,0.1,58.1,5.4
13,Alize Johnson,SAS,4,1,3,7.4,2.5,0.8,30.0,4.5,55.6,0.3,58.8,3.8
14,Alondes Williams,BKN,1,1,0,5.3,1.0,0.0,0.0,1.0,100.0,0.0,100.0,7.0
15,Alperen Sengun,HOU,72,15,57,28.9,8.8,4.1,46.9,15.9,55.6,1.2,60.2,5.2
16,Amir Coffey,LAC,49,25,24,12.7,1.1,0.2,20.8,2.2,48.6,0.1,52.0,10.5
17,Andre Drummond,CHI,64,31,33,12.7,6.7,3.5,52.8,9.7,69.3,0.4,72.3,4.1
18,Andre Iguodala,GSW,7,2,5,13.5,1.9,0.4,23.1,3.9,48.1,0.6,56.5,7.3
19,Andrew Nembhard,IND,72,31,41,27.4,2.6,0.5,17.5,4.8,54.6,0.4,59.4,9.8
20,Andrew Wiggins,GSW,36,18,18,32.3,5.0,1.6,32.6,9.8,51.4,0.8,55.9,7.1
21,Anfernee Simons,POR,62,27,35,35.0,2.6,0.5,21.1,4.8,54.0,0.4,59.2,9.5
22,Anthony Davis,LAL,52,28,24,33.9,12.4,6.9,55.7,20.1,61.6,1.5,66.6,4.3
23,Anthony Edwards,MIN,76,37,39,36.1,5.7,1.2,20.9,9.9,57.9,0.8,62.8,7.0
24,Anthony Gill,WAS,55,20,35,9.9,1.6,0.6,39.5,3.1,50.6,0.3,55.8,6.0
25,Anthony Lamb,GSW,58,32,26,19.7,3.5,1.4,38.7,7.3,48.5,0.7,53.4,6.6
26,Austin Reaves,LAL,60,32,28,28.4,3.0,0.4,13.7,5.9,51.6,0.6,57.4,9.2
