,PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,13,5,8,4.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,30,24,6,9.7,0.3,0.0,0.0,100.0,0.0,0.0,0.0,0.1,20.0,0.3,80.0,0.0,0.0,0.0,10.0,0.0,0.0
2,AJ Griffin,ATL,61,28,33,19.4,2.8,0.9,1.7,49.5,0.3,0.4,86.4,2.0,72.1,0.7,24.4,0.1,4.1,0.2,5.8,0.2,6.4
3,Aaron Gordon,DEN,56,39,17,30.0,3.3,0.8,1.5,56.6,0.6,1.1,58.3,2.4,73.4,0.9,27.2,0.3,8.7,0.3,8.2,0.5,15.8
4,Aaron Holiday,ATL,54,28,26,13.6,3.2,0.5,1.2,40.9,0.2,0.2,75.0,1.2,38.5,1.6,48.3,0.2,7.5,0.2,6.3,0.1,3.4
5,Aaron Nesmith,IND,60,26,34,24.6,3.9,0.7,1.7,43.4,0.5,0.6,80.6,2.0,50.0,1.5,38.0,0.3,7.7,0.3,8.1,0.3,7.7
6,Aaron Wiggins,OKC,56,30,26,18.9,3.0,0.6,1.3,47.2,0.2,0.3,75.0,1.4,47.9,1.2,38.5,0.3,10.1,0.3,8.3,0.1,4.7
7,Admiral Schofield,ORL,31,12,19,11.9,0.8,0.3,0.5,60.0,0.2,0.2,100.0,0.8,104.2,0.1,16.7,0.0,0.0,0.0,4.2,0.1,12.5
8,Al Horford,BOS,54,37,17,31.0,1.4,0.3,0.5,58.6,0.1,0.1,50.0,0.7,48.1,0.8,54.5,0.2,14.3,0.0,0.0,0.1,3.9
9,Alec Burks,DET,50,12,38,22.0,4.8,1.0,2.1,49.0,0.8,1.1,75.9,3.0,63.1,1.7,36.1,0.4,9.1,0.3,5.4,0.6,11.6
10,Aleksej Pokusevski,OKC,31,15,16,21.9,2.8,0.4,1.2,34.2,0.2,0.3,70.0,1.1,38.4,1.1,39.5,0.2,8.1,0.2,7.0,0.2,5.8
11,Alex Caruso,CHI,56,24,32,24.2,2.4,0.2,0.6,39.4,0.3,0.3,94.4,0.8,33.6,1.3,55.2,0.4,15.7,0.2,9.0,0.2,6.7
12,Alex Len,SAC,16,10,6,3.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Alize Johnson,SAS,4,1,3,7.4,1.0,0.3,0.3,100.0,0.0,0.0,0.0,0.5,50.0,0.5,50.0,0.3,25.0,0.0,0.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
