,PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,13,5,8,4.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,29,23,6,9.8,0.3,0.0,0.0,100.0,0.0,0.0,0.0,0.1,22.2,0.2,77.8,0.0,0.0,0.0,11.1,0.0,0.0
2,AJ Griffin,ATL,59,28,31,19.9,2.9,0.9,1.8,50.0,0.3,0.3,85.0,2.1,71.8,0.7,24.7,0.1,4.1,0.2,5.9,0.2,5.9
3,Aaron Gordon,DEN,52,38,14,30.0,3.3,0.8,1.5,57.9,0.7,1.1,58.6,2.5,74.4,0.9,27.9,0.3,8.7,0.3,8.7,0.5,16.3
4,Aaron Holiday,ATL,52,28,24,14.0,3.3,0.5,1.3,40.9,0.2,0.2,75.0,1.3,39.0,1.6,47.7,0.3,7.6,0.2,6.4,0.1,3.5
5,Aaron Nesmith,IND,57,24,33,24.4,3.9,0.7,1.6,41.9,0.5,0.6,84.4,1.9,48.2,1.5,38.7,0.3,7.7,0.3,8.1,0.3,7.2
6,Aaron Wiggins,OKC,51,26,25,19.0,3.0,0.6,1.3,48.4,0.2,0.3,78.6,1.5,48.4,1.2,39.9,0.3,10.5,0.2,7.8,0.1,4.6
7,Admiral Schofield,ORL,30,12,18,12.0,0.8,0.3,0.5,60.0,0.2,0.2,100.0,0.8,104.2,0.1,16.7,0.0,0.0,0.0,4.2,0.1,12.5
8,Al Horford,BOS,50,35,15,30.8,1.4,0.3,0.5,62.5,0.1,0.1,50.0,0.7,45.8,0.8,58.3,0.2,15.3,0.0,0.0,0.1,4.2
9,Alec Burks,DET,49,12,37,22.0,4.9,1.0,2.1,50.0,0.8,1.1,75.0,3.1,63.0,1.8,36.6,0.4,9.2,0.3,5.5,0.6,11.3
10,Aleksej Pokusevski,OKC,31,15,16,21.9,2.8,0.4,1.2,34.2,0.2,0.3,70.0,1.1,38.4,1.1,39.5,0.2,8.1,0.2,7.0,0.2,5.8
11,Alex Caruso,CHI,53,22,31,24.1,2.4,0.2,0.6,35.5,0.3,0.3,93.8,0.7,29.9,1.3,55.9,0.4,16.5,0.2,8.7,0.2,6.3
12,Alex Len,SAC,14,9,5,3.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Alize Johnson,SAS,4,1,3,7.4,1.0,0.3,0.3,100.0,0.0,0.0,0.0,0.5,50.0,0.5,50.0,0.3,25.0,0.0,0.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,57,10,47,28.2,4.3,1.1,1.9,55.9,0.6,0.8,73.9,2.9,67.5,1.4,33.7,0.4,8.6,0.3,7.4,0.4,9.5
16,Amir Coffey,LAC,43,21,22,13.7,2.4,0.6,1.3,41.4,0.4,0.6,79.2,1.6,64.8,0.7,27.6,0.2,6.7,0.1,4.8,0.3,11.4
17,Andre Drummond,CHI,51,22,29,13.1,0.3,0.1,0.2,40.0,0.0,0.0,100.0,0.2,71.4,0.0,14.3,0.0,7.1,0.0,7.1,0.0,7.1
18,Andre Iguodala,GSW,2,0,2,12.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,50.0,0.0,0.0,0.5,50.0,0.0,0.0
19,Andrew Nembhard,IND,57,25,32,26.9,6.6,0.9,2.3,40.8,0.2,0.3,81.3,2.1,32.4,3.6,54.3,0.8,11.5,0.4,5.3,0.1,2.1
20,Andrew Wiggins,GSW,36,18,18,32.3,4.7,0.6,1.9,34.3,0.3,0.4,71.4,1.6,32.9,2.1,44.7,0.5,11.2,0.4,8.2,0.2,4.1
21,Anfernee Simons,POR,57,27,30,35.3,9.0,2.4,4.5,53.1,0.8,0.9,92.0,5.8,64.1,3.3,37.1,0.8,8.4,0.5,5.5,0.4,4.9
22,Anthony Davis,LAL,39,18,21,33.3,2.7,0.9,1.7,52.2,0.4,0.7,61.5,2.4,89.4,0.5,18.3,0.1,4.8,0.1,3.8,0.3,12.5
23,Anthony Edwards,MIN,65,33,32,36.3,12.3,3.5,6.7,52.8,1.9,2.4,80.5,9.2,75.2,3.2,25.8,0.8,6.4,0.9,7.6,1.2,9.6
24,Anthony Gill,WAS,42,17,25,10.0,0.7,0.1,0.3,46.2,0.2,0.3,75.0,0.5,72.4,0.2,31.0,0.0,6.9,0.0,3.4,0.1,20.7
25,Anthony Lamb,GSW,48,27,21,19.9,2.0,0.4,0.5,69.2,0.1,0.2,70.0,1.0,48.4,1.1,54.7,0.2,8.4,0.1,7.4,0.1,5.3
26,Austin Reaves,LAL,46,22,24,27.5,5.2,0.9,1.7,55.8,0.9,1.0,87.5,3.0,56.7,2.3,43.8,0.5,9.6,0.5,9.6,0.5,10.0
27,Austin Rivers,MIN,49,24,25,20.4,3.5,0.7,1.3,56.5,0.4,0.4,81.8,1.9,53.2,1.8,50.9,0.4,11.0,0.2,5.2,0.2,6.4
