,PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
0,A.J. Lawson,DAL,13,5,8,4.8,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
1,AJ Green,MIL,33,26,7,9.7,1.0,0.4,1.0,38.2,0.2,0.6,33.3,48.5
2,AJ Griffin,ATL,67,31,36,19.3,2.9,1.2,2.5,49.4,0.4,0.8,45.5,56.8
3,Aaron Gordon,DEN,63,44,19,30.0,1.6,0.6,1.6,37.6,0.4,0.9,39.7,49.0
4,Aaron Holiday,ATL,58,30,28,13.5,0.9,0.4,1.0,41.4,0.1,0.3,38.9,47.4
5,Aaron Nesmith,IND,68,28,40,24.9,1.2,0.5,1.1,42.7,0.2,0.5,43.2,53.3
6,Aaron Wiggins,OKC,65,35,30,18.2,0.2,0.1,0.3,35.3,0.1,0.1,50.0,47.1
7,Admiral Schofield,ORL,33,13,20,11.7,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
8,Al Horford,BOS,60,42,18,30.6,0.3,0.1,0.3,44.4,0.1,0.1,60.0,52.8
9,Alec Burks,DET,51,12,39,22.0,4.8,2.0,4.6,42.6,0.9,2.2,39.6,51.9
10,Aleksej Pokusevski,OKC,33,16,17,20.9,0.3,0.2,0.5,27.8,0.0,0.2,20.0,30.6
11,Alex Caruso,CHI,62,29,33,23.8,0.2,0.1,0.4,19.2,0.0,0.2,25.0,25.0
12,Alex Len,SAC,20,13,7,4.0,0.1,0.1,0.1,100,0.0,0.0,-,100
13,Alize Johnson,SAS,4,1,3,7.4,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,0.0,0.0,-,-,-,-,-
15,Alperen Sengun,HOU,70,14,56,28.6,0.4,0.2,0.5,40.0,0.0,0.1,0.0,40.0
16,Amir Coffey,LAC,48,25,23,12.7,0.4,0.2,0.7,28.6,0.0,0.1,16.7,30.0
17,Andre Drummond,CHI,62,29,33,12.8,0.0,0.0,0.0,50.0,0.0,0.0,-,50.0
18,Andre Iguodala,GSW,8,3,5,14.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0
19,Andrew Nembhard,IND,70,30,40,27.3,2.2,1.0,2.8,34.5,0.3,0.9,31.1,39.3
20,Andrew Wiggins,GSW,37,19,18,32.2,2.3,1.1,3.1,33.9,0.2,0.8,24.1,37.0
21,Anfernee Simons,POR,62,27,35,35.0,7.3,2.9,7.4,39.5,1.5,4.1,35.5,49.3
22,Anthony Davis,LAL,50,26,24,33.9,2.5,1.3,3.0,42.6,0.0,0.1,0.0,42.6
23,Anthony Edwards,MIN,74,37,37,36.1,7.3,2.9,8.1,35.5,1.6,4.6,34.0,45.3
24,Anthony Gill,WAS,53,20,33,9.9,0.0,0.0,0.1,14.3,0.0,0.1,0.0,14.3
25,Anthony Lamb,GSW,57,32,25,19.8,0.2,0.1,0.4,25.0,0.1,0.2,30.8,35.0
26,Austin Reaves,LAL,58,30,28,28.3,2.5,1.1,2.4,46.7,0.3,0.7,40.5,52.9
27,Austin Rivers,MIN,52,25,27,19.5,0.2,0.1,0.4,14.3,0.1,0.3,18.8,21.4
28,Ayo Dosunmu,CHI,74,36,38,26.5,0.7,0.4,0.9,38.8,0.0,0.1,50.0,40.3
29,Bam Adebayo,MIA,72,37,35,35.2,2.9,1.4,3.3,43.8,0.0,0.1,0.0,43.8
30,Ben Simmons,BKN,42,24,18,26.3,0.2,0.1,0.4,23.5,0.0,0.0,0.0,23.5
31,Bennedict Mathurin,IND,73,31,42,28.0,2.6,1.0,3.0,34.7,0.6,1.6,34.5,44.1
32,Bismack Biyombo,PHX,56,29,27,14.3,0.0,0.0,0.0,50.0,-,-,-,50.0
33,Blake Griffin,BOS,35,22,13,14.1,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0
34,Blake Wesley,SAS,31,6,25,16.9,0.7,0.3,1.6,20.4,0.1,0.2,40.0,22.4
35,Boban Marjanovic,HOU,27,4,23,5.2,0.2,0.1,0.3,37.5,0.0,0.0,-,37.5
36,Bobby Portis,MIL,65,44,21,25.9,1.5,0.8,2.0,37.7,0.0,0.1,14.3,38.1
37,Bogdan Bogdanovic,ATL,50,25,25,28.2,4.0,1.6,4.0,40.9,0.7,1.8,42.0,50.3
38,Bojan Bogdanovic,DET,59,15,44,32.1,5.4,2.4,5.5,43.7,0.6,1.7,32.7,48.8
39,Bol Bol,ORL,67,26,41,21.4,1.3,0.6,1.6,35.5,0.1,0.5,29.4,40.2
40,Bones Hyland,LAC,51,33,18,19.3,4.1,1.5,4.2,36.0,1.1,2.8,37.9,48.8
41,Bradley Beal,WAS,50,24,26,33.5,7.2,3.2,7.3,44.2,0.7,2.2,33.0,49.2
42,Brandon Boston Jr.,LAC,21,8,13,11.7,2.2,1.0,2.4,40.0,0.3,0.7,46.7,47.0
43,Brandon Clarke,MEM,56,32,24,19.5,0.3,0.1,0.2,61.5,0.0,0.0,-,61.5
44,Brandon Ingram,NOP,39,19,20,33.3,8.3,4.0,9.3,42.6,0.4,1.0,35.0,44.5
45,Braxton Key,DET,3,0,3,3.0,0.7,0.3,0.3,100,-,-,-,100
46,Brook Lopez,MIL,74,54,20,30.5,0.9,0.4,1.0,36.4,0.1,0.3,30.4,40.9
47,Bruce Brown,DEN,74,51,23,28.2,1.3,0.6,1.6,36.8,0.1,0.4,25.8,40.2
48,Bruno Fernando,ATL,35,11,24,10.7,0.1,0.0,0.1,50.0,0.0,0.0,-,50.0
49,Bryce McGowens,CHA,41,15,26,15.4,0.2,0.1,0.5,15.0,0.0,0.2,25.0,20.0
50,Bryn Forbes,MIN,25,9,16,10.7,1.1,0.5,1.3,37.5,0.2,0.6,28.6,43.8
51,Buddy Boeheim,DET,7,1,6,9.8,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0
52,Buddy Hield,IND,75,33,42,31.6,4.5,1.7,4.0,43.1,1.1,2.5,44.1,56.9
53,CJ McCollum,NOP,69,34,35,35.0,8.2,3.5,8.4,42.0,1.1,3.1,37.0,48.8
54,Cade Cunningham,DET,12,3,9,33.3,8.0,3.7,8.8,41.5,0.7,2.8,24.2,45.3
