,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
0,A.J. Lawson,DAL,13,4.8,5,8,0.1,0.0,0.6,0.4,0.4,100.0
1,AJ Green,MIL,33,9.7,26,7,0.2,0.0,1.0,0.8,1.0,78.1
2,AJ Griffin,ATL,69,19.2,32,37,0.6,0.2,1.6,1.5,2.0,74.8
3,Aaron Gordon,DEN,66,30.2,45,21,0.8,0.7,4.1,1.8,3.0,60.8
4,Aaron Holiday,ATL,59,13.3,30,29,0.5,0.2,0.8,0.7,0.9,78.6
5,Aaron Nesmith,IND,70,25.0,29,41,0.8,0.4,2.9,1.9,2.9,65.7
6,Aaron Wiggins,OKC,67,18.4,35,32,0.5,0.2,2.0,1.4,2.4,58.2
7,Admiral Schofield,ORL,34,11.5,14,20,0.2,0.1,1.1,1.0,1.4,74.5
8,Al Horford,BOS,61,30.5,43,18,0.5,1.0,5.0,2.8,4.7,59.0
9,Alec Burks,DET,50,22.0,12,38,0.8,0.2,2.8,1.8,2.5,71.5
10,Aleksej Pokusevski,OKC,34,20.6,16,18,0.6,1.3,3.4,3.3,5.4,61.2
11,Alex Caruso,CHI,63,23.8,30,33,1.5,0.6,2.3,1.2,2.0,61.6
12,Alex Len,SAC,22,4.9,14,8,0.1,0.3,1.2,0.4,0.8,50.0
13,Alize Johnson,SAS,4,7.4,1,3,0.3,0.0,2.0,0.0,1.8,0.0
14,Alondes Williams,BKN,1,5.3,1,0,0.0,0.0,1.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,72,28.9,15,57,0.9,0.9,5.6,4.0,6.2,63.9
16,Amir Coffey,LAC,49,12.7,25,24,0.1,0.1,0.7,0.6,0.8,70.0
17,Andre Drummond,CHI,64,12.7,31,33,0.7,0.4,4.6,1.4,2.3,60.5
18,Andre Iguodala,GSW,7,13.5,2,5,0.4,0.3,1.4,1.6,2.0,78.6
19,Andrew Nembhard,IND,72,27.4,31,41,0.9,0.2,2.2,1.4,2.1,66.4
20,Andrew Wiggins,GSW,36,32.3,18,18,1.2,0.7,3.4,2.2,3.1,69.6
21,Anfernee Simons,POR,62,35.0,27,35,0.7,0.2,2.3,2.3,3.1,74.5
22,Anthony Davis,LAL,52,33.9,28,24,1.0,2.0,8.9,4.0,7.0,57.4
23,Anthony Edwards,MIN,76,36.1,37,39,1.6,0.7,5.2,2.1,3.0,70.9
24,Anthony Gill,WAS,55,9.9,20,35,0.1,0.2,1.0,0.6,1.1,60.3
25,Anthony Lamb,GSW,58,19.7,32,26,0.5,0.3,2.6,2.3,3.4,67.5
26,Austin Reaves,LAL,60,28.4,32,28,0.5,0.3,2.5,1.8,2.3,76.8
27,Austin Rivers,MIN,52,19.5,25,27,0.5,0.1,1.5,0.8,1.0,76.9
28,Ayo Dosunmu,CHI,75,26.3,37,38,0.8,0.3,2.2,1.4,2.3,62.7
29,Bam Adebayo,MIA,72,35.2,37,35,1.2,0.8,6.9,2.8,4.3,64.5
30,Ben Simmons,BKN,42,26.3,24,18,1.3,0.6,5.3,1.7,3.0,57.5
31,Bennedict Mathurin,IND,75,28.2,32,43,0.6,0.2,2.9,1.8,2.7,68.3
32,Bismack Biyombo,PHX,58,14.4,31,27,0.3,1.4,2.8,1.7,3.6,47.6
33,Blake Griffin,BOS,37,14.1,24,13,0.4,0.2,2.6,1.3,1.9,66.7
34,Blake Wesley,SAS,32,17.3,7,25,0.7,0.1,1.7,0.7,1.0,71.0
35,Boban Marjanovic,HOU,29,5.2,5,24,0.1,0.0,1.2,0.4,0.6,72.2
36,Bobby Portis,MIL,67,25.9,45,22,0.4,0.2,7.3,2.3,3.3,68.0
37,Bogdan Bogdanovic,ATL,52,28.0,26,26,0.8,0.3,2.6,2.0,2.6,75.0
38,Bojan Bogdanovic,DET,58,32.0,15,43,0.6,0.1,3.2,1.9,2.6,76.4
39,Bol Bol,ORL,67,21.4,26,41,0.4,1.2,4.8,1.9,2.8,67.0
40,Bones Hyland,LAC,53,19.3,33,20,0.7,0.3,1.9,1.5,1.9,81.2
41,Bradley Beal,WAS,50,33.5,24,26,0.9,0.7,3.1,1.4,2.0,69.3
42,Brandon Boston Jr.,LAC,21,11.7,8,13,0.4,0.0,1.0,0.9,1.2,69.2
43,Brandon Clarke,MEM,56,19.5,32,24,0.6,0.7,3.9,1.8,3.1,57.0
44,Brandon Ingram,NOP,41,33.5,21,20,0.6,0.4,4.8,1.5,2.4,64.9
45,Braxton Key,DET,3,3.0,0,3,0.0,0.0,0.3,0.0,0.0,0.0
46,Brook Lopez,MIL,76,30.3,55,21,0.5,2.5,4.7,4.0,7.9,50.1
47,Bruce Brown,DEN,77,28.3,52,25,1.1,0.6,3.3,1.9,2.7,68.7
48,Bruno Fernando,ATL,36,10.5,11,25,0.2,0.9,2.1,1.3,2.3,57.8
49,Bryce McGowens,CHA,43,15.9,15,28,0.3,0.1,1.4,0.8,1.1,70.2
50,Bryn Forbes,MIN,25,10.7,9,16,0.3,0.1,0.4,0.3,0.5,66.7
51,Buddy Boeheim,DET,8,9.2,1,7,0.3,0.0,0.4,1.1,1.1,100.0
52,Buddy Hield,IND,77,31.4,34,43,1.2,0.3,4.2,2.6,3.7,70.7
53,CJ McCollum,NOP,71,35.1,36,35,0.9,0.5,3.5,2.3,2.8,80.2
54,Cade Cunningham,DET,12,33.3,3,9,0.8,0.6,5.2,2.8,4.1,69.4
55,Caleb Houstan,ORL,48,15.0,20,28,0.2,0.1,1.3,0.9,1.3,68.3
56,Caleb Martin,MIA,67,29.6,35,32,1.0,0.5,3.6,2.4,3.6,67.8
57,Cam Reddish,POR,40,24.7,14,26,1.0,0.4,1.8,1.7,2.5,66.0
58,Cam Thomas,BKN,55,16.4,30,25,0.3,0.1,1.5,1.0,1.4,71.1
59,Cameron Johnson,BKN,39,28.3,23,16,1.1,0.3,3.6,1.7,2.5,68.0
60,Cameron Payne,PHX,46,20.6,26,20,0.7,0.2,2.0,0.8,1.1,76.5
61,Caris LeVert,CLE,73,30.2,44,29,1.0,0.3,3.1,1.5,2.2,70.3
62,Carlik Jones,CHI,3,9.0,1,2,0.0,0.0,0.7,0.0,0.0,0.0
63,Cedi Osman,CLE,74,20.3,46,28,0.5,0.1,1.9,0.8,1.1,70.7
64,Charles Bassey,SAS,35,14.5,9,26,0.5,0.9,3.4,2.1,3.4,61.9
65,Chima Moneke,SAC,2,4.0,1,1,0.0,0.0,0.0,0.5,0.5,100.0
66,Chimezie Metu,SAC,63,10.4,40,23,0.3,0.3,2.3,1.3,2.3,57.1
67,Chris Boucher,TOR,72,20.1,37,35,0.6,0.9,3.5,1.4,2.2,62.1
68,Chris Duarte,IND,46,19.5,19,27,0.5,0.2,2.1,1.7,2.2,76.0
69,Chris Paul,PHX,57,31.9,31,26,1.6,0.4,3.8,1.6,2.1,76.2
70,Chris Silva,DAL,1,3.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
71,Christian Braun,DEN,72,14.9,48,24,0.5,0.2,1.7,0.8,1.1,70.4
72,Christian Koloko,TOR,54,14.0,27,27,0.4,1.0,1.5,1.7,3.1,55.6
73,Christian Wood,DAL,66,26.0,32,34,0.4,1.0,6.1,3.0,5.0,60.6
74,Chuma Okeke,ORL,24,17.8,8,16,0.5,0.4,2.5,1.8,2.5,72.1
75,Clint Capela,ATL,62,26.7,33,29,0.7,1.2,7.1,3.7,6.2,60.5
76,Coby White,CHI,69,23.3,34,35,0.8,0.1,2.6,1.4,1.9,70.9
77,Cody Martin,CHA,7,19.1,2,5,0.6,0.1,2.3,1.1,1.3,88.9
78,Cody Zeller,MIA,13,14.1,5,8,0.2,0.3,2.5,1.7,2.8,61.1
79,Cole Anthony,ORL,58,25.8,28,30,0.6,0.5,4.0,1.2,1.7,72.2
80,Cole Swider,LAL,6,6.7,1,5,0.0,0.0,1.0,0.5,0.5,100.0
81,Collin Sexton,UTA,47,24.0,24,23,0.6,0.1,1.4,0.9,1.3,63.5
82,Corey Kispert,WAS,70,28.4,30,40,0.4,0.1,2.4,1.7,2.8,62.2
83,Cory Joseph,DET,58,19.0,11,47,0.5,0.2,1.4,1.0,1.4,75.9
84,D'Angelo Russell,LAL,68,32.3,37,31,1.0,0.4,2.5,1.9,2.5,76.8
85,Daishen Nix,HOU,55,16.2,13,42,0.5,0.1,1.4,0.9,1.2,74.6
86,Dalano Banton,TOR,28,9.0,15,13,0.5,0.4,1.0,0.8,1.1,68.8
87,Dalen Terry,CHI,33,5.4,16,17,0.2,0.1,0.6,0.3,0.5,61.1
88,Damian Jones,UTA,37,10.4,11,26,0.2,0.5,1.8,0.9,1.8,49.2
89,Damian Lillard,POR,58,36.3,27,31,0.9,0.3,4.0,2.4,3.2,77.6
90,Damion Lee,PHX,71,20.5,39,32,0.4,0.1,2.5,1.7,2.1,81.1
91,Daniel Gafford,WAS,75,20.5,31,44,0.4,1.3,3.4,2.8,5.3,53.4
92,Daniel Theis,IND,7,15.5,1,6,0.3,0.9,2.1,2.7,4.4,61.3
93,Danny Green,CLE,9,9.8,5,4,0.3,0.1,0.6,0.6,0.8,71.4
94,Danuel House Jr.,PHI,52,14.0,35,17,0.3,0.2,1.4,0.7,1.2,63.3
95,Dario Saric,OKC,55,13.9,25,30,0.3,0.1,2.6,1.2,1.7,69.8
96,Darius Bazley,PHX,41,14.2,19,22,0.5,0.8,2.4,1.5,2.6,60.0
97,Darius Days,HOU,4,6.2,0,4,0.0,0.3,1.3,0.3,0.3,100.0
98,Darius Garland,CLE,68,35.4,39,29,1.3,0.1,2.3,1.0,1.4,72.8
99,David Duke Jr.,BKN,20,9.0,8,12,0.4,0.1,0.7,0.5,0.9,58.8
100,David Roddy,MEM,66,17.2,42,24,0.4,0.3,2.0,1.5,1.9,76.4
101,Davion Mitchell,SAC,77,18.0,46,31,0.5,0.2,1.1,0.9,1.2,70.2
102,Davis Bertans,DAL,43,10.4,20,23,0.2,0.1,0.8,0.8,1.3,58.9
103,Davon Reed,LAL,42,8.1,28,14,0.4,0.1,1.2,0.6,0.8,72.7
104,Day'Ron Sharpe,BKN,44,11.4,20,24,0.3,0.7,2.1,1.4,2.0,68.9
105,De'Aaron Fox,SAC,70,33.7,43,27,1.2,0.3,3.7,1.8,2.3,76.2
106,De'Andre Hunter,ATL,65,32.0,35,30,0.5,0.3,3.6,2.0,2.9,69.4
107,De'Anthony Melton,PHI,75,28.1,49,26,1.7,0.5,3.2,1.6,2.4,67.6
108,DeAndre Jordan,DEN,36,14.5,22,14,0.3,0.6,3.8,1.8,2.7,66.7
109,DeMar DeRozan,CHI,70,36.4,35,35,1.1,0.5,4.2,2.1,2.9,73.0
110,Dean Wade,CLE,41,19.9,28,13,0.6,0.5,2.9,2.0,3.0,67.2
111,Deandre Ayton,PHX,65,30.4,34,31,0.6,0.8,7.5,2.9,4.7,61.7
112,Dejounte Murray,ATL,71,36.5,36,35,1.5,0.3,4.6,2.8,3.7,76.5
113,Delon Wright,WAS,49,24.5,25,24,1.9,0.3,2.3,1.8,2.3,76.5
114,Deni Avdija,WAS,76,26.6,33,43,0.9,0.4,5.4,2.8,3.9,70.6
115,Dennis Schroder,LAL,65,29.7,36,29,0.8,0.1,2.2,1.2,1.6,78.4
116,Dennis Smith Jr.,CHA,54,25.7,19,35,1.4,0.5,2.6,1.4,2.2,64.7
117,Deonte Burton,SAC,2,3.3,1,1,0.0,0.0,0.0,0.0,0.0,0.0
118,Dereon Seabron,NOP,5,2.3,2,3,0.0,0.0,0.0,0.2,0.2,100.0
119,Derrick Jones Jr.,CHI,59,13.9,26,33,0.4,0.5,1.4,1.2,1.7,69.9
120,Derrick Rose,NYK,27,12.5,12,15,0.3,0.2,1.2,0.8,1.1,73.3
121,Derrick White,BOS,78,28.3,54,24,0.7,0.9,2.9,2.2,3.4,64.5
122,Desmond Bane,MEM,55,31.5,36,19,1.0,0.4,4.2,1.5,2.1,69.2
123,Devin Booker,PHX,51,34.6,32,19,0.9,0.4,3.6,1.6,2.4,70.0
124,Devin Vassell,SAS,38,31.0,12,26,1.1,0.4,3.7,1.8,2.6,69.1
125,Devon Dotson,WAS,6,8.9,1,5,0.8,0.0,0.7,0.2,0.2,100.0
126,Devonte' Graham,SAS,72,18.2,31,41,0.6,0.2,1.4,0.9,1.2,79.5
127,Dewayne Dedmon,PHI,36,10.9,21,15,0.2,0.5,2.5,1.3,2.1,58.4
128,Dillon Brooks,MEM,71,30.2,45,26,0.9,0.2,2.7,1.2,1.7,71.1
129,Domantas Sabonis,SAC,76,34.9,46,30,0.8,0.5,9.2,5.4,8.3,65.3
130,Dominick Barlow,SAS,24,12.9,3,21,0.3,0.6,1.6,1.3,2.6,50.0
131,Donovan Mitchell,CLE,67,35.7,43,24,1.5,0.4,3.3,1.6,2.0,78.4
132,Donte DiVincenzo,GSW,68,26.3,38,30,1.3,0.1,3.4,1.5,2.3,66.9
133,Dorian Finney-Smith,BKN,64,30.5,30,34,0.8,0.5,3.0,2.6,4.2,63.2
134,Doug McDermott,SAS,62,20.7,19,43,0.2,0.1,1.8,1.2,1.5,78.5
135,Draymond Green,GSW,69,31.6,37,32,1.0,0.8,6.3,2.6,5.0,51.0
136,Drew Eubanks,POR,76,20.1,31,45,0.5,1.2,3.6,3.1,5.3,58.4
137,Dru Smith,BKN,12,10.9,5,7,0.8,0.3,1.4,0.5,1.0,50.0
138,Duane Washington Jr.,NYK,31,12.7,17,14,0.2,0.1,1.1,0.9,1.1,80.0
139,Duncan Robinson,MIA,39,16.0,17,22,0.3,0.0,1.4,1.1,1.4,79.2
140,Dwight Powell,DAL,74,19.4,36,38,0.6,0.4,2.2,2.6,4.1,65.1
141,Dylan Windler,CLE,3,3.5,3,0,0.3,0.0,0.0,0.3,0.3,100.0
142,Dyson Daniels,NOP,56,18.1,31,25,0.8,0.2,2.6,1.5,2.3,66.9
143,Edmond Sumner,BKN,51,14.0,31,20,0.6,0.2,1.3,0.8,1.1,70.9
144,Eric Gordon,LAC,66,28.8,22,44,0.6,0.4,1.7,0.8,0.9,85.5
145,Eugene Omoruyi,DET,38,15.9,10,28,0.7,0.1,1.7,0.7,1.3,53.1
146,Evan Fournier,NYK,24,17.5,14,10,0.6,0.1,1.8,0.7,0.8,85.0
147,Evan Mobley,CLE,77,34.6,47,30,0.8,1.5,6.7,4.2,7.1,60.1
148,Facundo Campazzo,DAL,8,6.5,2,6,0.8,0.0,0.3,0.3,0.3,100.0
149,Frank Jackson,UTA,1,5.1,0,1,0.0,0.0,1.0,0.0,0.0,0.0
