,PLAYER,TEAM,GP,W,L,MIN,Touches,Paint Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,Pass,Pass%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,13,5,8,4.8,4.8,0.2,0.2,0.2,100.0,0.0,0.0,0.0,0.3,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,28,22,6,9.5,12.2,0.3,0.1,0.1,75.0,0.1,0.1,100.0,0.3,88.9,0.1,33.3,0.0,11.1,0.0,11.1,0.0,11.1
2,AJ Griffin,ATL,58,27,31,20.2,21.7,0.6,0.3,0.4,75.0,0.0,0.0,50.0,0.6,100.0,0.2,29.7,0.1,8.1,0.0,2.7,0.0,2.7
3,Aaron Gordon,DEN,51,37,14,30.1,42.5,6.8,3.6,4.7,75.5,0.8,1.5,56.6,8.1,119.0,0.9,12.9,0.2,3.2,0.2,3.2,0.7,10.1
4,Aaron Holiday,ATL,51,27,24,14.3,20.7,0.4,0.1,0.2,41.7,0.0,0.0,100.0,0.2,57.1,0.1,33.3,0.0,0.0,0.0,0.0,0.0,4.8
5,Aaron Nesmith,IND,56,24,32,24.5,34.6,1.1,0.4,0.6,61.1,0.1,0.1,100.0,0.9,88.1,0.2,16.9,0.0,3.4,0.1,10.2,0.1,5.1
6,Aaron Wiggins,OKC,49,25,24,18.7,21.7,2.1,0.7,1.1,63.0,0.2,0.2,81.8,1.6,77.2,0.7,31.7,0.2,8.9,0.1,6.9,0.1,5.0
7,Admiral Schofield,ORL,28,11,17,12.6,19.4,1.0,0.4,0.6,61.1,0.0,0.1,50.0,0.8,82.1,0.3,28.6,0.1,7.1,0.0,0.0,0.0,3.6
8,Al Horford,BOS,48,34,14,30.7,46.4,2.9,0.8,1.3,57.1,0.1,0.1,75.0,1.6,55.1,1.3,43.5,0.4,12.3,0.1,5.1,0.0,1.4
9,Alec Burks,DET,48,12,36,22.1,34.6,0.4,0.1,0.2,44.4,0.0,0.0,0.0,0.2,52.9,0.1,35.3,0.0,5.9,0.0,11.8,0.0,0.0
10,Aleksej Pokusevski,OKC,31,15,16,21.9,44.4,3.4,1.2,2.1,54.5,0.1,0.2,66.7,2.5,72.4,0.8,23.8,0.1,1.9,0.2,6.7,0.1,2.9
11,Alex Caruso,CHI,51,21,30,24.3,45.9,1.3,0.3,0.5,57.7,0.1,0.1,83.3,0.7,54.7,0.6,45.3,0.2,17.2,0.0,3.1,0.1,4.7
12,Alex Len,SAC,14,9,5,3.4,6.1,0.9,0.3,0.3,100.0,0.1,0.1,50.0,0.6,75.0,0.4,50.0,0.1,8.3,0.0,0.0,0.1,8.3
13,Alize Johnson,SAS,4,1,3,7.4,11.5,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,50.0,0.0,0.0,0.3,25.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,56,10,46,28.1,53.9,7.2,2.4,4.2,58.4,0.4,0.6,70.6,5.5,76.0,1.9,26.4,0.6,7.9,0.4,6.2,0.2,3.2
16,Amir Coffey,LAC,41,21,20,13.9,15.2,0.3,0.0,0.1,50.0,0.0,0.0,0.0,0.1,33.3,0.1,50.0,0.0,8.3,0.0,0.0,0.0,0.0
17,Andre Drummond,CHI,49,21,28,13.1,18.4,4.8,2.0,3.2,62.8,0.5,1.1,44.2,4.6,95.3,0.6,12.0,0.1,3.0,0.3,7.3,0.5,11.1
18,Andre Iguodala,GSW,2,0,2,12.3,21.0,1.0,0.5,0.5,100.0,0.0,0.0,0.0,1.0,100.0,0.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Andrew Nembhard,IND,56,25,31,27.0,43.6,0.6,0.2,0.3,60.0,0.0,0.0,0.0,0.3,54.3,0.3,51.4,0.1,11.4,0.0,5.7,0.0,0.0
20,Andrew Wiggins,GSW,36,18,18,32.3,46.2,3.3,1.5,2.4,63.5,0.2,0.3,50.0,3.3,99.2,0.6,18.6,0.1,3.4,0.0,0.8,0.1,4.2
21,Anfernee Simons,POR,56,27,29,35.5,69.2,0.6,0.3,0.4,68.2,0.0,0.0,0.0,0.5,93.8,0.2,28.1,0.0,3.1,0.0,3.1,0.0,0.0
22,Anthony Davis,LAL,38,18,20,33.3,67.5,11.2,5.2,7.4,70.6,2.6,3.1,83.1,13.4,119.2,1.3,11.5,0.2,1.9,0.4,4.0,1.4,12.7
