,PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
0,A.J. Lawson,DAL,13,5,8,4.8,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
1,AJ Green,MIL,33,26,7,9.7,1.0,0.4,1.0,38.2,0.2,0.6,33.3,48.5
2,AJ Griffin,ATL,69,32,37,19.2,2.9,1.2,2.5,49.4,0.4,0.8,46.6,57.3
3,Aaron Gordon,DEN,66,45,21,30.2,1.5,0.6,1.7,34.8,0.3,0.9,39.0,45.1
4,Aaron Holiday,ATL,59,30,29,13.3,0.9,0.4,1.0,40.0,0.1,0.3,35.0,45.8
5,Aaron Nesmith,IND,70,29,41,25.0,1.2,0.5,1.1,42.3,0.2,0.6,42.5,53.2
6,Aaron Wiggins,OKC,67,35,32,18.4,0.2,0.1,0.3,35.3,0.1,0.1,50.0,47.1
7,Admiral Schofield,ORL,34,14,20,11.5,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0
8,Al Horford,BOS,61,43,18,30.5,0.3,0.1,0.3,44.4,0.0,0.1,60.0,52.8
9,Alec Burks,DET,51,12,39,22.0,4.8,2.0,4.6,42.6,0.9,2.2,39.6,51.9
10,Aleksej Pokusevski,OKC,34,16,18,20.6,0.3,0.1,0.5,27.8,0.0,0.1,20.0,30.6
11,Alex Caruso,CHI,64,31,33,23.8,0.2,0.1,0.4,19.2,0.0,0.2,25.0,25.0
12,Alex Len,SAC,22,14,8,4.9,0.1,0.0,0.0,100,0.0,0.0,-,100
13,Alize Johnson,SAS,4,1,3,7.4,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,0.0,0.0,-,-,-,-,-
15,Alperen Sengun,HOU,72,15,57,28.9,0.4,0.2,0.5,40.5,0.0,0.1,0.0,40.5
16,Amir Coffey,LAC,49,25,24,12.7,0.4,0.2,0.7,28.6,0.0,0.1,16.7,30.0
17,Andre Drummond,CHI,64,31,33,12.7,0.0,0.0,0.0,50.0,0.0,0.0,-,50.0
18,Andre Iguodala,GSW,8,3,5,14.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0
19,Andrew Nembhard,IND,72,31,41,27.4,2.2,1.0,2.9,34.5,0.3,0.9,29.7,39.1
20,Andrew Wiggins,GSW,37,19,18,32.2,2.3,1.1,3.1,33.9,0.2,0.8,24.1,37.0
21,Anfernee Simons,POR,62,27,35,35.0,7.3,2.9,7.4,39.5,1.5,4.1,35.5,49.3
22,Anthony Davis,LAL,52,28,24,33.9,2.5,1.3,2.9,42.5,0.0,0.1,0.0,42.5
23,Anthony Edwards,MIN,76,37,39,36.1,7.2,2.8,8.0,35.1,1.6,4.6,33.7,44.8
24,Anthony Gill,WAS,55,20,35,9.9,0.0,0.0,0.1,14.3,0.0,0.1,0.0,14.3
25,Anthony Lamb,GSW,59,33,26,19.8,0.2,0.1,0.3,25.0,0.1,0.2,30.8,35.0
26,Austin Reaves,LAL,60,32,28,28.4,2.5,1.1,2.4,46.8,0.3,0.7,40.5,52.8
27,Austin Rivers,MIN,52,25,27,19.5,0.2,0.1,0.4,14.3,0.1,0.3,18.8,21.4
28,Ayo Dosunmu,CHI,76,38,38,26.3,0.7,0.3,0.9,38.2,0.0,0.1,50.0,39.7
29,Bam Adebayo,MIA,72,37,35,35.2,2.9,1.4,3.3,43.8,0.0,0.1,0.0,43.8
30,Ben Simmons,BKN,42,24,18,26.3,0.2,0.1,0.4,23.5,0.0,0.0,0.0,23.5
31,Bennedict Mathurin,IND,75,32,43,28.2,2.6,1.0,3.0,35.1,0.6,1.6,35.0,44.6
32,Bismack Biyombo,PHX,58,31,27,14.4,0.0,0.0,0.0,50.0,-,-,-,50.0
33,Blake Griffin,BOS,37,24,13,14.1,0.1,0.0,0.2,14.3,0.0,0.2,14.3,21.4
34,Blake Wesley,SAS,33,7,26,17.0,0.7,0.3,1.6,19.2,0.1,0.2,33.3,21.2
35,Boban Marjanovic,HOU,29,5,24,5.2,0.2,0.1,0.3,37.5,0.0,0.0,-,37.5
36,Bobby Portis,MIL,67,45,22,25.9,1.6,0.8,2.0,38.7,0.0,0.1,14.3,39.1
37,Bogdan Bogdanovic,ATL,52,26,26,28.0,3.9,1.6,3.9,41.3,0.8,1.7,43.3,51.0
38,Bojan Bogdanovic,DET,59,15,44,32.1,5.4,2.4,5.5,43.7,0.6,1.7,32.7,48.8
39,Bol Bol,ORL,67,26,41,21.4,1.3,0.6,1.6,35.5,0.1,0.5,29.4,40.2
40,Bones Hyland,LAC,53,33,20,19.3,4.1,1.5,4.2,36.0,1.1,2.8,37.8,48.6
41,Bradley Beal,WAS,50,24,26,33.5,7.2,3.2,7.3,44.2,0.7,2.2,33.0,49.2
42,Brandon Boston Jr.,LAC,21,8,13,11.7,2.2,1.0,2.4,40.0,0.3,0.7,46.7,47.0
43,Brandon Clarke,MEM,56,32,24,19.5,0.3,0.1,0.2,61.5,0.0,0.0,-,61.5
44,Brandon Ingram,NOP,41,21,20,33.5,8.6,4.1,9.5,43.5,0.3,1.0,34.1,45.3
45,Braxton Key,DET,3,0,3,3.0,0.7,0.3,0.3,100,-,-,-,100
46,Brook Lopez,MIL,76,55,21,30.3,0.9,0.4,1.1,38.3,0.1,0.3,30.4,42.6
47,Bruce Brown,DEN,77,52,25,28.3,1.2,0.6,1.6,35.0,0.1,0.4,25.0,38.2
48,Bruno Fernando,ATL,36,11,25,10.5,0.1,0.0,0.1,50.0,0.0,0.0,-,50.0
49,Bryce McGowens,CHA,43,15,28,15.9,0.3,0.1,0.5,17.4,0.1,0.2,30.0,23.9
50,Bryn Forbes,MIN,25,9,16,10.7,1.1,0.5,1.3,37.5,0.2,0.6,28.6,43.8
51,Buddy Boeheim,DET,8,1,7,9.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0
52,Buddy Hield,IND,77,34,43,31.4,4.4,1.7,3.9,43.1,1.1,2.4,43.9,56.9
53,CJ McCollum,NOP,71,36,35,35.1,8.0,3.5,8.3,41.7,1.1,3.0,36.6,48.3
54,Cade Cunningham,DET,12,3,9,33.3,8.0,3.7,8.8,41.5,0.7,2.8,24.2,45.3
