,PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
0,A.J. Lawson,DAL,13,5,8,4.8,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
1,AJ Green,MIL,31,25,6,9.5,1.1,0.4,1.1,38.2,0.2,0.7,33.3,48.5
2,AJ Griffin,ATL,61,28,33,19.4,2.9,1.2,2.5,50.7,0.4,0.8,46.8,58.0
3,Aaron Gordon,DEN,57,39,18,30.1,1.7,0.6,1.6,39.8,0.4,0.9,42.6,52.2
4,Aaron Holiday,ATL,54,28,26,13.6,0.9,0.4,1.0,39.6,0.1,0.3,37.5,45.3
5,Aaron Nesmith,IND,60,26,34,24.6,1.0,0.4,1.0,38.7,0.2,0.5,40.0,48.4
6,Aaron Wiggins,OKC,57,31,26,18.7,0.2,0.1,0.3,33.3,0.1,0.1,50.0,43.3
7,Admiral Schofield,ORL,31,12,19,11.9,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
8,Al Horford,BOS,54,37,17,31.0,0.4,0.1,0.3,50.0,0.1,0.1,75.0,59.4
9,Alec Burks,DET,51,12,39,22.0,4.8,2.0,4.6,42.6,0.9,2.2,39.6,51.9
10,Aleksej Pokusevski,OKC,31,15,16,21.9,0.4,0.2,0.6,27.8,0.0,0.2,20.0,30.6
11,Alex Caruso,CHI,57,25,32,24.1,0.2,0.1,0.4,16.0,0.0,0.2,18.2,20.0
12,Alex Len,SAC,16,10,6,3.0,0.1,0.1,0.1,100,0.0,0.0,-,100
13,Alize Johnson,SAS,4,1,3,7.4,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,0.0,0.0,-,-,-,-,-
15,Alperen Sengun,HOU,62,12,50,28.3,0.4,0.2,0.5,40.6,0.0,0.1,0.0,40.6
16,Amir Coffey,LAC,44,22,22,13.5,0.5,0.2,0.8,28.6,0.0,0.1,16.7,30.0
17,Andre Drummond,CHI,54,24,30,12.9,0.0,0.0,0.0,100,0.0,0.0,-,100
18,Andre Iguodala,GSW,8,3,5,14.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0
