,PLAYER,TEAM,GP,W,L,MIN,REB,Contested REB,Contested REB%,REB Chances,REB Chance%,Deferred REB Chances,Adjusted REB Chance%,AVG REB Distance
0,A.J. Lawson,DAL,13,5,8,4.8,0.8,0.4,50.0,1.3,58.8,0.2,71.4,5.6
1,AJ Green,MIL,31,25,6,9.5,1.2,0.4,36.1,2.4,48.6,0.2,52.9,8.4
2,AJ Griffin,ATL,61,28,33,19.4,2.0,0.5,26.8,3.6,55.7,0.2,59.1,8.6
3,Aaron Gordon,DEN,57,39,18,30.1,6.7,3.0,45.0,10.7,62.3,0.5,65.5,5.8
4,Aaron Holiday,ATL,54,28,26,13.6,1.2,0.3,21.2,2.5,48.2,0.2,52.0,10.0
5,Aaron Nesmith,IND,60,26,34,24.6,3.8,1.2,30.8,8.0,47.3,0.7,51.9,6.9
6,Aaron Wiggins,OKC,57,31,26,18.7,3.1,1.3,41.4,5.8,52.3,0.5,57.4,7.4
7,Admiral Schofield,ORL,31,12,19,11.9,1.7,0.7,40.4,4.3,39.4,0.3,42.3,6.5
8,Al Horford,BOS,55,38,17,31.0,6.2,2.1,33.7,10.3,60.1,0.9,65.8,6.4
9,Alec Burks,DET,50,12,38,22.0,3.1,0.8,24.5,5.1,60.5,0.2,63.3,7.7
10,Aleksej Pokusevski,OKC,31,15,16,21.9,5.1,2.3,45.9,9.8,51.5,1.1,57.9,5.0
11,Alex Caruso,CHI,56,24,32,24.2,3.1,0.6,19.5,5.7,54.7,0.4,59.4,9.4
12,Alex Len,SAC,17,11,6,3.1,0.9,0.4,43.8,1.8,53.3,0.0,53.3,6.2
13,Alize Johnson,SAS,4,1,3,7.4,2.5,0.8,30.0,4.5,55.6,0.3,58.8,3.8
14,Alondes Williams,BKN,1,1,0,5.3,1.0,0.0,0.0,1.0,100.0,0.0,100.0,7.0
15,Alperen Sengun,HOU,63,13,50,28.3,8.7,4.1,46.6,15.7,55.7,1.2,60.4,5.1
16,Amir Coffey,LAC,45,23,22,13.2,1.2,0.2,21.2,2.4,49.1,0.2,52.5,10.5
17,Andre Drummond,CHI,55,24,31,12.9,6.6,3.7,55.2,9.7,68.0,0.4,71.2,4.2
18,Andre Iguodala,GSW,7,2,5,13.5,1.9,0.4,23.1,3.9,48.1,0.6,56.5,7.3
19,Andrew Nembhard,IND,62,28,34,26.9,2.7,0.5,18.0,4.9,55.3,0.4,60.3,10.1
20,Andrew Wiggins,GSW,36,18,18,32.3,5.0,1.6,32.6,9.8,51.4,0.8,55.9,7.1
21,Anfernee Simons,POR,60,27,33,35.0,2.6,0.6,21.0,4.8,54.3,0.4,59.7,9.5
22,Anthony Davis,LAL,44,22,22,33.5,12.6,7.1,56.7,20.3,62.0,1.5,66.9,4.4
23,Anthony Edwards,MIN,70,35,35,36.4,6.0,1.2,20.9,10.3,57.8,0.8,62.5,7.0
24,Anthony Gill,WAS,46,18,28,9.9,1.5,0.6,42.6,3.0,50.0,0.2,54.4,6.2
25,Anthony Lamb,GSW,49,27,22,20.0,3.4,1.2,36.7,7.3,46.6,0.7,51.9,6.5
26,Austin Reaves,LAL,52,26,26,27.6,2.9,0.4,14.8,5.7,50.7,0.6,57.1,8.7
27,Austin Rivers,MIN,50,24,26,20.1,1.6,0.2,13.4,3.1,53.6,0.2,57.7,9.6
28,Ayo Dosunmu,CHI,65,30,35,27.2,3.0,0.6,20.3,5.6,53.2,0.6,59.6,10.7
29,Bam Adebayo,MIA,66,35,31,35.1,9.4,4.0,42.3,15.9,59.0,1.0,63.2,5.7
30,Ben Simmons,BKN,42,24,18,26.3,6.3,1.9,30.0,9.9,63.1,0.7,67.8,6.3
31,Bennedict Mathurin,IND,67,30,37,27.8,4.0,1.2,29.0,7.9,50.9,0.6,54.8,8.3
32,Bismack Biyombo,PHX,50,26,24,13.4,3.9,1.7,42.8,7.5,51.5,0.5,55.4,5.0
33,Blake Griffin,BOS,32,20,12,14.2,3.5,1.6,46.0,6.3,55.9,0.5,60.8,5.0
34,Blake Wesley,SAS,23,5,18,16.8,2.1,0.4,20.4,4.2,51.0,0.2,53.8,7.3
35,Boban Marjanovic,HOU,24,3,21,4.8,1.7,0.8,43.9,3.1,55.4,0.3,60.3,3.8
36,Bobby Portis,MIL,58,39,19,25.9,9.6,3.3,34.0,15.8,60.8,1.1,65.4,5.1
37,Bogdan Bogdanovic,ATL,43,21,22,28.5,3.2,0.6,19.6,5.5,58.0,0.5,63.9,7.7
38,Bojan Bogdanovic,DET,58,15,43,32.0,3.8,0.7,18.3,7.1,53.0,0.4,56.6,8.9
39,Bol Bol,ORL,64,25,39,22.0,6.0,1.6,26.2,8.6,69.4,0.5,73.7,5.4
40,Bones Hyland,LAC,47,30,17,19.0,2.2,0.5,23.1,4.1,53.3,0.3,57.1,8.4
41,Bradley Beal,WAS,47,24,23,33.5,3.8,1.0,26.1,6.8,56.6,0.4,60.4,8.3
42,Brandon Boston Jr.,LAC,21,8,13,11.7,1.4,0.4,31.0,2.8,49.2,0.1,51.8,7.7
43,Brandon Clarke,MEM,56,32,24,19.5,5.5,2.6,47.1,10.9,50.9,0.7,54.5,5.2
44,Brandon Ingram,NOP,32,14,18,32.9,5.0,1.3,25.0,8.3,60.4,0.6,65.0,7.3
45,Braxton Key,DET,3,0,3,3.0,0.3,0.3,100.0,1.0,33.3,0.3,50.0,2.8
46,Brook Lopez,MIL,68,49,19,30.7,6.7,3.3,49.5,12.1,55.5,1.0,60.6,6.2
47,Bruce Brown,DEN,68,46,22,28.2,4.0,1.1,26.4,7.5,53.6,0.5,57.6,7.1
48,Bruno Fernando,ATL,34,10,24,10.9,3.6,1.5,41.1,7.6,48.2,0.5,51.9,4.9
49,Bryce McGowens,CHA,35,11,24,14.6,1.7,0.5,28.3,3.1,55.6,0.2,59.4,8.8
50,Bryn Forbes,MIN,25,9,16,10.7,0.6,0.2,33.3,1.2,50.0,0.0,51.7,11.8
51,Buddy Boeheim,DET,4,1,3,13.0,0.8,0.3,33.3,1.8,42.9,0.3,50.0,12.4
52,Buddy Hield,IND,69,31,38,31.7,5.1,0.9,17.8,9.3,54.1,0.9,59.6,8.2
53,CJ McCollum,NOP,62,29,33,35.0,4.4,0.7,15.5,7.3,59.7,0.4,62.7,10.1
54,Cade Cunningham,DET,12,3,9,33.3,6.2,1.8,29.7,10.7,57.8,0.5,60.7,7.1
