,Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time Of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
0,A.J. Lawson,DAL,13,5,8,4.8,2.6,4.8,3.2,0.1,1.39,0.62,0.54,0.0,0.0,0.2,0.0,0.0,2.0
1,AJ Green,MIL,33,26,7,9.7,4.5,12.1,7.4,0.5,2.57,1.79,0.372,0.1,0.0,0.3,0.0,0.0,0.727
2,AJ Griffin,ATL,70,33,37,19.3,8.7,20.9,14.1,0.7,2.09,1.5,0.416,0.4,0.0,0.7,0.767,2.0,0.896
3,Aaron Gordon,DEN,67,45,22,30.2,16.3,42.6,23.8,2.1,2.96,2.11,0.383,1.8,2.2,6.7,0.483,0.717,1.177
4,Aaron Holiday,ATL,60,31,29,13.1,3.9,20.0,7.8,1.4,4.19,3.82,0.194,0.1,0.0,0.4,0.25,0.0,0.636
5,Aaron Nesmith,IND,70,29,41,25.0,10.0,35.9,20.7,1.0,1.67,0.8,0.279,0.4,0.0,1.1,0.759,0.0,0.773
6,Aaron Wiggins,OKC,68,35,33,18.5,6.7,20.8,13.0,0.7,1.91,1.27,0.324,0.5,0.0,2.1,0.457,1.0,0.894
7,Admiral Schofield,ORL,34,14,20,11.5,4.0,17.4,8.3,0.5,1.72,0.82,0.228,0.4,0.0,0.9,0.533,0.0,0.719
8,Al Horford,BOS,62,43,19,30.5,9.8,45.9,25.5,1.2,1.53,0.47,0.213,1.1,0.9,2.7,0.271,0.386,0.544
9,Alec Burks,DET,50,12,38,22.0,12.9,34.6,21.2,1.7,3.03,2.34,0.374,0.3,0.3,0.4,0.625,0.533,0.611
10,Aleksej Pokusevski,OKC,34,16,18,20.6,8.1,41.7,22.7,1.1,1.6,0.75,0.195,1.6,0.0,3.1,0.63,0.0,0.71
11,Alex Caruso,CHI,64,30,34,23.7,5.7,42.9,17.6,1.9,2.6,1.84,0.132,0.8,0.0,1.3,0.292,0.0,0.614
12,Alex Len,SAC,23,15,8,5.2,1.6,8.2,4.4,0.2,1.42,0.35,0.191,1.1,0.0,1.5,0.385,0.0,0.794
13,Alize Johnson,SAS,4,1,3,7.4,1.8,11.5,5.5,0.5,2.7,1.98,0.152,0.0,0.3,1.0,0.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,9.0,3.0,0.4,2.72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,73,16,57,29.0,14.8,55.9,38.6,2.3,2.42,1.24,0.266,5.1,4.4,6.9,0.532,0.53,0.762
16,Amir Coffey,LAC,49,25,24,12.7,3.5,13.9,10.3,0.6,2.5,1.66,0.253,0.1,0.0,0.2,0.429,0.0,0.333
17,Andre Drummond,CHI,65,31,34,12.7,6.0,17.4,10.6,0.4,1.42,0.48,0.344,1.6,0.4,4.4,0.594,0.793,0.958
18,Andre Iguodala,GSW,7,2,5,13.5,1.7,24.4,13.3,0.7,1.76,0.68,0.07,0.7,0.0,1.3,0.4,0.0,0.889
19,Andrew Nembhard,IND,72,31,41,27.4,9.3,47.6,23.3,2.9,3.62,3.28,0.194,0.4,0.1,0.6,0.483,0.0,0.556
20,Andrew Wiggins,GSW,36,18,18,32.3,17.1,46.2,31.6,1.8,2.28,1.48,0.371,0.7,1.7,3.3,0.808,0.581,0.992
21,Anfernee Simons,POR,62,27,35,35.0,21.1,67.4,32.3,5.4,4.78,4.18,0.312,0.3,0.0,0.6,0.95,0.0,0.842
22,Anthony Davis,LAL,53,29,24,34.0,26.5,68.8,38.5,2.5,2.16,0.91,0.385,5.2,5.1,10.6,0.773,0.721,1.195
23,Anthony Edwards,MIN,77,38,39,36.1,24.5,71.3,37.1,4.7,3.99,3.44,0.344,0.5,0.6,0.9,0.875,0.689,0.957
24,Anthony Gill,WAS,56,20,36,10.1,3.2,10.3,6.8,0.3,1.75,0.71,0.311,0.4,0.0,1.3,0.545,2.0,1.239
25,Anthony Lamb,GSW,59,33,26,19.6,6.7,33.1,17.8,1.0,1.81,0.94,0.203,0.6,0.3,1.8,0.405,0.0,0.558
26,Austin Reaves,LAL,61,33,28,28.6,12.8,41.6,21.9,2.5,3.57,3.08,0.307,0.5,0.0,0.9,0.4,0.0,0.722
27,Austin Rivers,MIN,52,25,27,19.5,4.9,22.8,13.3,1.1,3.0,2.37,0.215,0.1,0.0,0.1,1.0,0.0,0.571
28,Ayo Dosunmu,CHI,76,37,39,26.2,8.5,42.9,16.6,2.5,3.45,3.15,0.198,0.2,0.0,0.6,0.875,0.0,0.98
29,Bam Adebayo,MIA,73,38,35,35.2,20.7,62.7,36.8,3.0,2.86,1.59,0.33,6.9,2.7,7.7,0.68,0.616,0.88
30,Ben Simmons,BKN,42,24,18,26.3,6.9,61.4,21.5,3.5,3.42,2.35,0.113,2.3,1.1,4.0,0.344,0.444,0.846
31,Bennedict Mathurin,IND,75,32,43,28.2,16.6,41.3,28.2,1.7,2.49,1.69,0.401,1.1,0.1,1.7,0.89,0.3,1.054
32,Bismack Biyombo,PHX,59,32,27,14.4,4.3,23.4,13.6,0.6,1.57,0.47,0.185,2.5,0.8,5.0,0.388,0.44,0.67
33,Blake Griffin,BOS,38,24,14,14.0,4.3,20.7,12.6,0.6,1.64,0.61,0.206,1.1,0.4,2.3,0.628,0.571,0.756
34,Blake Wesley,SAS,33,7,26,17.5,4.7,35.0,12.5,2.8,4.85,4.47,0.135,0.3,0.0,0.8,0.444,0.0,0.48
35,Boban Marjanovic,HOU,29,5,24,5.2,3.0,6.8,4.4,0.2,2.13,0.9,0.449,0.6,1.4,1.5,0.882,0.929,1.273
36,Bobby Portis,MIL,68,46,22,25.9,13.9,49.5,24.9,1.5,1.76,0.73,0.281,1.4,3.0,4.3,0.613,0.615,0.889
37,Bogdan Bogdanovic,ATL,53,27,26,28.1,14.1,40.7,25.2,1.8,2.7,1.91,0.346,0.6,0.1,0.5,0.516,0.667,0.72
38,Bojan Bogdanovic,DET,58,15,43,32.0,21.5,46.6,33.0,2.3,2.97,2.15,0.462,0.8,1.0,0.8,0.955,0.483,0.816
39,Bol Bol,ORL,67,26,41,21.4,9.0,22.6,12.5,0.9,2.32,1.56,0.4,0.4,0.1,1.9,1.148,0.6,1.44
40,Bones Hyland,LAC,53,33,20,19.3,11.8,45.8,19.6,3.6,4.75,4.08,0.258,0.2,0.0,0.4,0.727,0.0,0.7
41,Bradley Beal,WAS,50,24,26,33.5,23.2,67.9,39.2,5.1,4.52,4.07,0.342,1.9,0.6,1.6,0.638,0.438,0.938
42,Brandon Boston Jr.,LAC,21,8,13,11.7,6.8,20.3,11.6,1.0,2.94,2.6,0.335,0.1,0.1,0.5,1.0,0.667,0.5
43,Brandon Clarke,MEM,56,32,24,19.5,10.0,28.5,17.8,0.7,1.52,0.65,0.35,4.3,0.2,5.4,0.554,0.444,1.095
44,Brandon Ingram,NOP,42,21,21,33.6,24.5,65.8,38.4,4.4,4.06,3.09,0.372,2.1,1.6,0.9,0.716,0.803,0.718
45,Braxton Key,DET,3,0,3,3.0,1.3,3.3,1.3,0.1,1.56,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
46,Brook Lopez,MIL,77,56,21,30.3,15.8,34.1,23.3,0.8,1.43,0.43,0.463,2.4,1.7,5.7,0.559,1.037,1.158
47,Bruce Brown,DEN,78,52,26,28.3,11.2,51.1,24.4,3.0,3.5,2.87,0.218,0.8,0.1,1.9,0.892,1.0,0.883
48,Bruno Fernando,ATL,37,12,25,10.3,3.6,18.4,10.8,0.4,1.4,0.5,0.197,1.3,0.2,3.3,0.347,0.667,0.821
49,Bryce McGowens,CHA,44,15,29,16.3,4.7,17.8,11.7,0.7,2.34,1.44,0.266,0.1,0.0,0.5,0.5,0.0,0.792
50,Bryn Forbes,MIN,25,9,16,10.7,3.6,11.9,8.9,0.4,2.06,1.31,0.3,0.0,0.0,0.1,0.0,0.0,1.0
51,Buddy Boeheim,DET,8,1,7,9.2,2.0,8.8,5.5,0.2,1.31,0.43,0.229,0.0,0.0,0.1,0.0,0.0,2.0
52,Buddy Hield,IND,77,34,43,31.4,16.8,59.1,34.3,2.0,2.03,1.34,0.284,0.4,0.0,0.9,0.788,0.0,0.941
53,CJ McCollum,NOP,72,36,36,35.1,20.7,74.3,32.7,5.4,4.37,3.89,0.279,0.8,0.0,0.6,0.61,0.0,0.619
54,Cade Cunningham,DET,12,3,9,33.3,19.9,78.3,24.8,7.0,5.37,4.99,0.255,0.3,0.4,0.9,1.0,0.6,0.909
55,Caleb Houstan,ORL,48,20,28,15.0,3.4,12.7,7.5,0.3,1.35,0.39,0.264,0.1,0.0,0.6,0.0,0.0,0.71
56,Caleb Martin,MIA,68,36,32,29.6,9.8,38.9,21.8,1.6,2.47,1.58,0.251,0.6,0.1,2.4,0.864,0.0,0.644
