,PLAYER,TEAM,GP,W,L,MIN,Passes Made,Passes Received,AST,Secondary AST,Potential AST,AST PTS Created,AST PTS Created.1,AST Adj,AST To Pass%,AST To Pass% Adj
0,A.J. Lawson,DAL,13,5,8,4.8,2.7,3.3,0.1,0.1,0.3,0.2,0.2,2.9,5.7,
1,AJ Green,MIL,32,25,7,9.4,7.8,8.7,0.6,0.1,1.3,1.6,0.7,7.7,9.3,
2,AJ Griffin,ATL,63,29,34,19.4,12.5,14.5,1.0,0.1,1.7,2.4,1.1,7.6,8.9,
3,Aaron Gordon,DEN,60,41,19,30.1,25.9,27.7,2.9,0.4,4.4,7.3,3.5,11.3,13.5,
4,Aaron Holiday,ATL,54,28,26,13.6,14.7,15.7,1.2,0.1,2.8,3.3,1.6,8.3,10.6,
5,Aaron Nesmith,IND,62,27,35,24.9,23.9,19.9,1.3,0.2,2.0,3.4,1.5,5.3,6.3,
6,Aaron Wiggins,OKC,59,32,27,18.4,14.3,13.8,1.2,0.2,2.2,3.2,1.5,8.5,10.7,
7,Admiral Schofield,ORL,31,12,19,11.9,14.4,9.2,0.8,0.0,1.4,2.2,0.9,5.6,6.1,
8,Al Horford,BOS,56,39,17,31.0,37.4,28.0,3.0,0.3,4.8,8.1,3.6,7.9,9.5,
9,Alec Burks,DET,50,12,38,22.0,21.6,24.7,2.2,0.2,3.6,5.3,2.5,10.3,11.5,
10,Aleksej Pokusevski,OKC,31,15,16,21.9,33.9,26.4,2.0,0.2,3.7,5.0,2.3,5.9,6.7,
11,Alex Caruso,CHI,58,26,32,24.0,37.0,28.6,3.0,0.4,4.8,7.9,3.8,8.2,10.4,
12,Alex Len,SAC,18,12,6,3.2,4.6,2.9,0.3,0.0,0.5,0.8,0.3,7.3,7.3,
13,Alize Johnson,SAS,4,1,3,7.4,8.8,5.8,0.3,0.0,1.3,0.8,0.3,2.9,2.9,
14,Alondes Williams,BKN,1,1,0,5.3,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,Alperen Sengun,HOU,65,14,51,28.5,38.9,36.7,3.8,0.3,6.8,9.9,4.7,9.9,12.1,
16,Amir Coffey,LAC,45,23,22,13.2,9.8,10.9,1.1,0.1,2.1,2.9,1.4,11.6,14.5,
17,Andre Drummond,CHI,57,26,31,12.8,11.5,9.1,0.5,0.0,0.9,1.2,0.6,4.7,5.0,
18,Andre Iguodala,GSW,7,2,5,13.5,21.4,14.7,2.6,0.6,3.4,6.6,3.1,12.0,14.7,
