,PLAYER,TEAM,GP,W,L,MIN,REB,Contested REB,Contested REB%,REB Chances,REB Chance%,Deferred REB Chances,Adjusted REB Chance%,AVG REB Distance
0,A.J. Lawson,DAL,13,5,8,4.8,0.8,0.4,50.0,1.3,58.8,0.2,71.4,5.6
1,AJ Green,MIL,32,25,7,9.4,1.2,0.4,36.8,2.4,48.7,0.3,54.3,8.1
2,AJ Griffin,ATL,64,30,34,19.4,2.1,0.6,27.4,3.7,57.2,0.2,60.5,8.7
3,Aaron Gordon,DEN,60,41,19,30.1,6.6,3.0,44.8,10.6,62.4,0.5,65.6,5.9
4,Aaron Holiday,ATL,55,29,26,13.6,1.2,0.3,20.9,2.5,48.2,0.2,51.9,10.1
5,Aaron Nesmith,IND,63,27,36,24.7,3.8,1.2,31.3,8.0,47.5,0.7,52.3,7.0
6,Aaron Wiggins,OKC,60,33,27,18.5,3.1,1.3,41.1,5.9,52.6,0.5,57.5,7.4
7,Admiral Schofield,ORL,31,12,19,11.9,1.7,0.7,40.4,4.3,39.4,0.3,42.3,6.5
8,Al Horford,BOS,57,40,17,30.9,6.2,2.1,33.3,10.2,60.2,0.9,66.0,6.4
9,Alec Burks,DET,50,12,38,22.0,3.1,0.8,24.5,5.1,60.5,0.2,63.3,7.7
10,Aleksej Pokusevski,OKC,31,15,16,21.9,5.1,2.3,45.9,9.8,51.5,1.1,57.9,5.0
11,Alex Caruso,CHI,58,26,32,24.0,3.0,0.6,19.5,5.6,54.0,0.4,58.6,9.4
12,Alex Len,SAC,18,12,6,3.2,0.9,0.4,41.2,1.7,54.8,0.0,54.8,6.2
13,Alize Johnson,SAS,4,1,3,7.4,2.5,0.8,30.0,4.5,55.6,0.3,58.8,3.8
14,Alondes Williams,BKN,1,1,0,5.3,1.0,0.0,0.0,1.0,100.0,0.0,100.0,7.0
15,Alperen Sengun,HOU,65,14,51,28.5,8.8,4.1,46.9,15.7,55.7,1.2,60.3,5.1
16,Amir Coffey,LAC,45,23,22,13.2,1.2,0.2,21.2,2.4,49.1,0.2,52.5,10.5
