,PLAYER,TEAM,GP,W,L,MIN,Passes Made,Passes Received,AST,Secondary AST,Potential AST,AST PTS Created,AST PTS Created.1,AST Adj,AST To Pass%,AST To Pass% Adj
0,A.J. Lawson,DAL,13,5,8,4.8,2.7,3.3,0.1,0.1,0.3,0.2,0.2,2.9,5.7,
1,AJ Green,MIL,33,26,7,9.7,7.8,8.7,0.6,0.1,1.3,1.6,0.7,7.8,9.3,
2,AJ Griffin,ATL,67,31,36,19.3,12.4,14.4,1.0,0.1,1.7,2.6,1.2,8.0,9.4,
3,Aaron Gordon,DEN,64,44,20,30.0,26.0,27.6,2.9,0.3,4.4,7.2,3.5,11.1,13.3,
4,Aaron Holiday,ATL,58,30,28,13.5,15.4,16.2,1.4,0.1,3.0,3.6,1.7,8.8,11.0,
5,Aaron Nesmith,IND,68,28,40,24.9,24.6,20.2,1.4,0.2,2.0,3.6,1.6,5.5,6.6,
6,Aaron Wiggins,OKC,65,35,30,18.2,13.9,13.5,1.2,0.2,2.0,3.1,1.4,8.3,10.3,
7,Admiral Schofield,ORL,33,13,20,11.7,14.0,9.1,0.8,0.0,1.3,2.1,0.8,5.4,5.8,
8,Al Horford,BOS,61,43,18,30.5,36.8,27.6,3.0,0.4,4.6,8.0,3.6,8.0,9.8,
9,Alec Burks,DET,50,12,38,22.0,21.6,24.7,2.2,0.2,3.6,5.3,2.5,10.3,11.5,
10,Aleksej Pokusevski,OKC,33,16,17,20.9,32.5,25.3,1.9,0.2,3.5,4.7,2.2,5.9,6.6,
11,Alex Caruso,CHI,61,28,33,23.9,36.5,28.1,3.0,0.4,4.7,7.8,3.7,8.1,10.2,
12,Alex Len,SAC,20,13,7,4.0,5.1,3.2,0.3,0.0,0.5,0.8,0.3,5.9,5.9,
13,Alize Johnson,SAS,4,1,3,7.4,8.8,5.8,0.3,0.0,1.3,0.8,0.3,2.9,2.9,
14,Alondes Williams,BKN,1,1,0,5.3,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,Alperen Sengun,HOU,70,14,56,28.6,39.1,36.7,3.8,0.3,6.6,9.6,4.6,9.6,11.7,
16,Amir Coffey,LAC,48,25,23,12.7,9.4,10.6,1.1,0.1,2.0,2.8,1.4,11.5,14.6,
17,Andre Drummond,CHI,62,29,33,12.8,11.4,9.0,0.5,0.0,0.8,1.2,0.6,4.5,5.1,
18,Andre Iguodala,GSW,7,2,5,13.5,21.4,14.7,2.6,0.6,3.4,6.6,3.1,12.0,14.7,
