,PLAYER,TEAM,GP,W,L,MIN,REB,Contested REB,Contested REB%,REB Chances,REB Chance%,Deferred REB Chances,Adjusted REB Chance%,AVG REB Distance
0,A.J. Lawson,DAL,13,5,8,4.8,0.8,0.4,50.0,1.3,58.8,0.2,71.4,5.6
1,AJ Green,MIL,29,23,6,9.8,1.1,0.4,39.4,2.4,46.5,0.2,50.8,8.5
2,AJ Griffin,ATL,59,28,31,19.9,2.0,0.5,25.2,3.7,55.1,0.2,58.6,8.7
3,Aaron Gordon,DEN,52,38,14,30.0,6.8,3.1,45.2,10.9,62.5,0.6,65.9,5.8
4,Aaron Holiday,ATL,52,28,24,14.0,1.3,0.3,21.2,2.6,48.2,0.2,52.0,10.0
5,Aaron Nesmith,IND,57,24,33,24.4,3.7,1.1,30.8,7.9,46.7,0.7,51.1,6.8
6,Aaron Wiggins,OKC,51,26,25,19.0,3.2,1.3,41.1,5.9,54.2,0.5,58.8,7.5
7,Admiral Schofield,ORL,30,12,18,12.0,1.7,0.7,40.4,4.3,40.0,0.3,43.0,6.5
8,Al Horford,BOS,50,35,15,30.8,6.2,2.1,33.3,10.3,60.2,0.9,65.9,6.4
9,Alec Burks,DET,49,12,37,22.0,3.0,0.8,24.8,5.1,59.6,0.2,62.3,7.8
10,Aleksej Pokusevski,OKC,31,15,16,21.9,5.1,2.3,45.9,9.8,51.5,1.1,57.9,5.0
11,Alex Caruso,CHI,53,22,31,24.1,3.2,0.6,19.2,5.8,54.6,0.5,59.4,9.3
12,Alex Len,SAC,14,9,5,3.4,1.1,0.4,40.0,1.9,55.6,0.0,55.6,6.4
13,Alize Johnson,SAS,4,1,3,7.4,2.5,0.8,30.0,4.5,55.6,0.3,58.8,3.8
14,Alondes Williams,BKN,1,1,0,5.3,1.0,0.0,0.0,1.0,100.0,0.0,100.0,7.0
15,Alperen Sengun,HOU,57,10,47,28.2,8.6,4.0,46.0,15.7,55.1,1.2,59.6,5.2
16,Amir Coffey,LAC,43,21,22,13.7,1.2,0.3,21.2,2.5,49.1,0.2,52.5,10.5
17,Andre Drummond,CHI,51,22,29,13.1,6.8,3.7,54.8,9.9,68.8,0.5,72.1,4.2
18,Andre Iguodala,GSW,2,0,2,12.2,1.5,0.0,0.0,3.0,50.0,0.5,60.0,4.7
19,Andrew Nembhard,IND,57,25,32,26.9,2.7,0.5,19.5,5.0,54.2,0.4,59.5,10.2
20,Andrew Wiggins,GSW,36,18,18,32.3,5.0,1.6,32.6,9.8,51.4,0.8,55.9,7.1
21,Anfernee Simons,POR,57,27,30,35.3,2.7,0.6,20.9,4.9,54.8,0.4,60.2,9.4
22,Anthony Davis,LAL,39,18,21,33.3,12.4,6.9,56.2,19.8,62.3,1.4,67.1,4.4
23,Anthony Edwards,MIN,65,33,32,36.3,5.9,1.2,20.9,10.2,57.6,0.8,62.2,6.9
24,Anthony Gill,WAS,42,17,25,10.0,1.4,0.5,37.9,2.8,49.6,0.2,54.2,6.0
25,Anthony Lamb,GSW,48,27,21,19.9,3.3,1.3,38.1,7.2,46.4,0.8,51.8,6.5
26,Austin Reaves,LAL,46,22,24,27.5,2.9,0.4,15.2,5.7,50.4,0.6,56.7,8.9
27,Austin Rivers,MIN,49,24,25,20.4,1.7,0.2,13.4,3.1,53.6,0.2,57.7,9.6
28,Ayo Dosunmu,CHI,61,28,33,27.8,3.1,0.6,20.5,5.8,54.1,0.6,60.5,10.7
29,Bam Adebayo,MIA,59,30,29,35.0,9.7,4.2,43.1,16.3,59.4,1.0,63.4,5.7
30,Ben Simmons,BKN,42,24,18,26.3,6.3,1.9,30.0,9.9,63.1,0.7,67.8,6.3
31,Bennedict Mathurin,IND,64,28,36,28.0,4.1,1.2,28.9,8.0,51.1,0.6,54.9,8.3
32,Bismack Biyombo,PHX,46,25,21,13.9,4.1,1.8,43.3,7.8,52.4,0.6,56.7,5.0
33,Blake Griffin,BOS,27,17,10,14.1,3.3,1.6,46.7,6.0,55.6,0.5,60.8,5.2
34,Blake Wesley,SAS,18,4,14,14.9,1.9,0.3,14.7,3.6,53.1,0.1,54.0,7.3
35,Boban Marjanovic,HOU,22,1,21,4.4,1.5,0.6,41.2,2.7,57.6,0.2,63.0,3.6
