,PLAYER,TEAM,GP,W,L,MIN,PTS,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
0,A.J. Lawson,DAL,13,5,8,4.8,2.6,0.0,0.0,1.6,46.7,0.0,0.0,0.3,100.0,0.0,0.0,0.0,0.0,63.5
1,AJ Green,MIL,32,25,7,9.4,4.3,0.1,100.0,3.0,45.7,1.0,38.2,0.3,75.0,0.0,0.0,0.0,0.0,61.9
2,AJ Griffin,ATL,62,29,33,19.4,8.8,2.0,49.5,3.2,36.4,2.9,50.3,0.6,75.0,0.0,100.0,0.4,73.3,56.0
3,Aaron Gordon,DEN,59,40,19,30.1,16.7,2.4,54.4,1.8,33.0,1.7,39.6,8.2,76.1,1.6,51.6,0.9,55.9,62.2
4,Aaron Holiday,ATL,54,28,26,13.6,3.9,1.2,40.9,1.4,42.4,0.9,39.6,0.2,41.7,0.0,0.0,0.0,25.0,50.0
5,Aaron Nesmith,IND,62,27,35,24.9,10.1,2.1,45.2,4.0,34.7,1.1,42.4,0.9,60.0,0.0,0.0,0.4,84.6,52.3
6,Aaron Wiggins,OKC,58,31,27,18.5,6.6,1.4,47.2,1.8,36.5,0.2,33.3,1.8,63.4,0.0,50.0,0.2,38.5,56.0
7,Admiral Schofield,ORL,31,12,19,11.9,4.2,0.8,60.0,1.9,37.7,0.0,0.0,0.7,61.1,0.0,0.0,0.3,66.7,58.9
8,Al Horford,BOS,56,39,17,31.0,9.9,0.7,60.0,6.8,44.4,0.3,50.0,1.5,53.3,0.4,52.4,0.3,47.4,63.6
9,Alec Burks,DET,50,12,38,22.0,12.9,3.0,49.0,3.3,43.4,4.9,42.6,0.2,44.4,0.2,57.1,0.2,44.4,55.1
10,Aleksej Pokusevski,OKC,31,15,16,21.9,8.8,1.1,34.2,3.8,38.5,0.4,27.8,2.5,54.5,0.0,0.0,1.0,65.2,51.9
11,Alex Caruso,CHI,58,26,32,24.0,5.7,0.8,41.2,2.4,37.6,0.2,19.2,0.8,58.3,0.0,0.0,0.2,46.2,54.4
12,Alex Len,SAC,18,12,6,3.2,0.7,0.0,0.0,0.0,0.0,0.1,100.0,0.5,100.0,0.0,0.0,0.3,40.0,41.7
13,Alize Johnson,SAS,4,1,3,7.4,1.8,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,64,14,50,28.5,14.7,2.9,54.3,0.9,36.1,0.4,39.4,5.3,58.4,2.2,55.0,2.8,52.9,56.5
16,Amir Coffey,LAC,45,23,22,13.2,3.6,1.5,41.4,0.7,31.4,0.5,28.6,0.1,50.0,0.0,0.0,0.0,0.0,41.8
17,Andre Drummond,CHI,57,26,31,12.8,6.0,0.2,45.5,0.0,0.0,0.0,100.0,4.2,60.9,0.2,55.6,1.1,53.5,60.9
18,Andre Iguodala,GSW,7,2,5,13.5,1.7,0.4,100.0,0.0,0.0,0.0,0.0,1.1,100.0,0.0,0.0,0.3,100.0,41.7
19,Andrew Nembhard,IND,64,29,35,27.1,8.7,2.4,41.6,3.0,35.9,2.1,33.7,0.4,61.1,0.0,0.0,0.2,63.6,50.6
20,Andrew Wiggins,GSW,36,18,18,32.3,17.1,1.6,34.3,7.1,43.9,2.4,33.9,3.3,63.5,1.0,59.3,0.6,56.3,56.0
21,Anfernee Simons,POR,61,27,34,35.0,21.1,5.9,53.8,6.0,40.0,7.3,39.3,0.5,64.0,0.0,0.0,0.3,64.3,55.0
22,Anthony Davis,LAL,45,22,23,33.6,26.1,2.4,51.2,2.4,32.6,2.3,40.2,12.9,70.7,3.7,50.0,3.8,56.6,57.4
23,Anthony Edwards,MIN,71,35,36,36.0,24.7,9.3,52.6,3.4,42.3,7.4,35.3,0.9,76.3,0.4,52.4,0.5,78.9,53.1
24,Anthony Gill,WAS,48,18,30,10.0,3.1,0.5,40.0,0.2,21.1,0.0,14.3,1.5,84.6,0.0,0.0,0.3,75.0,59.0
25,Anthony Lamb,GSW,51,27,24,20.0,7.0,0.9,65.5,3.6,37.1,0.3,26.3,1.0,63.2,0.0,0.0,0.3,70.0,58.3
26,Austin Reaves,LAL,53,26,27,27.7,11.6,3.5,58.2,3.0,38.8,2.2,45.1,0.6,61.9,0.0,0.0,0.2,55.6,60.2
27,Austin Rivers,MIN,51,24,27,19.9,5.0,1.8,54.7,2.4,37.4,0.2,14.3,0.1,50.0,0.0,0.0,0.1,100.0,53.8
28,Ayo Dosunmu,CHI,67,32,35,26.9,8.8,2.9,60.1,2.3,32.1,0.7,38.7,0.7,64.5,0.0,0.0,0.2,85.7,54.3
29,Bam Adebayo,MIA,67,35,32,35.1,21.0,4.3,51.7,2.0,44.2,2.9,44.5,7.0,61.1,1.7,51.6,4.8,57.9,54.3
30,Ben Simmons,BKN,42,24,18,26.3,6.9,1.7,52.5,0.1,40.0,0.2,23.5,3.4,71.1,0.5,50.0,0.8,51.6,56.6
31,Bennedict Mathurin,IND,67,30,37,27.8,16.6,5.9,44.5,2.4,29.6,2.5,33.5,1.8,63.0,0.0,0.0,1.0,64.7,48.1
32,Bismack Biyombo,PHX,50,26,24,13.4,3.6,0.0,0.0,0.1,33.3,0.0,50.0,2.8,59.1,0.3,36.4,0.9,50.0,56.6
33,Blake Griffin,BOS,34,21,13,14.3,4.5,0.1,33.3,1.8,37.7,0.0,0.0,1.7,67.5,0.2,60.0,0.7,78.6,57.6
34,Blake Wesley,SAS,24,5,19,17.0,5.2,1.3,25.0,1.6,39.4,0.9,25.0,0.5,50.0,0.0,0.0,0.1,50.0,40.2
35,Boban Marjanovic,HOU,25,4,21,4.7,3.2,0.1,0.0,0.1,33.3,0.2,37.5,2.0,87.5,1.4,60.0,0.6,75.0,68.9
36,Bobby Portis,MIL,59,39,20,26.0,13.8,1.7,57.5,4.4,40.5,1.6,37.9,3.9,62.8,1.9,51.0,0.9,68.4,55.4
37,Bogdan Bogdanovic,ATL,44,22,22,28.4,14.1,3.3,51.7,6.5,41.8,4.2,41.8,0.3,54.5,0.0,50.0,0.3,53.8,55.4
38,Bojan Bogdanovic,DET,58,15,43,32.0,21.5,6.1,55.3,6.0,46.5,5.5,43.7,0.7,47.1,0.5,33.3,0.7,58.1,57.1
39,Bol Bol,ORL,66,26,40,21.6,9.1,2.3,55.0,1.0,31.0,1.3,34.9,2.7,84.0,0.1,40.0,0.5,87.5,59.9
40,Bones Hyland,LAC,47,30,17,19.0,11.6,2.9,35.3,3.0,36.4,3.9,33.7,0.2,50.0,0.0,0.0,0.1,75.0,49.3
