,PLAYER,TEAM,GP,W,L,MIN,REB,Contested REB,Contested REB%,REB Chances,REB Chance%,Deferred REB Chances,Adjusted REB Chance%,AVG REB Distance
0,A.J. Lawson,DAL,13,5,8,4.8,0.8,0.4,50.0,1.3,58.8,0.2,71.4,5.6
1,AJ Green,MIL,30,24,6,9.7,1.2,0.4,37.1,2.4,47.9,0.2,52.2,8.4
2,AJ Griffin,ATL,59,28,31,19.9,2.0,0.5,25.2,3.7,55.1,0.2,58.6,8.7
3,Aaron Gordon,DEN,54,39,15,30.0,6.8,3.1,45.8,10.8,63.1,0.5,66.4,5.8
4,Aaron Holiday,ATL,52,28,24,14.0,1.3,0.3,21.2,2.6,48.2,0.2,52.0,10.0
5,Aaron Nesmith,IND,58,25,33,24.6,3.8,1.2,31.2,8.0,47.1,0.7,51.5,6.8
6,Aaron Wiggins,OKC,54,28,26,19.1,3.1,1.3,41.4,6.0,52.5,0.5,57.5,7.5
7,Admiral Schofield,ORL,31,12,19,11.9,1.7,0.7,40.4,4.3,39.4,0.3,42.3,6.5
8,Al Horford,BOS,52,36,16,31.0,6.3,2.1,33.7,10.3,61.2,0.9,66.7,6.4
9,Alec Burks,DET,50,12,38,22.0,3.1,0.8,24.5,5.1,60.5,0.2,63.3,7.7
10,Aleksej Pokusevski,OKC,31,15,16,21.9,5.1,2.3,45.9,9.8,51.5,1.1,57.9,5.0
11,Alex Caruso,CHI,55,23,32,24.1,3.1,0.6,18.6,5.7,54.6,0.5,59.3,9.5
12,Alex Len,SAC,16,10,6,3.0,0.9,0.4,40.0,1.7,55.6,0.0,55.6,6.4
13,Alize Johnson,SAS,4,1,3,7.4,2.5,0.8,30.0,4.5,55.6,0.3,58.8,3.8
14,Alondes Williams,BKN,1,1,0,5.3,1.0,0.0,0.0,1.0,100.0,0.0,100.0,7.0
15,Alperen Sengun,HOU,61,12,49,28.2,8.8,4.1,46.6,15.8,55.8,1.2,60.4,5.1
16,Amir Coffey,LAC,43,21,22,13.7,1.2,0.3,21.2,2.5,49.1,0.2,52.5,10.5
17,Andre Drummond,CHI,53,23,30,12.9,6.7,3.7,54.9,9.8,68.7,0.5,72.0,4.2
18,Andre Iguodala,GSW,5,0,5,13.6,1.2,0.2,16.7,3.0,40.0,0.6,50.0,8.2
19,Andrew Nembhard,IND,60,27,33,26.7,2.7,0.5,18.8,4.9,54.8,0.4,59.9,10.1
20,Andrew Wiggins,GSW,36,18,18,32.3,5.0,1.6,32.6,9.8,51.4,0.8,55.9,7.1
21,Anfernee Simons,POR,57,27,30,35.3,2.7,0.6,20.9,4.9,54.8,0.4,60.2,9.4
22,Anthony Davis,LAL,41,20,21,33.4,12.5,7.1,56.6,20.2,61.7,1.5,66.6,4.4
23,Anthony Edwards,MIN,67,34,33,36.3,5.9,1.2,21.1,10.2,57.5,0.8,62.2,6.9
24,Anthony Gill,WAS,44,17,27,10.1,1.5,0.6,42.4,2.9,51.2,0.2,55.5,5.9
25,Anthony Lamb,GSW,49,27,22,20.0,3.4,1.2,36.7,7.3,46.6,0.7,51.9,6.5
26,Austin Reaves,LAL,48,24,24,27.6,2.9,0.4,15.2,5.7,50.5,0.6,57.0,8.9
27,Austin Rivers,MIN,50,24,26,20.1,1.6,0.2,13.4,3.1,53.6,0.2,57.7,9.6
28,Ayo Dosunmu,CHI,63,29,34,27.4,3.0,0.6,20.4,5.6,54.0,0.6,60.3,10.7
29,Bam Adebayo,MIA,62,32,30,34.9,9.5,4.0,42.6,16.1,59.0,1.1,63.2,5.7
30,Ben Simmons,BKN,42,24,18,26.3,6.3,1.9,30.0,9.9,63.1,0.7,67.8,6.3
31,Bennedict Mathurin,IND,67,30,37,27.8,4.0,1.2,29.0,7.9,50.9,0.6,54.8,8.3
32,Bismack Biyombo,PHX,47,26,21,13.8,4.0,1.7,43.3,7.7,51.8,0.6,56.0,5.0
33,Blake Griffin,BOS,29,18,11,14.4,3.4,1.6,46.0,6.3,54.9,0.6,60.2,5.2
34,Blake Wesley,SAS,20,4,16,15.5,1.9,0.3,15.8,3.7,52.1,0.2,54.3,7.1
35,Boban Marjanovic,HOU,24,3,21,4.8,1.7,0.8,43.9,3.1,55.4,0.3,60.3,3.8
