,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
0,A.J. Lawson,DAL,15,7.2,5,10,0.1,0.0,1.0,0.5,0.5,100.0
1,AJ Green,MIL,35,9.9,27,8,0.2,0.0,1.1,0.8,1.0,79.4
2,AJ Griffin,ATL,72,19.5,34,38,0.6,0.2,1.6,1.5,2.0,74.5
3,Aaron Gordon,DEN,68,30.2,45,23,0.8,0.8,4.1,1.9,3.1,60.6
4,Aaron Holiday,ATL,63,13.4,32,31,0.6,0.2,0.8,0.8,1.0,77.8
5,Aaron Nesmith,IND,73,24.9,30,43,0.8,0.5,2.9,1.9,3.0,64.5
6,Aaron Wiggins,OKC,70,18.5,37,33,0.6,0.2,2.0,1.4,2.4,58.7
7,Admiral Schofield,ORL,37,12.2,14,23,0.2,0.1,1.1,1.0,1.4,74.0
8,Al Horford,BOS,63,30.5,44,19,0.5,1.0,5.0,2.8,4.7,59.1
9,Alec Burks,DET,50,22.0,12,38,0.8,0.2,2.8,1.8,2.5,71.5
10,Aleksej Pokusevski,OKC,34,20.6,16,18,0.6,1.3,3.4,3.3,5.4,61.2
11,Alex Caruso,CHI,66,23.5,32,34,1.4,0.7,2.3,1.2,2.0,62.3
12,Alex Len,SAC,26,6.2,15,11,0.2,0.4,1.4,0.6,1.2,50.0
13,Alize Johnson,SAS,4,7.4,1,3,0.3,0.0,2.0,0.0,1.8,0.0
14,Alondes Williams,BKN,1,5.3,1,0,0.0,0.0,1.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,75,28.9,18,57,0.9,0.9,5.8,3.9,6.2,63.4
16,Amir Coffey,LAC,50,12.5,26,24,0.1,0.1,0.7,0.6,0.8,70.0
17,Andre Drummond,CHI,67,12.7,32,35,0.7,0.4,4.6,1.4,2.3,60.1
18,Andre Iguodala,GSW,7,13.5,2,5,0.4,0.3,1.4,1.6,2.0,78.6
19,Andrew Nembhard,IND,75,27.6,32,43,0.9,0.2,2.2,1.5,2.2,68.9
20,Andrew Wiggins,GSW,36,32.3,18,18,1.2,0.7,3.4,2.2,3.1,69.6
21,Anfernee Simons,POR,62,35.0,27,35,0.7,0.2,2.3,2.3,3.1,74.5
22,Anthony Davis,LAL,56,34.0,31,25,1.1,2.0,9.1,4.0,6.9,57.5
23,Anthony Edwards,MIN,78,36.1,39,39,1.6,0.7,5.2,2.1,2.9,70.7
24,Anthony Gill,WAS,59,10.6,21,38,0.1,0.2,1.1,0.6,1.1,58.5
25,Anthony Lamb,GSW,61,19.2,35,26,0.5,0.3,2.6,2.3,3.4,67.8
26,Austin Reaves,LAL,64,28.8,35,29,0.5,0.3,2.5,1.8,2.4,77.1
27,Austin Rivers,MIN,52,19.5,25,27,0.5,0.1,1.5,0.8,1.0,76.9
28,Ayo Dosunmu,CHI,79,26.2,39,40,0.8,0.3,2.2,1.4,2.3,62.6
29,Bam Adebayo,MIA,75,34.6,40,35,1.2,0.8,6.7,2.7,4.2,64.9
30,Ben Simmons,BKN,42,26.3,24,18,1.3,0.6,5.3,1.7,3.0,57.5
31,Bennedict Mathurin,IND,78,28.5,33,45,0.6,0.2,3.0,1.9,2.7,69.2
32,Bismack Biyombo,PHX,61,14.3,33,28,0.3,1.4,2.8,1.7,3.6,47.7
33,Blake Griffin,BOS,41,13.9,27,14,0.3,0.2,2.6,1.3,1.9,67.1
34,Blake Wesley,SAS,34,18.0,8,26,0.6,0.1,1.8,0.7,1.0,70.6
35,Boban Marjanovic,HOU,31,5.5,7,24,0.2,0.1,1.3,0.5,0.7,76.2
36,Bobby Portis,MIL,70,26.0,47,23,0.4,0.2,7.4,2.3,3.4,67.4
37,Bogdan Bogdanovic,ATL,54,27.9,27,27,0.8,0.3,2.6,1.9,2.6,73.6
38,Bojan Bogdanovic,DET,58,32.0,15,43,0.6,0.1,3.2,1.9,2.6,76.4
39,Bol Bol,ORL,70,21.5,26,44,0.4,1.2,4.8,1.8,2.7,66.7
40,Bones Hyland,LAC,56,19.4,36,20,0.7,0.3,2.1,1.5,1.9,81.0
41,Bradley Beal,WAS,50,33.5,24,26,0.9,0.7,3.1,1.4,2.0,69.3
42,Brandon Boston Jr.,LAC,22,11.3,9,13,0.4,0.0,1.0,0.8,1.2,69.2
43,Brandon Clarke,MEM,56,19.5,32,24,0.6,0.7,3.9,1.8,3.1,57.0
44,Brandon Ingram,NOP,45,34.2,23,22,0.7,0.4,5.0,1.7,2.5,66.4
45,Braxton Key,DET,3,3.0,0,3,0.0,0.0,0.3,0.0,0.0,0.0
46,Brook Lopez,MIL,78,30.4,57,21,0.5,2.5,4.7,3.9,7.9,50.2
47,Bruce Brown,DEN,80,28.5,53,27,1.1,0.6,3.3,1.9,2.8,67.6
48,Bruno Fernando,ATL,39,10.4,13,26,0.2,0.9,2.1,1.4,2.4,57.6
49,Bryce McGowens,CHA,46,17.1,16,30,0.3,0.1,1.6,0.9,1.2,71.4
50,Bryn Forbes,MIN,25,10.7,9,16,0.3,0.1,0.4,0.3,0.5,66.7
51,Buddy Boeheim,DET,10,9.0,2,8,0.2,0.0,0.4,1.3,1.3,100.0
52,Buddy Hield,IND,80,31.0,35,45,1.2,0.3,4.2,2.7,3.8,70.4
53,CJ McCollum,NOP,75,35.3,38,37,0.9,0.5,3.6,2.3,2.8,80.1
54,Cade Cunningham,DET,12,33.3,3,9,0.8,0.6,5.2,2.8,4.1,69.4
55,Caleb Houstan,ORL,51,15.9,20,31,0.2,0.1,1.3,0.9,1.3,69.2
56,Caleb Martin,MIA,71,29.3,38,33,1.0,0.4,3.6,2.4,3.5,68.4
57,Cam Reddish,POR,40,24.7,14,26,1.0,0.4,1.8,1.7,2.5,66.0
58,Cam Thomas,BKN,57,16.6,30,27,0.4,0.1,1.5,1.0,1.5,71.1
59,Cameron Johnson,BKN,42,28.6,25,17,1.2,0.3,3.6,1.8,2.5,70.5
60,Cameron Payne,PHX,48,20.2,27,21,0.7,0.2,2.0,0.8,1.1,76.9
61,Caris LeVert,CLE,74,30.2,45,29,1.0,0.3,3.1,1.6,2.2,69.7
62,Carlik Jones,CHI,6,9.1,3,3,0.3,0.0,0.7,0.7,0.7,100.0
63,Cedi Osman,CLE,77,20.1,48,29,0.5,0.1,2.0,0.8,1.1,69.9
64,Chance Comanche,POR,1,20.8,0,1,0.0,1.0,1.0,5.0,5.0,100.0
65,Charles Bassey,SAS,35,14.5,9,26,0.5,0.9,3.4,2.1,3.4,61.9
66,Chima Moneke,SAC,2,4.0,1,1,0.0,0.0,0.0,0.5,0.5,100.0
67,Chimezie Metu,SAC,66,10.4,41,25,0.3,0.3,2.3,1.3,2.3,57.0
68,Chris Boucher,TOR,76,20.0,39,37,0.6,0.8,3.5,1.4,2.3,62.9
69,Chris Duarte,IND,46,19.5,19,27,0.5,0.2,2.1,1.7,2.2,76.0
70,Chris Paul,PHX,59,32.0,33,26,1.5,0.4,3.8,1.7,2.2,76.9
71,Chris Silva,DAL,1,3.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
72,Christian Braun,DEN,76,15.5,49,27,0.5,0.2,1.8,0.8,1.2,66.7
73,Christian Koloko,TOR,58,13.8,29,29,0.4,1.0,1.5,1.7,3.1,55.6
74,Christian Wood,DAL,67,25.9,33,34,0.4,1.1,6.0,3.0,5.1,60.0
75,Chuma Okeke,ORL,27,19.2,8,19,0.7,0.4,2.6,1.9,2.7,69.9
76,Clint Capela,ATL,65,26.6,35,30,0.7,1.2,7.1,3.7,6.2,59.6
77,Coby White,CHI,73,23.5,36,37,0.7,0.1,2.7,1.4,1.9,71.4
78,Cody Martin,CHA,7,19.1,2,5,0.6,0.1,2.3,1.1,1.3,88.9
79,Cody Zeller,MIA,15,14.4,6,9,0.2,0.3,2.6,1.9,2.8,66.7
80,Cole Anthony,ORL,60,25.9,28,32,0.6,0.5,4.0,1.2,1.7,72.7
81,Cole Swider,LAL,7,5.9,2,5,0.0,0.0,0.9,0.4,0.4,100.0
82,Collin Sexton,UTA,48,23.9,24,24,0.6,0.1,1.4,0.9,1.3,64.1
83,Corey Kispert,WAS,74,28.3,31,43,0.4,0.1,2.4,1.7,2.8,62.0
84,Cory Joseph,DET,62,19.8,12,50,0.5,0.1,1.4,1.1,1.4,75.3
85,D'Angelo Russell,LAL,71,32.5,39,32,1.0,0.4,2.5,1.9,2.5,76.4
86,Daishen Nix,HOU,57,16.0,15,42,0.5,0.1,1.4,0.9,1.2,75.4
87,Dalano Banton,TOR,31,9.0,17,14,0.4,0.4,1.1,0.7,1.0,68.8
88,Dalen Terry,CHI,37,5.8,18,19,0.3,0.1,0.6,0.4,0.6,61.9
89,Damian Jones,UTA,41,11.6,12,29,0.2,0.5,2.0,0.9,1.8,50.7
90,Damian Lillard,POR,58,36.3,27,31,0.9,0.3,4.0,2.4,3.2,77.6
91,Damion Lee,PHX,74,20.4,40,34,0.4,0.1,2.5,1.7,2.1,79.6
92,Daniel Gafford,WAS,78,20.6,32,46,0.4,1.3,3.5,2.9,5.3,54.3
93,Daniel Theis,IND,7,15.5,1,6,0.3,0.9,2.1,2.7,4.4,61.3
94,Danny Green,CLE,11,12.6,6,5,0.5,0.3,1.0,0.8,1.2,69.2
95,Danuel House Jr.,PHI,56,14.4,38,18,0.3,0.2,1.5,0.8,1.2,65.7
96,Dario Saric,OKC,57,14.1,26,31,0.4,0.1,2.7,1.3,1.9,69.2
97,Darius Bazley,PHX,43,14.3,19,24,0.5,0.8,2.4,1.7,2.8,60.3
98,Darius Days,HOU,4,6.2,0,4,0.0,0.3,1.3,0.3,0.3,100.0
99,Darius Garland,CLE,69,35.5,40,29,1.2,0.1,2.3,1.0,1.3,73.1
100,David Duke Jr.,BKN,23,9.9,10,13,0.4,0.0,0.8,0.9,1.2,71.4
101,David Roddy,MEM,70,18.0,44,26,0.4,0.3,2.0,1.5,2.0,74.3
102,Davion Mitchell,SAC,80,18.1,47,33,0.6,0.2,1.1,0.9,1.3,70.3
103,Davis Bertans,DAL,45,10.9,20,25,0.2,0.2,1.0,0.8,1.3,58.3
104,Davon Reed,LAL,43,8.0,29,14,0.3,0.1,1.1,0.6,0.8,72.7
105,Day'Ron Sharpe,BKN,48,11.5,22,26,0.3,0.7,2.1,1.5,2.1,70.0
106,De'Aaron Fox,SAC,73,33.4,44,29,1.1,0.3,3.6,1.8,2.3,74.9
107,De'Andre Hunter,ATL,67,31.7,35,32,0.5,0.3,3.6,2.0,2.8,69.7
