,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
0,A.J. Lawson,DAL,13,4.8,5,8,0.1,0.0,0.6,0.4,0.4,100.0
1,AJ Green,MIL,30,9.7,24,6,0.2,0.0,1.0,0.8,1.0,77.4
2,AJ Griffin,ATL,60,19.7,28,32,0.7,0.1,1.6,1.6,2.1,76.4
3,Aaron Gordon,DEN,56,30.0,39,17,0.8,0.8,4.3,1.9,3.1,62.0
4,Aaron Holiday,ATL,53,13.8,28,25,0.5,0.2,0.8,0.7,1.0,76.5
5,Aaron Nesmith,IND,59,24.5,26,33,0.7,0.4,2.9,1.7,2.7,62.3
6,Aaron Wiggins,OKC,56,18.9,30,26,0.5,0.2,2.1,1.4,2.3,58.5
7,Admiral Schofield,ORL,31,11.9,12,19,0.2,0.1,1.1,1.1,1.4,77.3
8,Al Horford,BOS,53,31.0,37,16,0.5,0.9,5.1,2.8,4.7,58.6
9,Alec Burks,DET,50,22.0,12,38,0.8,0.2,2.8,1.8,2.5,71.5
10,Aleksej Pokusevski,OKC,31,21.9,15,16,0.6,1.3,3.6,3.5,5.7,61.0
11,Alex Caruso,CHI,56,24.2,24,32,1.6,0.6,2.5,1.3,1.9,64.2
12,Alex Len,SAC,16,3.0,10,6,0.0,0.0,0.7,0.3,0.6,55.6
13,Alize Johnson,SAS,4,7.4,1,3,0.3,0.0,2.0,0.0,1.8,0.0
14,Alondes Williams,BKN,1,5.3,1,0,0.0,0.0,1.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,62,28.3,12,50,0.9,0.9,5.5,3.7,5.8,64.3
16,Amir Coffey,LAC,44,13.5,22,22,0.2,0.1,0.8,0.6,0.9,70.0
17,Andre Drummond,CHI,54,12.9,24,30,0.6,0.3,4.6,1.4,2.3,61.3
18,Andre Iguodala,GSW,6,13.1,1,5,0.3,0.3,1.3,1.5,2.0,75.0
19,Andrew Nembhard,IND,61,26.8,28,33,1.0,0.2,2.2,1.3,2.0,63.9
20,Andrew Wiggins,GSW,36,32.3,18,18,1.2,0.7,3.4,2.2,3.1,69.6
21,Anfernee Simons,POR,59,35.0,27,32,0.7,0.2,2.4,2.4,3.2,74.5
22,Anthony Davis,LAL,43,33.5,21,22,1.0,2.1,9.1,4.1,7.2,57.0
23,Anthony Edwards,MIN,68,36.4,34,34,1.7,0.7,5.3,2.1,3.1,70.2
24,Anthony Gill,WAS,45,10.1,17,28,0.1,0.2,0.9,0.7,1.1,62.7
25,Anthony Lamb,GSW,49,20.0,27,22,0.5,0.3,2.5,2.4,3.5,69.4
26,Austin Reaves,LAL,50,27.6,25,25,0.5,0.4,2.3,1.8,2.4,75.2
27,Austin Rivers,MIN,50,20.1,24,26,0.6,0.1,1.5,0.8,1.0,76.9
28,Ayo Dosunmu,CHI,64,27.2,30,34,0.7,0.3,2.3,1.5,2.3,65.5
29,Bam Adebayo,MIA,64,35.1,33,31,1.2,0.8,7.0,2.8,4.3,64.5
30,Ben Simmons,BKN,42,26.3,24,18,1.3,0.6,5.3,1.7,3.0,57.5
31,Bennedict Mathurin,IND,67,27.8,30,37,0.6,0.1,2.9,1.7,2.6,68.0
32,Bismack Biyombo,PHX,48,13.6,26,22,0.3,1.2,2.9,1.5,3.5,44.0
33,Blake Griffin,BOS,30,14.4,19,11,0.4,0.2,2.6,1.3,1.8,70.4
34,Blake Wesley,SAS,21,16.2,4,17,0.5,0.1,1.8,0.7,1.0,71.4
35,Boban Marjanovic,HOU,24,4.8,3,21,0.2,0.0,1.2,0.3,0.5,63.6
36,Bobby Portis,MIL,56,26.1,37,19,0.4,0.2,7.4,2.4,3.4,69.5
37,Bogdan Bogdanovic,ATL,42,28.7,21,21,0.9,0.3,2.9,1.8,2.5,72.4
38,Bojan Bogdanovic,DET,58,32.0,15,43,0.6,0.1,3.2,1.9,2.6,76.4
