,PLAYER,TEAM,GP,W,L,MIN,Passes Made,Passes Received,AST,Secondary AST,Potential AST,AST PTS Created,AST PTS Created.1,AST Adj,AST To Pass%,AST To Pass% Adj
0,A.J. Lawson,DAL,13,5,8,4.8,2.7,3.3,0.1,0.1,0.3,0.2,0.2,2.9,5.7,
1,AJ Green,MIL,27,21,6,9.8,7.9,9.0,0.6,0.1,1.3,1.6,0.7,7.5,9.4,
2,AJ Griffin,ATL,57,27,30,20.2,13.0,15.2,1.0,0.1,1.8,2.5,1.2,7.7,8.9,
3,Aaron Gordon,DEN,50,36,14,30.2,26.6,28.0,2.9,0.4,4.3,7.3,3.5,11.0,13.1,
4,Aaron Holiday,ATL,51,27,24,14.3,15.4,16.4,1.3,0.1,2.9,3.4,1.6,8.3,10.6,
5,Aaron Nesmith,IND,55,23,32,24.6,24.1,20.0,1.2,0.2,2.0,3.3,1.5,5.1,6.3,
6,Aaron Wiggins,OKC,48,25,23,18.5,14.9,13.8,1.4,0.2,2.4,3.7,1.7,9.3,11.5,
7,Admiral Schofield,ORL,28,11,17,12.6,15.4,9.8,0.8,0.0,1.4,2.3,0.9,5.3,5.8,
8,Al Horford,BOS,48,34,14,30.7,37.4,27.8,2.7,0.4,4.6,7.4,3.3,7.1,8.9,
9,Alec Burks,DET,48,12,36,22.1,21.6,24.9,2.2,0.2,3.7,5.3,2.5,10.2,11.4,
10,Aleksej Pokusevski,OKC,31,15,16,21.9,33.9,26.4,2.0,0.2,3.7,5.0,2.3,5.9,6.7,
11,Alex Caruso,CHI,50,21,29,24.3,38.5,29.8,3.2,0.4,5.1,8.4,4.0,8.3,10.5,
12,Alex Len,SAC,14,9,5,3.4,4.9,3.1,0.4,0.0,0.6,0.9,0.4,7.4,7.4,
13,Alize Johnson,SAS,4,1,3,7.4,8.8,5.8,0.3,0.0,1.3,0.8,0.3,2.9,2.9,
14,Alondes Williams,BKN,1,1,0,5.3,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,Alperen Sengun,HOU,55,10,45,28.1,37.5,35.7,3.8,0.3,6.6,9.7,4.6,10.0,12.3,
16,Amir Coffey,LAC,41,21,20,13.9,10.4,11.5,1.2,0.1,2.1,3.0,1.5,11.5,14.3,
17,Andre Drummond,CHI,48,21,27,13.0,11.9,9.7,0.6,0.0,0.9,1.3,0.6,4.7,4.9,
18,Andre Iguodala,GSW,2,0,2,12.3,19.5,11.5,2.0,0.5,3.0,5.0,2.5,10.3,12.8,
19,Andrew Nembhard,IND,55,24,31,27.0,32.5,35.5,4.1,0.3,7.9,10.7,5.0,12.5,15.3,
20,Andrew Wiggins,GSW,36,18,18,32.3,28.8,33.3,2.3,0.6,4.8,6.3,3.1,8.0,10.9,
21,Anfernee Simons,POR,56,27,29,35.5,46.9,58.9,4.2,1.0,7.4,10.7,5.6,8.9,11.8,
22,Anthony Davis,LAL,37,18,19,33.3,44.2,37.1,2.5,0.2,4.2,6.1,2.8,5.7,6.3,
23,Anthony Edwards,MIN,63,31,32,36.3,46.2,54.9,4.5,0.8,8.1,11.7,5.6,9.8,12.1,
24,Anthony Gill,WAS,42,17,25,10.0,7.2,6.2,0.5,0.0,0.9,1.4,0.6,6.6,8.0,
25,Anthony Lamb,GSW,45,24,21,19.6,26.2,19.3,1.7,0.2,3.6,5.0,2.2,6.5,8.3,
26,Austin Reaves,LAL,43,21,22,27.7,25.2,23.4,2.2,0.2,4.7,5.6,2.7,8.8,10.5,
27,Austin Rivers,MIN,48,23,25,20.7,18.5,19.3,1.5,0.3,2.5,3.9,1.9,8.1,10.4,
28,Ayo Dosunmu,CHI,58,27,31,28.3,37.6,37.3,2.8,0.5,5.2,6.8,3.5,7.5,9.4,
29,Bam Adebayo,MIA,57,30,27,35.0,42.0,43.4,3.2,0.4,5.9,8.4,3.8,7.7,9.1,
30,Ben Simmons,BKN,42,24,18,26.3,52.2,42.3,6.1,0.6,9.5,15.5,7.0,11.7,13.4,
31,Bennedict Mathurin,IND,62,27,35,28.3,23.7,31.0,1.5,0.2,2.7,4.0,1.9,6.1,8.0,
32,Bismack Biyombo,PHX,46,25,21,14.0,18.6,13.0,0.9,0.1,1.5,2.2,1.0,5.0,5.5,
33,Blake Griffin,BOS,27,17,10,14.1,16.0,12.4,1.3,0.1,2.0,3.4,1.4,7.9,8.6,
34,Blake Wesley,SAS,16,2,14,14.4,21.1,22.4,1.6,0.7,3.3,4.4,2.4,7.7,11.6,
35,Boban Marjanovic,HOU,20,1,19,4.5,3.4,3.8,0.2,0.0,0.2,0.5,0.2,5.9,5.9,
36,Bobby Portis,MIL,49,32,17,26.5,37.7,24.8,1.8,0.2,3.2,4.7,2.1,4.7,5.6,
37,Bogdan Bogdanovic,ATL,36,18,18,29.6,27.5,30.3,3.0,0.3,5.1,7.4,3.5,10.9,12.8,
38,Bojan Bogdanovic,DET,57,15,42,31.9,26.0,34.3,2.6,0.4,5.6,6.9,3.3,9.9,12.6,
39,Bol Bol,ORL,57,23,34,22.9,14.0,13.7,0.8,0.1,1.6,2.1,1.0,5.9,7.0,
40,Bones Hyland,LAC,45,30,15,19.3,32.0,38.2,2.9,0.5,5.2,7.3,3.8,9.0,11.7,
41,Bradley Beal,WAS,38,20,18,33.0,42.5,55.7,5.3,0.7,11.2,14.6,6.9,12.5,16.4,
42,Brandon Boston Jr.,LAC,21,8,13,11.7,12.8,14.3,0.9,0.2,2.1,2.1,1.0,7.1,8.2,
43,Brandon Clarke,MEM,53,30,23,19.9,20.5,18.3,1.3,0.2,2.5,3.4,1.6,6.3,7.9,
44,Brandon Ingram,NOP,27,12,15,32.7,38.8,53.3,4.7,0.6,10.1,12.9,5.9,12.2,15.2,
45,Braxton Key,DET,3,0,3,3.0,2.7,1.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,
46,Brook Lopez,MIL,59,42,17,30.4,20.6,22.0,1.2,0.2,2.2,3.2,1.5,5.9,7.2,
47,Bruce Brown,DEN,61,43,18,28.6,40.2,39.1,3.6,0.6,5.5,8.8,4.3,8.9,10.6,
48,Bruno Fernando,ATL,33,10,23,11.2,15.8,10.8,0.9,0.1,1.6,2.5,1.1,6.0,6.9,
49,Bryce McGowens,CHA,27,9,18,14.3,10.2,9.8,1.0,0.1,1.6,2.3,1.2,9.8,11.6,
