,Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time Of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
0,A.J. Lawson,DAL,13,5,8,4.8,2.6,4.8,3.2,0.1,1.39,0.62,0.54,0.0,0.0,0.2,0.0,0.0,2.0
1,AJ Green,MIL,29,23,6,9.8,4.8,12.5,7.7,0.5,2.62,1.86,0.383,0.1,0.0,0.3,0.0,0.0,0.8
2,AJ Griffin,ATL,58,27,31,20.2,9.1,21.7,14.8,0.7,2.05,1.47,0.418,0.5,0.0,0.6,0.852,2.0,1.0
3,Aaron Gordon,DEN,51,37,14,30.1,17.0,42.5,23.5,2.1,2.94,2.12,0.399,1.8,2.3,6.8,0.479,0.75,1.19
4,Aaron Holiday,ATL,51,27,24,14.3,4.1,20.7,8.4,1.4,4.03,3.65,0.199,0.1,0.0,0.4,0.286,0.0,0.571
5,Aaron Nesmith,IND,57,24,33,24.4,9.6,34.2,19.9,0.9,1.63,0.76,0.281,0.4,0.0,1.1,0.909,0.0,0.852
6,Aaron Wiggins,OKC,50,25,25,18.8,6.5,21.8,14.0,0.7,1.93,1.3,0.297,0.6,0.0,2.1,0.345,1.0,0.796
7,Admiral Schofield,ORL,29,11,18,12.3,4.3,18.9,8.8,0.5,1.7,0.8,0.23,0.4,0.0,1.0,0.615,0.0,0.821
8,Al Horford,BOS,49,35,14,30.8,9.7,46.5,25.6,1.2,1.55,0.47,0.209,1.2,1.0,2.9,0.322,0.353,0.543
9,Alec Burks,DET,49,12,37,22.0,12.9,34.5,21.1,1.8,3.06,2.37,0.375,0.3,0.3,0.3,0.625,0.533,0.529
10,Aleksej Pokusevski,OKC,31,15,16,21.9,8.8,44.4,24.2,1.2,1.6,0.75,0.199,1.6,0.0,3.4,0.608,0.0,0.724
11,Alex Caruso,CHI,52,22,30,24.2,5.6,45.7,18.8,2.0,2.66,1.92,0.123,0.8,0.0,1.3,0.186,0.0,0.561
12,Alex Len,SAC,14,9,5,3.4,0.9,6.1,3.4,0.2,1.51,0.41,0.151,1.3,0.0,0.9,0.333,0.0,0.75
13,Alize Johnson,SAS,4,1,3,7.4,1.8,11.5,5.5,0.5,2.7,1.98,0.152,0.0,0.3,1.0,0.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,9.0,3.0,0.4,2.72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,57,10,47,28.2,14.8,54.2,37.7,2.2,2.43,1.25,0.273,5.3,4.4,7.2,0.553,0.504,0.763
16,Amir Coffey,LAC,42,21,21,13.8,3.9,15.0,11.0,0.6,2.52,1.69,0.258,0.1,0.0,0.3,0.167,0.0,0.333
17,Andre Drummond,CHI,50,22,28,13.0,6.3,18.2,11.5,0.4,1.42,0.47,0.348,1.7,0.4,4.7,0.644,0.5,0.945
18,Andre Iguodala,GSW,2,0,2,12.2,1.0,21.0,10.5,0.6,1.81,0.62,0.048,1.0,0.0,1.0,0.0,0.0,1.0
19,Andrew Nembhard,IND,57,25,32,26.9,7.9,43.7,22.8,2.5,3.38,3.05,0.182,0.5,0.1,0.6,0.462,0.0,0.528
20,Andrew Wiggins,GSW,36,18,18,32.3,17.1,46.2,31.6,1.8,2.28,1.48,0.371,0.7,1.7,3.3,0.808,0.581,0.992
