,PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
0,A.J. Lawson,DAL,13,5,8,4.8,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
1,AJ Green,MIL,30,24,6,9.7,1.1,0.4,1.1,38.2,0.2,0.7,33.3,48.5
2,AJ Griffin,ATL,60,28,32,19.7,2.9,1.3,2.5,50.7,0.4,0.8,46.8,58.0
3,Aaron Gordon,DEN,56,39,17,30.0,1.7,0.6,1.6,39.1,0.4,1.0,42.6,51.6
4,Aaron Holiday,ATL,53,28,25,13.8,0.9,0.4,1.0,39.6,0.1,0.3,37.5,45.3
5,Aaron Nesmith,IND,59,26,33,24.5,0.9,0.4,1.0,36.7,0.2,0.5,40.0,46.7
6,Aaron Wiggins,OKC,56,30,26,18.9,0.2,0.1,0.3,33.3,0.1,0.1,50.0,43.3
7,Admiral Schofield,ORL,31,12,19,11.9,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
8,Al Horford,BOS,53,37,16,31.0,0.4,0.2,0.3,50.0,0.1,0.1,75.0,59.4
9,Alec Burks,DET,51,12,39,22.0,4.8,2.0,4.6,42.6,0.9,2.2,39.6,51.9
10,Aleksej Pokusevski,OKC,31,15,16,21.9,0.4,0.2,0.6,27.8,0.0,0.2,20.0,30.6
11,Alex Caruso,CHI,57,25,32,24.1,0.2,0.1,0.4,16.0,0.0,0.2,18.2,20.0
12,Alex Len,SAC,16,10,6,3.0,0.1,0.1,0.1,100,0.0,0.0,-,100
13,Alize Johnson,SAS,4,1,3,7.4,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,0.0,0.0,-,-,-,-,-
15,Alperen Sengun,HOU,62,12,50,28.3,0.4,0.2,0.5,40.6,0.0,0.1,0.0,40.6
16,Amir Coffey,LAC,44,22,22,13.5,0.5,0.2,0.8,28.6,0.0,0.1,16.7,30.0
17,Andre Drummond,CHI,54,24,30,12.9,0.0,0.0,0.0,100,0.0,0.0,-,100
18,Andre Iguodala,GSW,7,2,5,13.8,0.0,0.0,0.0,-,0.0,0.0,-,-
19,Andrew Nembhard,IND,61,28,33,26.8,2.0,0.9,2.5,34.2,0.3,0.8,32.0,39.4
