,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
0,A.J. Lawson,DAL,13,4.8,1.6,0.5,1.2,46.7,0.5,1.2,46.7,70.0
1,AJ Green,MIL,32,9.4,3.0,1.0,2.2,46.4,1.0,2.2,46.4,69.6
2,AJ Griffin,ATL,65,19.4,3.1,1.0,2.9,36.6,1.0,2.7,35.4,53.5
3,Aaron Gordon,DEN,61,30.1,1.6,0.6,1.7,33.3,0.5,1.5,33.0,47.6
4,Aaron Holiday,ATL,56,13.7,1.3,0.4,1.1,42.4,0.4,1.1,42.4,63.6
5,Aaron Nesmith,IND,64,24.8,3.9,1.3,3.8,33.7,1.3,3.8,33.5,50.2
6,Aaron Wiggins,OKC,61,18.4,1.8,0.6,1.6,37.1,0.6,1.6,37.5,55.7
7,Admiral Schofield,ORL,31,11.9,1.9,0.6,1.7,37.7,0.6,1.7,37.7,56.6
8,Al Horford,BOS,57,30.9,6.8,2.3,5.1,45.0,2.2,4.8,45.7,66.8
9,Alec Burks,DET,51,22.0,3.2,1.1,2.5,43.7,1.0,2.4,43.4,64.7
10,Aleksej Pokusevski,OKC,31,21.9,3.8,1.3,3.3,38.8,1.2,3.1,38.5,56.8
11,Alex Caruso,CHI,59,24.0,2.3,0.8,2.1,37.1,0.7,2.0,37.0,54.8
12,Alex Len,SAC,18,3.2,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
13,Alize Johnson,SAS,4,7.4,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
14,Alondes Williams,BKN,1,5.3,0.0,0.0,0.0,-,-,-,-,-
15,Alperen Sengun,HOU,66,28.6,0.8,0.3,0.9,35.1,0.2,0.6,34.2,46.5
16,Amir Coffey,LAC,46,13.0,0.7,0.2,0.7,32.4,0.2,0.7,29.0,45.6
17,Andre Drummond,CHI,59,12.7,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
18,Andre Iguodala,GSW,8,14.1,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0
19,Andrew Nembhard,IND,66,27.2,2.9,1.0,2.8,36.1,0.9,2.7,35.2,53.0
20,Andrew Wiggins,GSW,37,32.2,6.6,2.2,5.2,43.0,2.1,5.0,42.5,63.5
21,Anfernee Simons,POR,62,35.0,5.7,1.9,4.9,39.3,1.9,4.9,39.2,58.7
22,Anthony Davis,LAL,47,33.7,2.0,0.8,2.5,32.5,0.4,1.3,29.5,40.2
23,Anthony Edwards,MIN,71,36.0,3.2,1.1,2.6,42.3,1.0,2.4,42.2,62.4
24,Anthony Gill,WAS,50,9.8,0.2,0.1,0.4,21.1,0.1,0.4,16.7,28.9
25,Anthony Lamb,GSW,54,20.1,3.6,1.2,3.2,38.2,1.2,3.1,37.5,56.4
26,Austin Reaves,LAL,55,28.0,2.9,1.0,2.5,39.3,0.9,2.5,38.2,57.9
27,Austin Rivers,MIN,52,19.5,2.1,0.7,2.0,36.3,0.7,2.0,36.3,54.4
28,Ayo Dosunmu,CHI,70,26.8,2.2,0.7,2.3,31.9,0.7,2.3,31.3,47.2
29,Bam Adebayo,MIA,69,35.2,1.8,0.9,2.0,44.6,0.0,0.1,12.5,45.0
30,Ben Simmons,BKN,42,26.3,0.1,0.0,0.1,40.0,0.0,0.0,-,40.0
31,Bennedict Mathurin,IND,69,27.8,2.3,0.8,2.5,30.3,0.7,2.4,30.5,44.6
32,Bismack Biyombo,PHX,52,13.8,0.1,0.1,0.2,33.3,-,-,-,33.3
33,Blake Griffin,BOS,34,14.3,1.7,0.6,1.5,37.3,0.6,1.5,38.0,55.9
34,Blake Wesley,SAS,28,17.1,1.6,0.5,1.3,40.5,0.5,1.3,38.9,59.5
35,Boban Marjanovic,HOU,25,4.7,0.1,0.0,0.1,33.3,0.0,0.0,0.0,33.3
36,Bobby Portis,MIL,61,26.0,4.3,1.6,3.9,40.1,1.2,3.3,35.6,55.3
37,Bogdan Bogdanovic,ATL,47,28.3,6.5,2.3,5.4,42.3,1.9,4.8,39.6,60.1
38,Bojan Bogdanovic,DET,59,32.1,5.8,2.0,4.2,47.4,1.8,4.0,45.5,69.0
39,Bol Bol,ORL,67,21.4,0.9,0.3,1.0,30.4,0.3,0.9,28.6,43.5
40,Bones Hyland,LAC,48,19.1,2.9,1.0,2.6,37.6,1.0,2.5,38.5,56.4
41,Bradley Beal,WAS,50,33.5,3.1,1.1,2.7,41.8,0.9,2.2,40.0,58.2
42,Brandon Boston Jr.,LAC,21,11.7,0.7,0.2,0.8,31.3,0.2,0.7,35.7,46.9
43,Brandon Clarke,MEM,56,19.5,0.9,0.4,0.9,49.0,0.0,0.1,16.7,50.0
44,Brandon Ingram,NOP,36,33.2,4.3,1.5,3.6,42.3,1.2,2.9,41.9,59.2
45,Braxton Key,DET,3,3.0,0.0,0.0,0.0,-,-,-,-,-
46,Brook Lopez,MIL,70,30.6,5.7,2.0,5.1,39.4,1.7,4.4,38.5,56.2
47,Bruce Brown,DEN,72,28.1,3.2,1.1,2.9,37.1,1.1,2.8,37.7,55.5
48,Bruno Fernando,ATL,35,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Bryce McGowens,CHA,38,14.8,1.0,0.3,1.2,29.5,0.3,1.1,31.0,44.3
50,Bryn Forbes,MIN,25,10.7,1.2,0.4,1.4,29.4,0.4,1.3,31.3,44.1
51,Buddy Boeheim,DET,7,9.8,1.7,0.6,3.1,18.2,0.6,3.0,19.0,27.3
52,Buddy Hield,IND,73,31.7,7.6,2.5,6.1,41.8,2.5,6.0,41.9,62.5
53,CJ McCollum,NOP,66,35.1,5.1,1.7,4.5,38.3,1.7,4.2,39.7,56.7
54,Cade Cunningham,DET,12,33.3,2.4,0.8,2.7,31.3,0.8,2.3,33.3,45.3
55,Caleb Houstan,ORL,44,15.3,2.5,0.9,2.4,35.5,0.8,2.3,36.0,52.3
56,Caleb Martin,MIA,63,29.7,3.2,1.1,3.1,35.7,1.0,2.8,35.1,51.3
57,Cam Reddish,POR,37,24.9,2.9,1.0,3.1,32.7,0.9,3.0,31.8,48.2
58,Cam Thomas,BKN,52,16.6,1.1,0.4,0.9,44.4,0.3,0.8,40.0,62.2
59,Cameron Johnson,BKN,34,28.0,6.7,2.3,5.7,39.5,2.2,5.6,39.7,58.7
60,Cameron Payne,PHX,40,21.2,2.6,0.9,2.5,34.3,0.9,2.5,34.3,51.5
61,Caris LeVert,CLE,69,30.0,3.2,1.1,2.8,38.5,1.1,2.8,38.2,57.6
62,Carlik Jones,CHI,2,11.4,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
63,Cedi Osman,CLE,70,20.7,3.7,1.2,3.4,36.7,1.2,3.3,36.3,54.6
64,Charles Bassey,SAS,35,14.5,0.4,0.2,0.5,36.8,0.0,0.1,20.0,39.5
65,Chima Moneke,SAC,2,4.0,0.0,0.0,0.0,-,-,-,-,-
66,Chimezie Metu,SAC,59,10.8,0.6,0.2,0.6,31.6,0.2,0.6,27.3,43.4
67,Chris Boucher,TOR,67,20.0,2.5,0.8,2.5,33.3,0.8,2.4,33.3,49.1
68,Chris Duarte,IND,45,19.8,2.3,0.8,2.2,34.7,0.7,2.2,34.0,51.0
69,Chris Paul,PHX,51,32.0,2.3,0.8,1.5,52.0,0.7,1.4,51.4,76.7
70,Chris Silva,DAL,1,3.0,0.0,0.0,0.0,-,-,-,-,-
71,Christian Braun,DEN,67,14.5,1.1,0.4,1.0,36.8,0.4,0.9,38.1,54.4
72,Christian Koloko,TOR,50,13.9,0.1,0.1,0.3,17.6,0.0,0.2,11.1,20.6
73,Christian Wood,DAL,60,26.7,4.4,1.5,3.6,41.4,1.4,3.4,41.7,61.2
74,Chuma Okeke,ORL,22,18.8,2.5,0.8,2.6,31.0,0.8,2.6,31.0,46.6
75,Clint Capela,ATL,57,26.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Coby White,CHI,64,22.8,4.3,1.5,3.8,38.1,1.4,3.8,37.9,57.0
77,Cody Martin,CHA,7,19.1,1.6,0.6,1.4,40.0,0.4,1.3,33.3,55.0
78,Cody Zeller,MIA,10,13.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
79,Cole Anthony,ORL,54,25.6,2.6,0.9,2.5,36.3,0.8,2.4,34.6,53.0
80,Cole Swider,LAL,6,6.7,1.5,0.5,1.0,50.0,0.5,1.0,50.0,75.0
81,Collin Sexton,UTA,47,24.0,1.8,0.6,1.6,38.2,0.6,1.6,37.0,55.9
