,PLAYER,TEAM,GP,W,L,MIN,Touches,Paint Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,Pass,Pass%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,13,5,8,4.8,4.8,0.2,0.2,0.2,100.0,0.0,0.0,0.0,0.3,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,32,25,7,9.4,11.9,0.3,0.1,0.1,75.0,0.1,0.1,100.0,0.3,80.0,0.1,30.0,0.0,10.0,0.0,10.0,0.0,10.0
2,AJ Griffin,ATL,65,30,35,19.4,21.1,0.7,0.3,0.4,73.1,0.0,0.1,75.0,0.6,95.3,0.2,25.6,0.0,7.0,0.0,7.0,0.0,4.7
3,Aaron Gordon,DEN,61,42,19,30.1,41.7,6.8,3.5,4.7,76.1,0.9,1.5,57.8,8.0,119.2,0.9,12.6,0.2,3.4,0.2,3.6,0.7,10.0
4,Aaron Holiday,ATL,56,29,27,13.7,20.6,0.4,0.1,0.2,41.7,0.0,0.0,100.0,0.2,57.1,0.1,33.3,0.0,0.0,0.0,0.0,0.0,4.8
5,Aaron Nesmith,IND,64,28,36,24.8,34.8,1.1,0.4,0.6,60.0,0.1,0.1,100.0,0.9,81.2,0.2,21.7,0.0,4.3,0.1,10.1,0.0,4.3
6,Aaron Wiggins,OKC,61,33,28,18.4,20.8,2.1,0.8,1.2,63.0,0.2,0.3,88.2,1.7,83.5,0.6,26.8,0.2,8.7,0.1,6.3,0.1,6.3
7,Admiral Schofield,ORL,31,12,19,11.9,18.1,1.0,0.4,0.6,61.1,0.0,0.1,50.0,0.7,76.7,0.3,33.3,0.1,13.3,0.0,0.0,0.0,3.3
8,Al Horford,BOS,57,40,17,30.9,46.1,2.8,0.7,1.3,53.9,0.1,0.1,75.0,1.5,54.1,1.2,41.5,0.4,12.6,0.1,5.0,0.0,1.3
9,Alec Burks,DET,50,12,38,22.0,34.6,0.4,0.1,0.2,44.4,0.0,0.0,100.0,0.2,61.1,0.1,33.3,0.0,5.6,0.0,11.1,0.0,5.6
