,PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
0,A.J. Lawson,DAL,13,5,8,4.8,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
1,AJ Green,MIL,29,23,6,9.8,1.1,0.4,1.1,39.4,0.2,0.7,33.3,50.0
2,AJ Griffin,ATL,58,27,31,20.2,3.0,1.3,2.6,51.0,0.4,0.8,47.8,58.4
3,Aaron Gordon,DEN,51,37,14,30.1,1.7,0.7,1.7,39.1,0.4,1.0,42.9,51.1
4,Aaron Holiday,ATL,51,27,24,14.3,0.9,0.4,1.0,38.5,0.1,0.3,37.5,44.2
5,Aaron Nesmith,IND,56,24,32,24.5,0.9,0.4,1.0,36.2,0.2,0.5,37.9,45.7
6,Aaron Wiggins,OKC,50,25,25,18.8,0.3,0.1,0.3,33.3,0.1,0.1,50.0,43.3
7,Admiral Schofield,ORL,29,11,18,12.3,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
8,Al Horford,BOS,49,35,14,30.8,0.3,0.1,0.3,50.0,0.1,0.1,100,60.7
9,Alec Burks,DET,50,12,38,22.0,4.9,2.0,4.7,43.2,0.9,2.2,40.0,52.6
10,Aleksej Pokusevski,OKC,31,15,16,21.9,0.4,0.2,0.6,27.8,0.0,0.2,20.0,30.6
11,Alex Caruso,CHI,53,23,30,24.2,0.2,0.1,0.5,16.7,0.0,0.2,18.2,20.8
12,Alex Len,SAC,14,9,5,3.4,0.1,0.1,0.1,100,0.0,0.0,-,100
13,Alize Johnson,SAS,4,1,3,7.4,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,0.0,0.0,-,-,-,-,-
15,Alperen Sengun,HOU,57,10,47,28.2,0.4,0.2,0.5,40.0,0.0,0.1,0.0,40.0
16,Amir Coffey,LAC,41,21,20,13.9,0.5,0.2,0.8,29.4,0.0,0.1,16.7,30.9
17,Andre Drummond,CHI,50,22,28,13.0,0.0,0.0,0.0,100,0.0,0.0,-,100
18,Andre Iguodala,GSW,3,1,2,14.1,0.0,0.0,0.0,-,-,-,-,-
19,Andrew Nembhard,IND,56,25,31,27.0,2.1,0.9,2.5,35.5,0.3,0.8,34.9,40.8
20,Andrew Wiggins,GSW,37,19,18,32.2,2.3,1.1,3.1,33.9,0.2,0.8,24.1,37.0
21,Anfernee Simons,POR,57,27,30,35.3,7.1,2.9,7.3,39.1,1.4,4.0,34.9,48.7
22,Anthony Davis,LAL,38,18,20,33.3,2.3,1.1,2.6,43.9,0.0,0.1,0.0,43.9
23,Anthony Edwards,MIN,64,32,32,36.4,7.1,2.8,8.0,34.6,1.5,4.6,33.0,44.2
24,Anthony Gill,WAS,42,17,25,10.0,0.0,0.0,0.2,14.3,0.0,0.1,0.0,14.3
25,Anthony Lamb,GSW,47,26,21,19.9,0.3,0.1,0.3,33.3,0.1,0.3,33.3,46.7
26,Austin Reaves,LAL,45,22,23,27.6,1.8,0.8,1.8,45.0,0.2,0.6,42.3,51.9
27,Austin Rivers,MIN,49,24,25,20.4,0.2,0.1,0.4,15.0,0.1,0.3,18.8,22.5
28,Ayo Dosunmu,CHI,61,29,32,27.9,0.7,0.4,0.9,38.6,0.0,0.0,33.3,39.5
29,Bam Adebayo,MIA,58,30,28,35.0,2.9,1.4,3.4,43.1,0.0,0.1,0.0,43.1
30,Ben Simmons,BKN,42,24,18,26.3,0.2,0.1,0.4,23.5,0.0,0.0,0.0,23.5
31,Bennedict Mathurin,IND,63,28,35,28.2,2.6,1.0,3.0,33.3,0.6,1.7,35.6,43.3
32,Bismack Biyombo,PHX,46,25,21,13.9,0.0,0.0,0.0,50.0,-,-,-,50.0
33,Blake Griffin,BOS,27,17,10,14.1,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0
34,Blake Wesley,SAS,18,3,15,14.3,0.8,0.4,1.5,25.9,0.1,0.2,33.3,27.8
35,Boban Marjanovic,HOU,22,1,21,4.4,0.3,0.1,0.4,37.5,0.0,0.0,-,37.5
36,Bobby Portis,MIL,51,34,17,26.1,1.7,0.9,2.2,38.6,0.0,0.1,14.3,39.0
37,Bogdan Bogdanovic,ATL,37,18,19,29.3,4.5,1.8,4.4,41.7,0.8,2.0,40.5,50.9
38,Bojan Bogdanovic,DET,59,15,44,32.1,5.4,2.4,5.5,43.7,0.6,1.7,32.7,48.8
39,Bol Bol,ORL,58,23,35,22.7,1.4,0.6,1.7,36.4,0.2,0.5,32.3,41.4
40,Bones Hyland,LAC,45,30,15,19.3,4.0,1.5,4.3,34.4,1.1,2.9,37.4,47.1
41,Bradley Beal,WAS,39,21,18,33.1,7.2,3.2,6.9,46.8,0.7,2.1,33.3,51.9
42,Brandon Boston Jr.,LAC,21,8,13,11.7,2.2,1.0,2.4,40.0,0.3,0.7,46.7,47.0
43,Brandon Clarke,MEM,55,32,23,19.8,0.3,0.1,0.2,61.5,0.0,0.0,-,61.5
44,Brandon Ingram,NOP,28,13,15,32.9,8.6,4.1,9.6,42.2,0.4,1.1,37.5,44.4
45,Braxton Key,DET,3,0,3,3.0,0.7,0.3,0.3,100,-,-,-,100
46,Brook Lopez,MIL,61,44,17,30.3,0.8,0.4,1.0,37.9,0.1,0.3,27.8,42.2
47,Bruce Brown,DEN,62,44,18,28.6,1.4,0.6,1.7,36.9,0.1,0.5,27.6,40.8
48,Bruno Fernando,ATL,33,10,23,11.2,0.1,0.0,0.1,50.0,0.0,0.0,-,50.0
49,Bryce McGowens,CHA,28,9,19,14.4,0.1,0.0,0.5,7.7,0.0,0.2,16.7,11.5
50,Bryn Forbes,MIN,25,9,16,10.7,1.1,0.5,1.3,37.5,0.2,0.6,28.6,43.8
51,Buddy Boeheim,DET,1,0,1,1.0,0.0,0.0,0.0,-,-,-,-,-
52,Buddy Hield,IND,63,28,35,32.0,4.4,1.7,3.9,42.9,1.1,2.5,43.6,56.7
53,CJ McCollum,NOP,56,27,29,35.0,8.5,3.7,8.6,42.8,1.2,3.1,37.1,49.6
54,Cade Cunningham,DET,12,3,9,33.3,8.0,3.7,8.8,41.5,0.7,2.8,24.2,45.3
55,Caleb Houstan,ORL,35,12,23,15.8,0.2,0.1,0.2,50.0,0.1,0.1,66.7,66.7
56,Caleb Martin,MIA,53,27,26,30.0,1.7,0.7,1.6,45.2,0.3,0.6,44.1,54.2
57,Cam Reddish,POR,27,11,16,23.2,0.9,0.3,1.0,32.1,0.2,0.7,33.3,42.9
58,Cam Thomas,BKN,45,25,20,17.4,3.9,1.7,4.3,38.5,0.5,1.4,36.9,44.6
59,Cameron Johnson,BKN,24,14,10,26.3,3.0,1.3,2.5,51.7,0.4,0.7,52.9,59.2
60,Cameron Payne,PHX,31,17,14,22.9,4.2,1.7,4.3,40.2,0.8,1.8,42.9,49.2
61,Caris LeVert,CLE,59,34,25,30.0,2.7,1.1,3.4,31.5,0.5,1.6,33.7,39.3
62,Carlik Jones,CHI,2,1,1,11.4,0.0,0.0,0.5,0.0,0.0,0.0,-,0.0
63,Cedi Osman,CLE,61,37,24,20.8,0.9,0.3,0.9,32.1,0.3,0.7,36.4,46.4
64,Charles Bassey,SAS,29,6,23,14.1,0.3,0.1,0.2,50.0,0.1,0.1,66.7,66.7
65,Chima Moneke,SAC,2,1,1,4.0,0.0,0.0,0.0,-,-,-,-,-
66,Chimezie Metu,SAC,48,29,19,11.1,0.0,0.0,0.1,16.7,0.0,0.1,0.0,16.7
67,Chris Boucher,TOR,57,29,28,20.6,0.3,0.2,0.4,37.5,0.0,0.1,14.3,39.6
68,Chris Duarte,IND,39,16,23,18.7,2.4,1.0,3.1,31.1,0.5,1.6,29.0,38.5
69,Chris Paul,PHX,42,22,20,32.2,7.7,3.4,8.4,40.4,0.9,2.8,30.3,45.5
70,Chris Silva,DAL,1,1,0,3.0,0.0,0.0,0.0,-,-,-,-,-
71,Christian Braun,DEN,58,41,17,15.0,0.4,0.1,0.4,33.3,0.1,0.2,50.0,43.8
72,Christian Koloko,TOR,46,21,25,14.4,0.0,0.0,0.0,-,0.0,0.0,-,-
73,Christian Wood,DAL,51,27,24,27.2,0.8,0.4,1.5,25.3,0.1,0.7,13.5,28.7
74,Chuma Okeke,ORL,20,5,15,20.4,0.5,0.2,0.7,30.8,0.1,0.3,33.3,38.5
75,Clint Capela,ATL,46,25,21,26.8,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
76,Coby White,CHI,55,26,29,22.4,1.4,0.6,1.7,34.8,0.2,0.8,28.6,41.3
77,Cody Martin,CHA,7,2,5,19.1,0.3,0.1,1.4,10.0,0.0,0.7,0.0,10.0
78,Cody Zeller,MIA,4,1,3,15.6,0.0,0.0,0.3,0.0,-,-,-,0.0
79,Cole Anthony,ORL,43,20,23,24.9,3.2,1.4,3.3,43.0,0.3,0.9,38.5,48.2
80,Cole Swider,LAL,6,1,5,6.7,0.0,0.0,0.5,0.0,0.0,0.3,0.0,0.0
81,Collin Sexton,UTA,47,24,23,24.0,2.4,1.0,2.1,46.0,0.4,0.9,47.6,56.0
82,Corey Kispert,WAS,53,25,28,26.9,0.4,0.2,0.5,32.0,0.1,0.3,35.7,42.0
83,Cory Joseph,DET,44,10,34,16.2,1.5,0.6,1.8,35.4,0.2,0.7,29.0,41.1
84,D'Angelo Russell,LAL,58,30,28,32.4,6.5,2.7,6.2,43.1,1.1,2.9,39.1,52.2
85,Daishen Nix,HOU,45,11,34,16.2,1.0,0.3,0.9,37.5,0.3,0.8,38.9,55.0
86,Dalano Banton,TOR,27,14,13,9.3,0.4,0.2,1.1,17.2,0.1,0.4,16.7,20.7
