,PLAYER,TEAM,GP,W,L,MIN,REB,Contested REB,Contested REB%,REB Chances,REB Chance%,Deferred REB Chances,Adjusted REB Chance%,AVG REB Distance
0,A.J. Lawson,DAL,8,1,7,10.5,2.6,1.3,47.6,3.8,70.0,0.4,77.8,6.1
1,AJ Green,MIL,23,16,7,12.9,2.0,0.7,35.6,3.6,54.2,0.3,60.0,8.1
2,AJ Griffin,ATL,63,27,36,20.8,2.4,0.6,24.2,4.1,59.1,0.2,61.9,8.7
3,Aaron Gordon,DEN,67,44,23,30.3,6.7,2.7,41.3,10.7,62.0,0.5,65.2,5.9
4,Aaron Holiday,ATL,39,18,21,16.1,1.9,0.4,20.3,3.4,56.1,0.2,59.2,10.1
5,Aaron Nesmith,IND,71,29,42,25.3,3.9,1.1,28.5,8.2,47.6,0.8,52.5,7.0
6,Aaron Wiggins,OKC,64,34,30,19.4,3.3,1.3,39.5,6.1,53.7,0.5,58.8,7.3
7,Admiral Schofield,ORL,24,11,13,15.0,2.6,0.9,35.5,5.8,44.9,0.4,48.4,7.1
8,Al Horford,BOS,63,44,19,30.5,6.2,2.0,33.1,10.2,60.7,0.9,66.8,6.4
9,Alec Burks,DET,44,11,33,22.6,3.5,0.8,22.6,5.7,62.2,0.3,65.1,7.7
10,Aleksej Pokusevski,OKC,33,16,17,21.0,4.8,2.1,43.4,9.4,51.5,1.1,58.2,5.0
11,Alex Caruso,CHI,59,27,32,24.0,3.3,0.6,17.6,6.0,54.8,0.5,59.8,9.3
12,Alex Len,SAC,17,9,8,8.7,3.5,1.2,35.0,5.8,61.2,0.4,65.2,5.5
13,Alize Johnson,SAS,4,1,3,7.4,2.5,0.8,30.0,4.5,55.6,0.3,58.8,3.8
14,Alondes Williams,BKN,1,1,0,5.3,1.0,0.0,0.0,1.0,100.0,0.0,100.0,7.0
15,Alperen Sengun,HOU,75,18,57,28.9,9.0,4.1,45.4,16.1,56.3,1.2,61.0,5.1
16,Amir Coffey,LAC,26,11,15,19.5,2.0,0.3,17.0,4.0,51.0,0.3,54.6,10.5
17,Andre Drummond,CHI,67,32,35,12.7,6.6,3.3,50.5,9.6,69.2,0.4,72.1,4.1
18,Andre Iguodala,GSW,6,2,4,13.4,2.2,0.5,23.1,4.2,52.0,0.5,59.1,7.3
19,Andrew Nembhard,IND,71,30,41,27.9,2.8,0.5,16.6,5.0,55.6,0.4,59.9,9.9
20,Andrew Wiggins,GSW,35,17,18,32.4,5.2,1.5,28.7,9.9,52.3,0.8,56.9,7.1
21,Anfernee Simons,POR,57,26,31,34.8,2.8,0.6,21.1,5.1,55.7,0.5,61.2,9.5
22,Anthony Davis,LAL,56,31,25,34.0,12.5,6.8,54.0,20.2,62.0,1.5,67.0,4.3
23,Anthony Edwards,MIN,76,39,37,36.4,6.0,1.2,20.8,10.2,58.5,0.8,63.3,7.0
24,Anthony Gill,WAS,42,13,29,13.2,2.4,0.8,35.4,4.4,54.1,0.4,59.6,6.0
25,Anthony Lamb,GSW,54,29,25,20.1,3.9,1.4,36.2,7.7,50.2,0.7,55.4,6.5
26,Austin Reaves,LAL,57,32,25,29.3,3.4,0.4,13.0,6.2,54.5,0.6,60.7,9.1
27,Austin Rivers,MIN,36,16,20,22.4,2.3,0.2,9.6,3.8,61.0,0.3,65.9,9.6
28,Ayo Dosunmu,CHI,66,33,33,27.4,3.3,0.6,18.4,5.9,56.1,0.6,62.0,10.3
