,Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time Of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
0,A.J. Lawson,DAL,13,5,8,4.8,2.6,4.8,3.2,0.1,1.39,0.62,0.54,0.0,0.0,0.2,0.0,0.0,2.0
1,AJ Green,MIL,34,27,7,9.7,4.4,12.1,7.4,0.5,2.53,1.75,0.361,0.1,0.0,0.4,0.0,0.0,0.667
2,AJ Griffin,ATL,71,34,37,19.3,8.8,20.9,14.1,0.7,2.08,1.5,0.422,0.4,0.0,0.7,0.806,2.0,0.918
3,Aaron Gordon,DEN,67,45,22,30.2,16.3,42.6,23.8,2.1,2.96,2.11,0.383,1.8,2.2,6.7,0.483,0.717,1.177
4,Aaron Holiday,ATL,61,32,29,13.3,3.9,20.1,7.9,1.4,4.15,3.77,0.196,0.1,0.0,0.4,0.25,0.0,0.636
5,Aaron Nesmith,IND,71,29,42,25.0,10.1,36.1,20.8,1.0,1.67,0.81,0.278,0.4,0.0,1.1,0.759,0.0,0.763
6,Aaron Wiggins,OKC,68,35,33,18.5,6.7,20.8,13.0,0.7,1.91,1.27,0.324,0.5,0.0,2.1,0.457,1.0,0.894
7,Admiral Schofield,ORL,34,14,20,11.5,4.0,17.4,8.3,0.5,1.72,0.82,0.228,0.4,0.0,0.9,0.533,0.0,0.719
8,Al Horford,BOS,62,43,19,30.5,9.8,45.9,25.5,1.2,1.53,0.47,0.213,1.1,0.9,2.7,0.271,0.386,0.544
9,Alec Burks,DET,50,12,38,22.0,12.9,34.6,21.2,1.7,3.03,2.34,0.374,0.3,0.3,0.4,0.625,0.533,0.611
10,Aleksej Pokusevski,OKC,34,16,18,20.6,8.1,41.7,22.7,1.1,1.6,0.75,0.195,1.6,0.0,3.1,0.63,0.0,0.71
11,Alex Caruso,CHI,64,30,34,23.7,5.7,42.9,17.6,1.9,2.6,1.84,0.132,0.8,0.0,1.3,0.292,0.0,0.614
12,Alex Len,SAC,24,15,9,5.5,1.6,8.5,4.6,0.2,1.4,0.36,0.185,1.2,0.0,1.7,0.357,0.0,0.707
13,Alize Johnson,SAS,4,1,3,7.4,1.8,11.5,5.5,0.5,2.7,1.98,0.152,0.0,0.3,1.0,0.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,9.0,3.0,0.4,2.72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,73,16,57,29.0,14.8,55.9,38.6,2.3,2.42,1.24,0.266,5.1,4.4,6.9,0.532,0.53,0.762
16,Amir Coffey,LAC,49,25,24,12.7,3.5,13.9,10.3,0.6,2.5,1.66,0.253,0.1,0.0,0.2,0.429,0.0,0.333
17,Andre Drummond,CHI,66,31,35,12.7,5.9,17.2,10.5,0.4,1.42,0.48,0.344,1.6,0.5,4.4,0.611,0.8,0.962
18,Andre Iguodala,GSW,7,2,5,13.5,1.7,24.4,13.3,0.7,1.76,0.68,0.07,0.7,0.0,1.3,0.4,0.0,0.889
19,Andrew Nembhard,IND,73,31,42,27.5,9.3,48.2,23.5,2.9,3.62,3.27,0.193,0.4,0.1,0.6,0.467,0.0,0.543
20,Andrew Wiggins,GSW,36,18,18,32.3,17.1,46.2,31.6,1.8,2.28,1.48,0.371,0.7,1.7,3.3,0.808,0.581,0.992
21,Anfernee Simons,POR,62,27,35,35.0,21.1,67.4,32.3,5.4,4.78,4.18,0.312,0.3,0.0,0.6,0.95,0.0,0.842
22,Anthony Davis,LAL,54,29,25,34.0,26.3,68.6,38.4,2.5,2.16,0.91,0.384,5.3,5.2,10.6,0.765,0.707,1.19
23,Anthony Edwards,MIN,77,38,39,36.1,24.5,71.3,37.1,4.7,3.99,3.44,0.344,0.5,0.6,0.9,0.875,0.689,0.957
24,Anthony Gill,WAS,57,20,37,10.3,3.2,10.4,6.8,0.3,1.74,0.71,0.308,0.4,0.0,1.3,0.545,2.0,1.227
25,Anthony Lamb,GSW,59,33,26,19.6,6.7,33.1,17.8,1.0,1.81,0.94,0.203,0.6,0.3,1.8,0.405,0.0,0.558
26,Austin Reaves,LAL,62,33,29,28.7,12.9,41.7,21.9,2.5,3.57,3.08,0.309,0.5,0.0,0.9,0.4,0.0,0.709
27,Austin Rivers,MIN,52,25,27,19.5,4.9,22.8,13.3,1.1,3.0,2.37,0.215,0.1,0.0,0.1,1.0,0.0,0.571
28,Ayo Dosunmu,CHI,77,37,40,26.1,8.5,42.7,16.5,2.5,3.45,3.15,0.199,0.2,0.0,0.6,0.875,0.0,0.98
29,Bam Adebayo,MIA,73,38,35,35.2,20.7,62.7,36.8,3.0,2.86,1.59,0.33,6.9,2.7,7.7,0.68,0.616,0.88
30,Ben Simmons,BKN,42,24,18,26.3,6.9,61.4,21.5,3.5,3.42,2.35,0.113,2.3,1.1,4.0,0.344,0.444,0.846
31,Bennedict Mathurin,IND,76,32,44,28.2,16.6,41.6,28.4,1.7,2.49,1.69,0.398,1.1,0.1,1.8,0.88,0.3,1.06
32,Bismack Biyombo,PHX,59,32,27,14.4,4.3,23.4,13.6,0.6,1.57,0.47,0.185,2.5,0.8,5.0,0.388,0.44,0.67
33,Blake Griffin,BOS,39,25,14,14.0,4.2,20.7,12.5,0.6,1.65,0.62,0.203,1.1,0.4,2.3,0.614,0.571,0.753
34,Blake Wesley,SAS,33,7,26,17.5,4.7,35.0,12.5,2.8,4.85,4.47,0.135,0.3,0.0,0.8,0.444,0.0,0.48
35,Boban Marjanovic,HOU,29,5,24,5.2,3.0,6.8,4.4,0.2,2.13,0.9,0.449,0.6,1.4,1.5,0.882,0.929,1.273
36,Bobby Portis,MIL,69,47,22,26.1,14.1,49.6,25.0,1.5,1.76,0.73,0.284,1.4,3.0,4.2,0.606,0.614,0.883
37,Bogdan Bogdanovic,ATL,53,27,26,28.1,14.1,40.7,25.2,1.8,2.7,1.91,0.346,0.6,0.1,0.5,0.516,0.667,0.72
38,Bojan Bogdanovic,DET,58,15,43,32.0,21.5,46.6,33.0,2.3,2.97,2.15,0.462,0.8,1.0,0.8,0.955,0.483,0.816
39,Bol Bol,ORL,67,26,41,21.4,9.0,22.6,12.5,0.9,2.32,1.56,0.4,0.4,0.1,1.9,1.148,0.6,1.44
40,Bones Hyland,LAC,54,34,20,19.4,11.8,45.8,19.5,3.6,4.76,4.1,0.258,0.2,0.0,0.4,0.727,0.0,0.7
41,Bradley Beal,WAS,50,24,26,33.5,23.2,67.9,39.2,5.1,4.52,4.07,0.342,1.9,0.6,1.6,0.638,0.438,0.938
42,Brandon Boston Jr.,LAC,21,8,13,11.7,6.8,20.3,11.6,1.0,2.94,2.6,0.335,0.1,0.1,0.5,1.0,0.667,0.5
43,Brandon Clarke,MEM,56,32,24,19.5,10.0,28.5,17.8,0.7,1.52,0.65,0.35,4.3,0.2,5.4,0.554,0.444,1.095
44,Brandon Ingram,NOP,43,22,21,33.9,24.5,65.7,38.3,4.5,4.07,3.1,0.373,2.1,1.6,1.0,0.708,0.824,0.732
45,Braxton Key,DET,3,0,3,3.0,1.3,3.3,1.3,0.1,1.56,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
46,Brook Lopez,MIL,78,57,21,30.4,15.9,34.3,23.5,0.8,1.43,0.43,0.463,2.5,1.7,5.8,0.559,1.037,1.162
47,Bruce Brown,DEN,78,52,26,28.3,11.2,51.1,24.4,3.0,3.5,2.87,0.218,0.8,0.1,1.9,0.892,1.0,0.883
48,Bruno Fernando,ATL,38,13,25,10.1,3.5,17.9,10.6,0.4,1.4,0.5,0.196,1.3,0.2,3.3,0.347,0.667,0.815
49,Bryce McGowens,CHA,44,15,29,16.3,4.7,17.8,11.7,0.7,2.34,1.44,0.266,0.1,0.0,0.5,0.5,0.0,0.792
