,PLAYER,TEAM,GP,W,L,MIN,Touches,Post Ups,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,13,5,8,4.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,28,22,6,9.5,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AJ Griffin,ATL,58,27,31,20.2,21.7,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Aaron Gordon,DEN,51,37,14,30.1,42.5,2.3,0.6,1.1,51.7,0.5,0.7,70.6,1.7,75.0,0.5,23.3,0.1,4.3,0.1,6.0,0.3,13.8
4,Aaron Holiday,ATL,51,27,24,14.3,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Aaron Nesmith,IND,56,24,32,24.5,34.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Aaron Wiggins,OKC,49,25,24,18.7,21.7,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Admiral Schofield,ORL,28,11,17,12.6,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Al Horford,BOS,48,34,14,30.7,46.4,1.1,0.2,0.4,50.0,0.0,0.0,0.0,0.4,35.3,0.4,39.2,0.1,11.8,0.1,13.7,0.0,0.0
9,Alec Burks,DET,48,12,36,22.1,34.6,0.3,0.1,0.1,57.1,0.0,0.0,0.0,0.2,53.3,0.1,46.7,0.0,0.0,0.0,0.0,0.0,0.0
10,Aleksej Pokusevski,OKC,31,15,16,21.9,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Alex Caruso,CHI,51,21,30,24.3,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Alex Len,SAC,14,9,5,3.4,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Alize Johnson,SAS,4,1,3,7.4,11.5,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,56,10,46,28.1,53.9,4.4,0.9,1.7,53.7,0.4,0.5,70.0,2.2,50.2,1.7,38.8,0.4,9.4,0.3,6.1,0.3,6.1
16,Amir Coffey,LAC,41,21,20,13.9,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Andre Drummond,CHI,49,21,28,13.1,18.4,0.4,0.1,0.2,55.6,0.0,0.1,25.0,0.2,50.0,0.2,40.9,0.0,4.5,0.0,4.5,0.0,9.1
18,Andre Iguodala,GSW,2,0,2,12.3,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Andrew Nembhard,IND,56,25,31,27.0,43.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,33.3,0.0,33.3,0.0,0.0
20,Andrew Wiggins,GSW,36,18,18,32.3,46.2,1.7,0.4,0.8,59.3,0.1,0.2,66.7,1.0,58.1,0.8,43.5,0.2,12.9,0.0,1.6,0.1,4.8
21,Anfernee Simons,POR,56,27,29,35.5,69.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Anthony Davis,LAL,38,18,20,33.3,67.5,5.3,1.4,2.8,48.6,1.1,1.3,84.0,3.9,73.1,1.2,23.4,0.3,5.0,0.3,5.0,0.7,12.4
23,Anthony Edwards,MIN,64,32,32,36.4,72.8,0.6,0.2,0.3,52.6,0.0,0.1,50.0,0.4,68.4,0.2,31.6,0.1,10.5,0.0,5.3,0.0,7.9
24,Anthony Gill,WAS,42,17,25,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Anthony Lamb,GSW,46,25,21,19.8,33.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,93.8,0.1,18.8,0.0,0.0,0.0,0.0
26,Austin Reaves,LAL,44,21,23,27.7,35.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Austin Rivers,MIN,49,24,25,20.4,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Ayo Dosunmu,CHI,59,27,32,28.2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Bam Adebayo,MIA,57,30,27,35.0,64.2,2.6,0.7,1.3,51.4,0.3,0.4,82.6,1.7,62.9,0.8,30.5,0.2,7.3,0.2,7.9,0.2,7.9
30,Ben Simmons,BKN,42,24,18,26.3,61.4,1.1,0.2,0.5,50.0,0.0,0.0,0.0,0.5,44.4,0.5,48.9,0.2,22.2,0.0,2.2,0.0,2.2
