,PLAYER,TEAM,GP,W,L,MIN,Passes Made,Passes Received,AST,Secondary AST,Potential AST,AST PTS Created,AST PTS Created.1,AST Adj,AST To Pass%,AST To Pass% Adj
0,A.J. Lawson,DAL,13,5,8,4.8,2.7,3.3,0.1,0.1,0.3,0.2,0.2,2.9,5.7,
1,AJ Green,MIL,34,27,7,9.7,7.8,8.6,0.6,0.1,1.3,1.6,0.7,7.5,9.0,
2,AJ Griffin,ATL,71,34,37,19.3,12.3,14.4,1.0,0.1,1.6,2.5,1.2,8.1,9.5,
3,Aaron Gordon,DEN,67,45,22,30.2,26.5,28.2,3.0,0.4,4.7,7.6,3.6,11.3,13.6,
4,Aaron Holiday,ATL,61,32,29,13.3,15.1,15.9,1.4,0.1,2.9,3.6,1.7,9.0,11.1,
5,Aaron Nesmith,IND,71,29,42,25.0,25.3,20.7,1.4,0.2,2.1,3.5,1.6,5.3,6.5,
6,Aaron Wiggins,OKC,68,35,33,18.5,14.0,13.5,1.1,0.2,2.0,3.0,1.4,8.1,10.1,
7,Admiral Schofield,ORL,34,14,20,11.5,13.8,9.0,0.8,0.0,1.3,2.1,0.8,5.5,6.0,
8,Al Horford,BOS,62,43,19,30.5,36.9,27.7,3.0,0.4,4.7,8.1,3.6,8.1,9.8,
9,Alec Burks,DET,50,12,38,22.0,21.6,24.7,2.2,0.2,3.6,5.3,2.5,10.3,11.5,
10,Aleksej Pokusevski,OKC,34,16,18,20.6,31.9,24.8,1.9,0.1,3.4,4.6,2.1,5.9,6.6,
11,Alex Caruso,CHI,64,30,34,23.7,35.9,27.4,2.9,0.4,4.5,7.6,3.7,8.1,10.2,
12,Alex Len,SAC,24,15,9,5.5,6.6,3.9,0.4,0.0,0.5,1.0,0.4,5.7,6.3,
13,Alize Johnson,SAS,4,1,3,7.4,8.8,5.8,0.3,0.0,1.3,0.8,0.3,2.9,2.9,
14,Alondes Williams,BKN,1,1,0,5.3,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,Alperen Sengun,HOU,73,16,57,29.0,39.7,37.2,3.9,0.3,6.7,9.9,4.7,9.7,11.8,
16,Amir Coffey,LAC,49,25,24,12.7,9.5,10.7,1.1,0.2,2.0,2.8,1.4,11.4,14.6,
17,Andre Drummond,CHI,66,31,35,12.7,11.2,8.7,0.5,0.1,0.8,1.2,0.6,4.5,5.3,
18,Andre Iguodala,GSW,7,2,5,13.5,21.4,14.7,2.6,0.6,3.4,6.6,3.1,12.0,14.7,
19,Andrew Nembhard,IND,73,31,42,27.5,36.0,40.0,4.4,0.4,8.5,11.8,5.5,12.2,15.3,
20,Andrew Wiggins,GSW,36,18,18,32.3,28.8,33.3,2.3,0.6,4.8,6.3,3.1,8.0,10.9,
21,Anfernee Simons,POR,62,27,35,35.0,45.4,57.5,4.1,1.0,7.1,10.3,5.4,9.0,11.8,
22,Anthony Davis,LAL,54,29,25,34.0,44.9,38.8,2.6,0.4,4.4,6.5,3.1,5.8,6.8,
23,Anthony Edwards,MIN,77,38,39,36.1,44.8,53.7,4.5,0.8,7.9,11.5,5.5,9.9,12.2,
24,Anthony Gill,WAS,57,20,37,10.3,7.4,6.4,0.5,0.0,1.0,1.5,0.6,7.2,8.4,
25,Anthony Lamb,GSW,59,33,26,19.6,25.9,18.9,1.5,0.2,3.5,4.6,2.0,6.0,7.8,
26,Austin Reaves,LAL,62,33,29,28.7,29.5,29.7,3.3,0.4,6.0,8.3,3.9,11.2,13.2,
27,Austin Rivers,MIN,52,25,27,19.5,17.4,18.2,1.4,0.3,2.4,3.8,1.8,8.3,10.5,
28,Ayo Dosunmu,CHI,77,37,40,26.1,33.0,32.6,2.6,0.5,4.6,6.3,3.2,7.8,9.7,
29,Bam Adebayo,MIA,73,38,35,35.2,41.2,42.8,3.3,0.4,5.8,8.6,3.9,7.9,9.5,
30,Ben Simmons,BKN,42,24,18,26.3,52.2,42.3,6.1,0.6,9.5,15.5,7.0,11.7,13.4,
31,Bennedict Mathurin,IND,76,32,44,28.2,23.8,30.4,1.4,0.3,2.7,3.9,1.9,5.9,8.0,
32,Bismack Biyombo,PHX,59,32,27,14.4,18.5,12.6,0.9,0.1,1.4,2.2,1.0,5.0,5.6,
33,Blake Griffin,BOS,39,25,14,14.0,16.4,12.1,1.4,0.1,2.1,3.8,1.5,8.6,9.4,
34,Blake Wesley,SAS,33,7,26,17.5,26.4,28.2,2.6,0.7,5.4,6.8,3.5,9.8,13.2,
35,Boban Marjanovic,HOU,29,5,24,5.2,4.1,3.9,0.3,0.0,0.4,0.6,0.3,6.8,7.6,
36,Bobby Portis,MIL,69,47,22,26.1,35.5,23.4,1.5,0.2,2.9,4.2,1.8,4.3,5.2,
37,Bogdan Bogdanovic,ATL,53,27,26,28.1,26.5,29.0,2.8,0.3,4.8,7.1,3.5,10.6,13.1,
38,Bojan Bogdanovic,DET,58,15,43,32.0,26.0,34.4,2.6,0.4,5.6,6.9,3.3,9.9,12.5,
39,Bol Bol,ORL,67,26,41,21.4,13.2,12.6,0.9,0.1,1.6,2.3,1.0,6.9,7.9,
40,Bones Hyland,LAC,54,34,20,19.4,31.9,37.9,3.1,0.5,5.5,7.9,4.0,9.7,12.5,
41,Bradley Beal,WAS,50,24,26,33.5,42.9,56.1,5.4,0.8,10.8,14.5,7.0,12.6,16.3,
42,Brandon Boston Jr.,LAC,21,8,13,11.7,12.8,14.3,0.9,0.2,2.1,2.1,1.0,7.1,8.2,
43,Brandon Clarke,MEM,56,32,24,19.5,20.0,17.9,1.3,0.2,2.5,3.4,1.6,6.4,8.1,
44,Brandon Ingram,NOP,43,22,21,33.9,38.9,53.8,5.8,0.8,10.9,15.8,7.2,14.8,18.5,
45,Braxton Key,DET,3,0,3,3.0,2.7,1.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,
46,Brook Lopez,MIL,78,57,21,30.4,20.2,22.5,1.3,0.2,2.2,3.3,1.5,6.3,7.4,
47,Bruce Brown,DEN,78,52,26,28.3,38.6,38.0,3.3,0.5,5.4,8.2,4.0,8.6,10.4,
48,Bruno Fernando,ATL,38,13,25,10.1,14.0,9.7,0.8,0.1,1.4,2.2,0.9,5.8,6.8,
49,Bryce McGowens,CHA,44,15,29,16.4,11.8,12.4,1.1,0.1,1.8,2.5,1.2,9.2,10.4,
50,Bryn Forbes,MIN,25,9,16,10.7,7.5,8.9,0.7,0.1,1.0,1.8,0.8,9.1,11.2,
51,Buddy Boeheim,DET,8,1,7,9.2,5.5,5.1,0.4,0.0,0.9,1.1,0.4,6.8,6.8,
52,Buddy Hield,IND,78,34,44,31.2,42.2,38.7,2.8,0.6,4.9,7.4,3.7,6.7,8.7,
53,CJ McCollum,NOP,73,37,36,35.2,50.7,64.5,5.8,0.7,10.6,15.1,7.3,11.4,14.4,
54,Cade Cunningham,DET,12,3,9,33.3,50.3,65.8,6.0,0.4,12.6,17.3,8.3,11.9,16.4,
55,Caleb Houstan,ORL,48,20,28,15.0,8.7,6.9,0.5,0.0,0.9,1.4,0.6,6.2,6.7,
56,Caleb Martin,MIA,68,36,32,29.6,28.4,25.5,1.6,0.3,3.5,4.6,2.2,5.6,7.7,
57,Cam Reddish,POR,40,14,26,24.7,17.9,21.0,1.4,0.2,2.9,3.6,1.7,8.0,9.2,
58,Cam Thomas,BKN,56,30,26,16.2,17.3,22.7,1.4,0.2,2.5,3.4,1.7,7.9,9.6,
59,Cameron Johnson,BKN,41,24,17,28.5,25.4,26.4,1.9,0.4,3.6,5.1,2.6,7.4,10.1,
60,Cameron Payne,PHX,46,26,20,20.6,37.8,40.6,4.5,0.8,8.6,11.3,5.8,11.9,15.4,
61,Caris LeVert,CLE,74,45,29,30.2,33.0,34.0,3.9,0.4,6.7,9.8,4.8,11.7,14.4,
62,Carlik Jones,CHI,4,1,3,6.9,8.3,8.0,0.5,0.0,1.3,1.0,0.5,6.1,6.1,
63,Cedi Osman,CLE,75,47,28,20.1,19.2,20.4,1.5,0.3,2.3,3.7,1.9,7.6,9.7,
64,Charles Bassey,SAS,35,9,26,14.5,19.3,12.6,1.3,0.1,2.1,3.4,1.6,7.0,8.1,
65,Chima Moneke,SAC,2,1,1,4.0,4.0,4.0,0.5,0.0,0.0,1.0,0.5,12.5,12.5,
66,Chimezie Metu,SAC,64,41,23,10.3,10.8,8.5,0.6,0.1,1.0,1.7,0.8,5.8,7.1,
67,Chris Boucher,TOR,74,38,36,20.1,14.7,11.3,0.4,0.1,0.9,0.9,0.5,2.6,3.4,
68,Chris Duarte,IND,46,19,27,19.5,19.5,20.3,1.4,0.1,2.5,3.4,1.6,7.1,8.0,
69,Chris Paul,PHX,58,32,26,31.9,57.5,61.3,9.0,1.0,16.6,23.1,11.1,15.7,19.2,
70,Chris Silva,DAL,1,1,0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
71,Christian Braun,DEN,73,48,25,15.1,12.7,10.2,0.8,0.1,1.2,1.8,0.9,6.0,6.9,
72,Christian Koloko,TOR,56,28,28,13.8,11.0,8.3,0.5,0.1,0.7,1.1,0.6,4.2,5.2,
73,Christian Wood,DAL,67,33,34,25.9,30.2,28.4,1.8,0.3,3.1,4.6,2.2,6.0,7.3,
74,Chuma Okeke,ORL,24,8,16,17.8,16.3,11.9,1.1,0.2,1.9,2.8,1.3,6.7,8.2,
75,Clint Capela,ATL,64,35,29,26.5,26.5,14.8,0.9,0.2,1.6,2.4,1.2,3.4,4.5,
76,Coby White,CHI,71,34,37,23.3,27.2,28.8,2.7,0.4,4.6,6.8,3.3,9.9,12.2,
77,Cody Martin,CHA,7,2,5,19.1,15.1,13.6,1.6,0.0,2.4,4.1,1.6,10.4,10.4,
78,Cody Zeller,MIA,13,5,8,14.1,16.5,12.2,0.5,0.3,1.2,1.6,0.9,3.3,5.6,
79,Cole Anthony,ORL,59,28,31,25.8,38.5,39.5,3.9,0.4,7.1,10.1,4.7,10.1,12.3,
80,Cole Swider,LAL,6,1,5,6.7,7.5,5.3,0.7,0.0,1.0,1.7,0.7,8.9,8.9,
81,Collin Sexton,UTA,48,24,24,23.9,30.9,38.4,2.9,0.3,5.8,7.5,3.4,9.3,11.0,
82,Corey Kispert,WAS,72,30,42,28.4,22.9,21.4,1.2,0.1,2.2,3.1,1.5,5.2,6.6,
83,Cory Joseph,DET,60,11,49,19.3,31.4,34.4,3.4,0.3,6.0,9.0,4.0,10.8,12.6,
84,D'Angelo Russell,LAL,69,37,32,32.4,60.3,65.5,6.2,0.7,10.5,15.9,7.7,10.3,12.7,
85,Daishen Nix,HOU,56,14,42,16.0,29.0,28.1,2.3,0.3,4.5,5.8,2.8,8.1,9.6,
86,Dalano Banton,TOR,29,16,13,8.8,14.0,14.3,1.0,0.1,1.7,2.5,1.2,7.2,8.4,
87,Dalen Terry,CHI,35,16,19,5.2,5.0,4.5,0.6,0.1,0.8,1.4,0.6,12.0,11.4,
88,Damian Jones,UTA,38,11,27,11.0,8.4,5.7,0.3,0.1,0.6,1.0,0.4,4.1,5.3,
89,Damian Lillard,POR,58,27,31,36.3,56.5,75.0,7.3,1.1,12.9,18.9,9.1,13.0,16.1,
90,Damion Lee,PHX,72,40,32,20.2,20.2,19.1,1.4,0.2,2.7,3.5,1.7,6.7,8.3,
91,Daniel Gafford,WAS,77,31,46,20.5,21.9,14.8,1.0,0.1,1.4,2.6,1.1,4.7,5.2,
92,Daniel Theis,IND,7,1,6,15.5,16.3,17.6,1.3,0.1,1.6,3.4,1.4,7.9,8.8,
93,Danny Green,CLE,9,5,4,9.8,9.9,8.2,0.2,0.1,1.1,0.7,0.3,2.2,3.4,
94,Danuel House Jr.,PHI,53,36,17,13.7,11.2,10.2,0.7,0.2,1.3,1.9,0.9,6.2,8.3,
95,Dario Saric,OKC,56,25,31,14.0,16.5,13.4,1.3,0.1,2.1,3.3,1.5,7.9,9.0,
96,Darius Bazley,PHX,41,19,22,14.2,16.1,11.1,0.9,0.0,1.3,2.3,1.0,5.4,5.9,
97,Darius Days,HOU,4,0,4,6.2,7.5,5.5,0.3,0.0,0.8,0.8,0.3,3.3,3.3,
98,Darius Garland,CLE,69,40,29,35.5,52.3,68.3,7.8,0.9,12.9,18.9,9.4,14.9,18.0,
99,David Duke Jr.,BKN,21,9,12,8.6,7.3,8.7,0.8,0.0,1.7,2.5,0.9,11.1,12.4,
