,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
0,A.J. Lawson,DAL,13,4.8,5,8,0.1,0.0,0.6,0.4,0.4,100.0
1,AJ Green,MIL,32,9.4,25,7,0.2,0.0,1.0,0.8,1.0,77.4
2,AJ Griffin,ATL,65,19.4,30,35,0.6,0.2,1.6,1.5,2.0,75.4
3,Aaron Gordon,DEN,61,30.1,42,19,0.8,0.7,4.2,1.9,3.0,62.3
4,Aaron Holiday,ATL,56,13.7,29,27,0.6,0.2,0.8,0.8,1.0,78.2
5,Aaron Nesmith,IND,64,24.8,28,36,0.8,0.4,3.0,1.8,2.8,62.8
6,Aaron Wiggins,OKC,60,18.5,33,27,0.5,0.2,2.1,1.4,2.4,56.9
7,Admiral Schofield,ORL,31,11.9,12,19,0.2,0.1,1.1,1.1,1.4,77.3
8,Al Horford,BOS,57,30.9,40,17,0.5,0.9,5.0,2.8,4.7,59.1
9,Alec Burks,DET,50,22.0,12,38,0.8,0.2,2.8,1.8,2.5,71.5
10,Aleksej Pokusevski,OKC,31,21.9,15,16,0.6,1.3,3.6,3.5,5.7,61.0
11,Alex Caruso,CHI,58,24.0,26,32,1.5,0.6,2.4,1.2,1.9,61.9
12,Alex Len,SAC,18,3.2,12,6,0.0,0.0,0.7,0.3,0.6,60.0
13,Alize Johnson,SAS,4,7.4,1,3,0.3,0.0,2.0,0.0,1.8,0.0
14,Alondes Williams,BKN,1,5.3,1,0,0.0,0.0,1.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,66,28.6,14,52,0.9,0.9,5.6,3.8,6.0,63.8
16,Amir Coffey,LAC,45,13.2,23,22,0.2,0.1,0.8,0.6,0.9,70.0
17,Andre Drummond,CHI,59,12.7,27,32,0.6,0.4,4.5,1.3,2.2,59.7
18,Andre Iguodala,GSW,7,13.5,2,5,0.4,0.3,1.4,1.6,2.0,78.6
19,Andrew Nembhard,IND,66,27.2,30,36,0.9,0.2,2.2,1.3,2.0,64.7
20,Andrew Wiggins,GSW,36,32.3,18,18,1.2,0.7,3.4,2.2,3.1,69.6
21,Anfernee Simons,POR,62,35.0,27,35,0.7,0.2,2.3,2.3,3.1,74.5
22,Anthony Davis,LAL,47,33.7,24,23,1.0,2.0,9.1,4.0,7.1,57.1
23,Anthony Edwards,MIN,71,36.0,35,36,1.6,0.7,5.3,2.2,3.1,70.6
24,Anthony Gill,WAS,50,9.8,18,32,0.1,0.2,1.0,0.7,1.1,61.8
25,Anthony Lamb,GSW,53,20.0,29,24,0.5,0.3,2.6,2.4,3.4,69.2
26,Austin Reaves,LAL,55,28.0,28,27,0.6,0.3,2.5,1.8,2.4,76.9
27,Austin Rivers,MIN,52,19.5,25,27,0.5,0.1,1.5,0.8,1.0,76.9
28,Ayo Dosunmu,CHI,69,26.9,33,36,0.8,0.3,2.3,1.4,2.2,64.0
29,Bam Adebayo,MIA,69,35.2,37,32,1.2,0.9,6.9,2.7,4.2,64.6
30,Ben Simmons,BKN,42,26.3,24,18,1.3,0.6,5.3,1.7,3.0,57.5
31,Bennedict Mathurin,IND,69,27.8,31,38,0.6,0.1,2.9,1.7,2.6,67.0
32,Bismack Biyombo,PHX,52,13.8,26,26,0.3,1.3,2.8,1.5,3.4,44.7
33,Blake Griffin,BOS,34,14.3,21,13,0.4,0.2,2.6,1.4,2.0,67.6
34,Blake Wesley,SAS,27,17.5,6,21,0.6,0.1,1.7,0.7,1.0,71.4
35,Boban Marjanovic,HOU,25,4.7,4,21,0.2,0.0,1.2,0.3,0.5,66.7
36,Bobby Portis,MIL,61,26.0,41,20,0.4,0.2,7.3,2.3,3.3,69.5
37,Bogdan Bogdanovic,ATL,47,28.3,23,24,0.8,0.4,2.7,1.9,2.6,73.8
38,Bojan Bogdanovic,DET,58,32.0,15,43,0.6,0.1,3.2,1.9,2.6,76.4
39,Bol Bol,ORL,67,21.4,26,41,0.4,1.2,4.8,1.9,2.8,67.0
40,Bones Hyland,LAC,47,19.0,30,17,0.7,0.3,1.9,1.6,1.9,84.3
41,Bradley Beal,WAS,50,33.5,24,26,0.9,0.7,3.1,1.4,2.0,69.3
