,PLAYER,TEAM,GP,W,L,MIN,REB,Contested REB,Contested REB%,REB Chances,REB Chance%,Deferred REB Chances,Adjusted REB Chance%,AVG REB Distance
0,A.J. Lawson,DAL,13,5,8,4.8,0.8,0.4,50.0,1.3,58.8,0.2,71.4,5.6
1,AJ Green,MIL,28,22,6,9.5,1.1,0.4,35.5,2.4,47.0,0.1,50.0,8.8
2,AJ Griffin,ATL,58,27,31,20.2,2.1,0.5,25.2,3.7,55.1,0.2,58.6,8.7
3,Aaron Gordon,DEN,51,37,14,30.1,6.8,3.1,44.7,10.9,62.5,0.6,66.0,5.8
4,Aaron Holiday,ATL,51,27,24,14.3,1.3,0.3,21.2,2.7,48.2,0.2,52.0,10.0
5,Aaron Nesmith,IND,56,24,32,24.5,3.7,1.1,30.8,8.0,46.6,0.7,51.1,6.8
6,Aaron Wiggins,OKC,49,25,24,18.7,3.2,1.3,41.9,5.8,54.4,0.4,58.9,7.3
7,Admiral Schofield,ORL,28,11,17,12.6,1.9,0.8,40.4,4.6,40.3,0.3,43.3,6.5
8,Al Horford,BOS,48,34,14,30.7,6.1,2.0,33.4,10.3,59.2,0.9,65.0,6.4
9,Alec Burks,DET,48,12,36,22.1,3.0,0.8,25.5,5.1,59.7,0.2,62.5,7.8
10,Aleksej Pokusevski,OKC,31,15,16,21.9,5.1,2.3,45.9,9.8,51.5,1.1,57.9,5.0
11,Alex Caruso,CHI,51,21,30,24.3,3.2,0.6,19.3,5.8,54.4,0.5,59.4,9.3
12,Alex Len,SAC,14,9,5,3.4,1.1,0.4,40.0,1.9,55.6,0.0,55.6,6.4
13,Alize Johnson,SAS,4,1,3,7.4,2.5,0.8,30.0,4.5,55.6,0.3,58.8,3.8
14,Alondes Williams,BKN,1,1,0,5.3,1.0,0.0,0.0,1.0,100.0,0.0,100.0,7.0
15,Alperen Sengun,HOU,56,10,46,28.1,8.7,4.0,46.2,15.8,54.8,1.2,59.3,5.2
16,Amir Coffey,LAC,41,21,20,13.9,1.2,0.3,21.6,2.6,48.6,0.2,52.0,10.2
17,Andre Drummond,CHI,49,21,28,13.1,6.8,3.7,54.7,9.9,68.8,0.5,72.2,4.1
18,Andre Iguodala,GSW,2,0,2,12.2,1.5,0.0,0.0,3.0,50.0,0.5,60.0,4.7
19,Andrew Nembhard,IND,56,25,31,27.0,2.7,0.5,19.1,5.0,54.3,0.4,59.4,10.3
20,Andrew Wiggins,GSW,36,18,18,32.3,5.0,1.6,32.6,9.8,51.4,0.8,55.9,7.1
21,Anfernee Simons,POR,56,27,29,35.5,2.7,0.6,20.7,4.9,54.3,0.4,59.8,9.4
22,Anthony Davis,LAL,38,18,20,33.3,12.6,7.1,56.2,20.1,62.6,1.4,67.4,4.4
23,Anthony Edwards,MIN,64,32,32,36.4,5.9,1.3,21.2,10.2,57.7,0.7,62.2,6.9
24,Anthony Gill,WAS,42,17,25,10.0,1.4,0.5,37.9,2.8,49.6,0.2,54.2,6.0
25,Anthony Lamb,GSW,46,25,21,19.8,3.4,1.3,38.6,7.3,47.3,0.7,52.3,6.4
26,Austin Reaves,LAL,44,21,23,27.7,2.9,0.4,14.7,5.8,50.8,0.6,57.1,9.0
27,Austin Rivers,MIN,49,24,25,20.4,1.7,0.2,13.4,3.1,53.6,0.2,57.7,9.6
28,Ayo Dosunmu,CHI,59,27,32,28.2,3.2,0.7,21.0,5.8,54.4,0.6,61.0,10.6
29,Bam Adebayo,MIA,57,30,27,35.0,9.8,4.3,43.5,16.5,59.3,1.0,63.3,5.7
30,Ben Simmons,BKN,42,24,18,26.3,6.3,1.9,30.0,9.9,63.1,0.7,67.8,6.3
31,Bennedict Mathurin,IND,63,28,35,28.2,4.1,1.2,29.0,8.1,51.0,0.6,54.9,8.3
32,Bismack Biyombo,PHX,46,25,21,13.9,4.1,1.8,43.3,7.8,52.4,0.6,56.7,5.0
33,Blake Griffin,BOS,27,17,10,14.1,3.3,1.6,46.7,6.0,55.6,0.5,60.8,5.2
34,Blake Wesley,SAS,17,3,14,14.8,1.8,0.3,16.1,3.5,52.5,0.1,53.4,7.3
35,Boban Marjanovic,HOU,21,1,20,4.5,1.6,0.7,42.4,2.7,57.9,0.2,63.5,3.7
36,Bobby Portis,MIL,50,33,17,26.3,9.9,3.5,35.5,16.0,62.1,1.1,66.5,5.1
37,Bogdan Bogdanovic,ATL,37,18,19,29.3,3.4,0.6,19.4,5.8,57.7,0.5,63.6,7.9
38,Bojan Bogdanovic,DET,57,15,42,31.9,3.7,0.7,18.9,7.0,53.4,0.4,57.0,8.9
39,Bol Bol,ORL,57,23,34,22.9,6.1,1.7,27.5,8.8,69.0,0.5,73.1,5.4
40,Bones Hyland,LAC,45,30,15,19.3,2.1,0.5,22.1,4.1,51.9,0.3,55.9,8.6
41,Bradley Beal,WAS,39,21,18,33.1,3.6,1.0,27.3,6.6,53.9,0.4,57.4,8.4
42,Brandon Boston Jr.,LAC,21,8,13,11.7,1.4,0.4,31.0,2.8,49.2,0.1,51.8,7.7
43,Brandon Clarke,MEM,54,31,23,19.8,5.6,2.6,46.7,10.9,51.3,0.7,54.8,5.3
