,Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time Of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
0,A.J. Lawson,DAL,13,5,8,4.8,2.6,4.8,3.2,0.1,1.39,0.62,0.54,0.0,0.0,0.2,0.0,0.0,2.0
1,AJ Green,MIL,29,23,6,9.8,4.8,12.5,7.7,0.5,2.62,1.86,0.383,0.1,0.0,0.3,0.0,0.0,0.8
2,AJ Griffin,ATL,59,28,31,19.9,8.9,21.4,14.6,0.7,2.05,1.46,0.417,0.5,0.0,0.6,0.821,2.0,0.974
3,Aaron Gordon,DEN,52,38,14,30.0,16.9,42.4,23.4,2.1,2.95,2.12,0.398,1.8,2.2,6.8,0.5,0.75,1.18
4,Aaron Holiday,ATL,52,28,24,14.0,4.1,20.4,8.2,1.4,4.05,3.67,0.201,0.1,0.0,0.4,0.286,0.0,0.571
5,Aaron Nesmith,IND,57,24,33,24.4,9.6,34.2,19.9,0.9,1.63,0.76,0.281,0.4,0.0,1.1,0.909,0.0,0.852
6,Aaron Wiggins,OKC,51,26,25,19.0,6.9,22.0,14.1,0.7,1.96,1.32,0.313,0.6,0.0,2.1,0.345,1.0,0.852
7,Admiral Schofield,ORL,30,12,18,12.0,4.2,18.4,8.6,0.5,1.7,0.8,0.228,0.4,0.0,1.0,0.615,0.0,0.793
8,Al Horford,BOS,50,35,15,30.8,9.6,46.3,25.4,1.2,1.54,0.47,0.208,1.2,1.0,2.9,0.317,0.353,0.531
9,Alec Burks,DET,49,12,37,22.0,12.9,34.5,21.1,1.8,3.06,2.37,0.375,0.3,0.3,0.3,0.625,0.533,0.529
10,Aleksej Pokusevski,OKC,31,15,16,21.9,8.8,44.4,24.2,1.2,1.6,0.75,0.199,1.6,0.0,3.4,0.608,0.0,0.724
11,Alex Caruso,CHI,53,22,31,24.1,5.6,45.5,18.7,2.0,2.65,1.91,0.123,0.8,0.0,1.2,0.186,0.0,0.561
12,Alex Len,SAC,14,9,5,3.4,0.9,6.1,3.4,0.2,1.51,0.41,0.151,1.3,0.0,0.9,0.333,0.0,0.75
13,Alize Johnson,SAS,4,1,3,7.4,1.8,11.5,5.5,0.5,2.7,1.98,0.152,0.0,0.3,1.0,0.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,9.0,3.0,0.4,2.72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,57,10,47,28.2,14.8,54.2,37.7,2.2,2.43,1.25,0.273,5.3,4.4,7.2,0.553,0.504,0.763
16,Amir Coffey,LAC,43,21,22,13.7,3.8,14.9,10.9,0.6,2.51,1.68,0.254,0.1,0.0,0.3,0.167,0.0,0.333
17,Andre Drummond,CHI,51,22,29,13.1,6.3,18.3,11.5,0.4,1.42,0.47,0.343,1.8,0.4,4.7,0.637,0.5,0.938
18,Andre Iguodala,GSW,2,0,2,12.2,1.0,21.0,10.5,0.6,1.81,0.62,0.048,1.0,0.0,1.0,0.0,0.0,1.0
19,Andrew Nembhard,IND,57,25,32,26.9,7.9,43.7,22.8,2.5,3.38,3.05,0.182,0.5,0.1,0.6,0.462,0.0,0.528
20,Andrew Wiggins,GSW,36,18,18,32.3,17.1,46.2,31.6,1.8,2.28,1.48,0.371,0.7,1.7,3.3,0.808,0.581,0.992
