,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
0,A.J. Lawson,DAL,13,4.8,5,8,0.1,0.0,0.6,0.4,0.4,100.0
1,AJ Green,MIL,27,9.8,21,6,0.2,0.0,0.9,0.8,1.1,75.9
2,AJ Griffin,ATL,57,20.2,27,30,0.7,0.1,1.6,1.6,2.1,77.3
3,Aaron Gordon,DEN,50,30.2,36,14,0.8,0.8,4.5,1.9,3.2,61.0
4,Aaron Holiday,ATL,51,14.3,27,24,0.5,0.2,0.9,0.8,1.0,76.5
5,Aaron Nesmith,IND,55,24.6,23,32,0.8,0.4,2.9,1.7,2.7,62.3
6,Aaron Wiggins,OKC,48,18.5,25,23,0.5,0.2,2.1,1.3,2.2,58.7
7,Admiral Schofield,ORL,28,12.6,11,17,0.2,0.1,1.2,1.1,1.5,76.2
8,Al Horford,BOS,47,30.8,34,13,0.5,0.9,5.0,2.5,4.6,55.6
9,Alec Burks,DET,47,21.9,12,35,0.7,0.1,2.7,1.8,2.5,72.3
10,Aleksej Pokusevski,OKC,31,21.9,15,16,0.6,1.3,3.6,3.5,5.7,61.0
11,Alex Caruso,CHI,50,24.3,21,29,1.6,0.6,2.5,1.3,2.0,63.7
12,Alex Len,SAC,14,3.4,9,5,0.0,0.0,0.8,0.4,0.6,55.6
13,Alize Johnson,SAS,4,7.4,1,3,0.3,0.0,2.0,0.0,1.8,0.0
14,Alondes Williams,BKN,1,5.3,1,0,0.0,0.0,1.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,55,28.1,10,45,0.8,0.9,5.5,3.9,6.0,64.7
16,Amir Coffey,LAC,41,13.9,21,20,0.2,0.1,0.9,0.7,1.0,69.2
17,Andre Drummond,CHI,48,13.0,21,27,0.7,0.3,4.5,1.5,2.2,65.4
18,Andre Iguodala,GSW,2,12.3,0,2,0.0,0.0,1.0,1.0,1.5,66.7
19,Andrew Nembhard,IND,55,27.0,24,31,1.0,0.2,2.2,1.3,2.0,64.3
20,Andrew Wiggins,GSW,36,32.3,18,18,1.2,0.7,3.4,2.2,3.1,69.6
21,Anfernee Simons,POR,56,35.5,27,29,0.7,0.2,2.4,2.4,3.2,73.9
22,Anthony Davis,LAL,37,33.3,18,19,1.1,2.0,9.1,3.9,6.9,56.9
23,Anthony Edwards,MIN,63,36.3,31,32,1.7,0.7,5.3,2.2,3.0,71.2
24,Anthony Gill,WAS,42,10.0,17,25,0.1,0.2,0.8,0.7,1.1,63.8
25,Anthony Lamb,GSW,45,19.6,24,21,0.5,0.3,2.5,2.4,3.6,68.8
26,Austin Reaves,LAL,43,27.7,21,22,0.5,0.3,2.4,1.8,2.4,76.7
27,Austin Rivers,MIN,48,20.7,23,25,0.6,0.1,1.6,0.8,1.1,78.4
28,Ayo Dosunmu,CHI,58,28.3,27,31,0.7,0.3,2.4,1.6,2.4,65.9
29,Bam Adebayo,MIA,56,35.1,29,27,1.2,0.8,7.2,2.7,4.2,63.8
30,Ben Simmons,BKN,42,26.3,24,18,1.3,0.6,5.3,1.7,3.0,57.5
31,Bennedict Mathurin,IND,62,28.3,27,35,0.6,0.1,3.0,1.8,2.6,69.2
32,Bismack Biyombo,PHX,46,14.0,25,21,0.3,1.3,3.0,1.6,3.6,44.0
33,Blake Griffin,BOS,26,14.4,17,9,0.3,0.2,2.5,1.2,1.7,71.1
34,Blake Wesley,SAS,16,14.4,2,14,0.4,0.1,1.4,0.9,1.1,82.4
35,Boban Marjanovic,HOU,20,4.5,1,19,0.1,0.1,1.1,0.4,0.6,63.6
36,Bobby Portis,MIL,49,26.5,32,17,0.4,0.2,7.4,2.3,3.3,69.3
37,Bogdan Bogdanovic,ATL,36,29.6,18,18,0.9,0.3,3.0,1.8,2.5,73.3
38,Bojan Bogdanovic,DET,57,31.9,15,42,0.6,0.1,3.2,1.9,2.5,76.6
39,Bol Bol,ORL,56,23.0,22,34,0.4,1.4,5.0,2.0,3.0,66.5
40,Bones Hyland,LAC,45,19.3,30,15,0.7,0.3,1.8,1.6,1.9,84.7
41,Bradley Beal,WAS,38,33.0,20,18,0.9,0.7,2.8,1.4,2.0,68.8
42,Brandon Boston Jr.,LAC,21,11.7,8,13,0.4,0.0,1.0,0.9,1.2,69.2
43,Brandon Clarke,MEM,53,19.9,30,23,0.6,0.7,4.0,1.8,3.1,56.0
44,Brandon Ingram,NOP,26,32.5,12,14,0.7,0.5,4.6,1.5,2.3,63.3
45,Braxton Key,DET,3,3.0,0,3,0.0,0.0,0.3,0.0,0.0,0.0
46,Brook Lopez,MIL,59,30.4,42,17,0.5,2.4,4.7,3.9,7.7,51.3
47,Bruce Brown,DEN,61,28.6,43,18,1.0,0.6,3.2,1.8,2.6,69.6
48,Bruno Fernando,ATL,33,11.2,10,23,0.2,0.9,2.3,1.4,2.5,58.0
49,Bryce McGowens,CHA,26,14.7,8,18,0.3,0.2,1.3,0.7,1.0,68.0
50,Bryn Forbes,MIN,25,10.7,9,16,0.3,0.1,0.4,0.3,0.5,66.7
51,Buddy Boeheim,DET,1,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
52,Buddy Hield,IND,62,32.1,27,35,1.2,0.3,4.1,2.5,3.6,69.6
53,CJ McCollum,NOP,54,35.0,26,28,0.9,0.6,3.5,2.4,3.0,79.4
54,Cade Cunningham,DET,12,33.3,3,9,0.8,0.6,5.2,2.8,4.1,69.4
55,Caleb Houstan,ORL,34,16.1,12,22,0.2,0.1,1.5,1.1,1.6,71.7
56,Caleb Martin,MIA,51,30.1,26,25,1.0,0.5,3.8,2.5,3.7,67.9
57,Cam Reddish,POR,25,22.9,11,14,0.9,0.4,1.3,1.4,2.1,65.4
58,Cam Thomas,BKN,43,17.2,25,18,0.4,0.1,1.5,1.1,1.6,68.1
59,Cameron Johnson,BKN,22,26.1,14,8,1.0,0.4,3.0,1.6,2.5,63.6
60,Cameron Payne,PHX,30,23.2,16,14,0.9,0.2,2.0,1.2,1.5,77.8
61,Caris LeVert,CLE,58,30.0,34,24,0.8,0.2,3.2,1.4,1.9,73.2
62,Carlik Jones,CHI,1,21.7,0,1,0.0,0.0,2.0,0.0,0.0,0.0
63,Cedi Osman,CLE,60,21.0,37,23,0.5,0.1,2.0,0.8,1.1,73.4
