,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
0,A.J. Lawson,DAL,13,4.8,5,8,0.1,0.0,0.6,0.4,0.4,100.0
1,AJ Green,MIL,30,9.7,24,6,0.2,0.0,1.0,0.8,1.0,77.4
2,AJ Griffin,ATL,59,19.9,28,31,0.7,0.1,1.6,1.6,2.0,76.7
3,Aaron Gordon,DEN,54,30.0,39,15,0.8,0.8,4.3,1.9,3.1,61.5
4,Aaron Holiday,ATL,52,14.0,28,24,0.5,0.2,0.9,0.8,1.0,76.5
5,Aaron Nesmith,IND,57,24.4,24,33,0.8,0.4,2.9,1.6,2.6,62.0
6,Aaron Wiggins,OKC,54,19.1,28,26,0.6,0.2,2.1,1.4,2.3,58.7
7,Admiral Schofield,ORL,31,11.9,12,19,0.2,0.1,1.1,1.1,1.4,77.3
8,Al Horford,BOS,52,31.0,36,16,0.5,0.9,5.1,2.7,4.7,58.2
9,Alec Burks,DET,50,22.0,12,38,0.8,0.2,2.8,1.8,2.5,71.5
10,Aleksej Pokusevski,OKC,31,21.9,15,16,0.6,1.3,3.6,3.5,5.7,61.0
11,Alex Caruso,CHI,55,24.1,23,32,1.5,0.6,2.5,1.3,2.0,64.2
12,Alex Len,SAC,16,3.0,10,6,0.0,0.0,0.7,0.3,0.6,55.6
13,Alize Johnson,SAS,4,7.4,1,3,0.3,0.0,2.0,0.0,1.8,0.0
14,Alondes Williams,BKN,1,5.3,1,0,0.0,0.0,1.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,60,28.3,12,48,0.8,0.9,5.6,3.8,5.9,64.5
16,Amir Coffey,LAC,43,13.7,21,22,0.2,0.1,0.8,0.7,0.9,70.0
17,Andre Drummond,CHI,53,12.9,23,30,0.6,0.3,4.6,1.4,2.3,61.3
18,Andre Iguodala,GSW,4,12.6,0,4,0.0,0.3,1.0,1.3,2.0,62.5
19,Andrew Nembhard,IND,59,26.7,26,33,1.0,0.2,2.2,1.3,2.0,63.0
20,Andrew Wiggins,GSW,36,32.3,18,18,1.2,0.7,3.4,2.2,3.1,69.6
21,Anfernee Simons,POR,57,35.3,27,30,0.7,0.2,2.4,2.3,3.2,73.9
22,Anthony Davis,LAL,41,33.5,20,21,1.0,2.1,9.2,4.1,7.2,56.8
23,Anthony Edwards,MIN,67,36.3,34,33,1.7,0.7,5.3,2.2,3.0,71.1
24,Anthony Gill,WAS,44,10.1,17,27,0.1,0.2,0.9,0.7,1.1,64.6
25,Anthony Lamb,GSW,49,20.0,27,22,0.5,0.3,2.5,2.4,3.5,69.4
26,Austin Reaves,LAL,48,27.6,24,24,0.6,0.4,2.3,1.8,2.4,74.6
27,Austin Rivers,MIN,50,20.1,24,26,0.6,0.1,1.5,0.8,1.0,76.9
28,Ayo Dosunmu,CHI,63,27.4,29,34,0.7,0.3,2.4,1.5,2.3,65.5
29,Bam Adebayo,MIA,62,34.9,32,30,1.2,0.8,7.0,2.7,4.3,63.8
30,Ben Simmons,BKN,42,26.3,24,18,1.3,0.6,5.3,1.7,3.0,57.5
31,Bennedict Mathurin,IND,66,28.1,29,37,0.6,0.1,3.0,1.8,2.6,68.6
32,Bismack Biyombo,PHX,47,13.8,26,21,0.3,1.3,2.9,1.6,3.5,44.0
33,Blake Griffin,BOS,29,14.4,18,11,0.3,0.2,2.6,1.2,1.8,68.6
34,Blake Wesley,SAS,20,15.5,4,16,0.5,0.1,1.7,0.8,1.0,78.9
35,Boban Marjanovic,HOU,24,4.8,3,21,0.2,0.0,1.2,0.3,0.5,63.6
36,Bobby Portis,MIL,54,25.9,36,18,0.4,0.2,7.3,2.3,3.3,69.9
37,Bogdan Bogdanovic,ATL,41,28.9,20,21,0.9,0.3,2.9,1.8,2.5,72.8
38,Bojan Bogdanovic,DET,58,32.0,15,43,0.6,0.1,3.2,1.9,2.6,76.4
