,PLAYER,TEAM,GP,W,L,MIN,REB,Contested REB,Contested REB%,REB Chances,REB Chance%,Deferred REB Chances,Adjusted REB Chance%,AVG REB Distance
0,A.J. Lawson,DAL,13,5,8,4.8,0.8,0.4,50.0,1.3,58.8,0.2,71.4,5.6
1,AJ Green,MIL,33,26,7,9.7,1.2,0.4,35.9,2.5,47.6,0.2,52.7,8.4
2,AJ Griffin,ATL,70,33,37,19.3,2.1,0.5,25.9,3.7,57.0,0.2,60.0,8.6
3,Aaron Gordon,DEN,67,45,22,30.2,6.6,3.0,45.0,10.6,62.0,0.5,65.2,5.9
4,Aaron Holiday,ATL,60,31,29,13.1,1.2,0.3,21.1,2.5,48.3,0.2,51.8,10.0
5,Aaron Nesmith,IND,70,29,41,25.0,3.8,1.2,31.6,8.0,47.2,0.8,52.3,6.9
6,Aaron Wiggins,OKC,68,35,33,18.5,3.0,1.3,41.7,5.8,51.6,0.5,56.8,7.2
7,Admiral Schofield,ORL,34,14,20,11.5,1.6,0.6,39.3,4.1,40.3,0.3,43.4,6.9
8,Al Horford,BOS,62,43,19,30.5,6.2,2.1,34.0,10.2,60.6,1.0,66.8,6.4
9,Alec Burks,DET,50,12,38,22.0,3.1,0.8,24.5,5.1,60.5,0.2,63.3,7.7
10,Aleksej Pokusevski,OKC,34,16,18,20.6,4.7,2.1,45.9,9.3,50.3,1.1,57.0,5.0
11,Alex Caruso,CHI,64,30,34,23.7,3.0,0.5,18.3,5.5,53.8,0.5,58.6,9.3
12,Alex Len,SAC,23,15,8,5.2,1.7,0.7,40.0,3.2,54.8,0.2,58.0,5.1
13,Alize Johnson,SAS,4,1,3,7.4,2.5,0.8,30.0,4.5,55.6,0.3,58.8,3.8
14,Alondes Williams,BKN,1,1,0,5.3,1.0,0.0,0.0,1.0,100.0,0.0,100.0,7.0
15,Alperen Sengun,HOU,73,16,57,29.0,8.8,4.2,47.1,15.9,55.7,1.2,60.4,5.1
16,Amir Coffey,LAC,49,25,24,12.7,1.1,0.2,20.8,2.2,48.6,0.1,52.0,10.5
17,Andre Drummond,CHI,65,31,34,12.7,6.6,3.5,53.0,9.6,69.2,0.4,72.2,4.1
18,Andre Iguodala,GSW,7,2,5,13.5,1.9,0.4,23.1,3.9,48.1,0.6,56.5,7.3
19,Andrew Nembhard,IND,72,31,41,27.4,2.6,0.5,17.5,4.8,54.6,0.4,59.4,9.8
20,Andrew Wiggins,GSW,36,18,18,32.3,5.0,1.6,32.6,9.8,51.4,0.8,55.9,7.1
21,Anfernee Simons,POR,62,27,35,35.0,2.6,0.5,21.1,4.8,54.0,0.4,59.2,9.5
22,Anthony Davis,LAL,53,29,24,34.0,12.4,6.9,56.0,20.2,61.5,1.5,66.4,4.3
23,Anthony Edwards,MIN,77,38,39,36.1,5.7,1.2,20.9,9.9,58.0,0.8,62.8,7.1
24,Anthony Gill,WAS,56,20,36,10.1,1.6,0.6,38.2,3.2,50.3,0.3,55.3,6.0
25,Anthony Lamb,GSW,59,33,26,19.6,3.5,1.4,39.1,7.3,48.4,0.7,53.4,6.5
26,Austin Reaves,LAL,61,33,28,28.6,3.0,0.4,13.5,5.9,51.7,0.6,57.6,9.1
