,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
0,A.J. Lawson,DAL,13,4.8,5,8,0.1,0.0,0.6,0.4,0.4,100.0
1,AJ Green,MIL,32,9.4,25,7,0.2,0.0,1.0,0.8,1.0,77.4
2,AJ Griffin,ATL,62,19.4,29,33,0.6,0.1,1.6,1.6,2.0,77.0
3,Aaron Gordon,DEN,58,30.1,40,18,0.8,0.7,4.2,1.9,3.1,62.1
4,Aaron Holiday,ATL,54,13.6,28,26,0.5,0.2,0.8,0.7,1.0,76.9
5,Aaron Nesmith,IND,61,24.8,27,34,0.8,0.4,3.0,1.7,2.8,62.4
6,Aaron Wiggins,OKC,58,18.5,31,27,0.5,0.2,2.0,1.3,2.3,57.4
7,Admiral Schofield,ORL,31,11.9,12,19,0.2,0.1,1.1,1.1,1.4,77.3
8,Al Horford,BOS,56,31.0,39,17,0.5,0.9,5.0,2.8,4.8,58.8
9,Alec Burks,DET,50,22.0,12,38,0.8,0.2,2.8,1.8,2.5,71.5
10,Aleksej Pokusevski,OKC,31,21.9,15,16,0.6,1.3,3.6,3.5,5.7,61.0
11,Alex Caruso,CHI,57,24.3,25,32,1.5,0.6,2.4,1.2,2.0,61.9
12,Alex Len,SAC,17,3.1,11,6,0.0,0.0,0.7,0.3,0.5,55.6
13,Alize Johnson,SAS,4,7.4,1,3,0.3,0.0,2.0,0.0,1.8,0.0
14,Alondes Williams,BKN,1,5.3,1,0,0.0,0.0,1.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,64,28.5,14,50,0.9,0.9,5.6,3.8,5.9,63.9
16,Amir Coffey,LAC,45,13.2,23,22,0.2,0.1,0.8,0.6,0.9,70.0
17,Andre Drummond,CHI,56,12.9,25,31,0.7,0.4,4.5,1.4,2.3,59.7
18,Andre Iguodala,GSW,7,13.5,2,5,0.4,0.3,1.4,1.6,2.0,78.6
19,Andrew Nembhard,IND,63,26.9,29,34,1.0,0.2,2.2,1.3,2.0,63.2
20,Andrew Wiggins,GSW,36,32.3,18,18,1.2,0.7,3.4,2.2,3.1,69.6
21,Anfernee Simons,POR,61,35.0,27,34,0.7,0.2,2.3,2.3,3.1,74.9
22,Anthony Davis,LAL,45,33.6,22,23,1.0,2.0,9.1,4.1,7.2,57.0
23,Anthony Edwards,MIN,71,36.0,35,36,1.6,0.7,5.3,2.2,3.1,70.6
24,Anthony Gill,WAS,47,9.9,18,29,0.1,0.2,0.9,0.7,1.1,62.7
25,Anthony Lamb,GSW,50,20.0,27,23,0.5,0.3,2.5,2.4,3.5,68.8
26,Austin Reaves,LAL,53,27.7,26,27,0.6,0.4,2.4,1.8,2.4,76.6
27,Austin Rivers,MIN,51,19.9,24,27,0.5,0.1,1.5,0.8,1.0,76.9
28,Ayo Dosunmu,CHI,66,27.0,31,35,0.8,0.3,2.3,1.5,2.2,65.3
29,Bam Adebayo,MIA,66,35.1,35,31,1.2,0.8,7.0,2.7,4.2,64.0
30,Ben Simmons,BKN,42,26.3,24,18,1.3,0.6,5.3,1.7,3.0,57.5
31,Bennedict Mathurin,IND,67,27.8,30,37,0.6,0.1,2.9,1.7,2.6,68.0
32,Bismack Biyombo,PHX,50,13.4,26,24,0.3,1.2,2.8,1.5,3.4,44.8
33,Blake Griffin,BOS,33,14.2,21,12,0.4,0.2,2.6,1.3,1.9,69.8
34,Blake Wesley,SAS,24,17.0,5,19,0.6,0.2,1.8,0.7,1.0,68.0
35,Boban Marjanovic,HOU,25,4.7,4,21,0.2,0.0,1.2,0.3,0.5,66.7
36,Bobby Portis,MIL,59,26.0,39,20,0.4,0.2,7.3,2.4,3.4,70.0
37,Bogdan Bogdanovic,ATL,44,28.4,22,22,0.8,0.4,2.8,2.0,2.7,74.4
38,Bojan Bogdanovic,DET,58,32.0,15,43,0.6,0.1,3.2,1.9,2.6,76.4
39,Bol Bol,ORL,65,21.8,25,40,0.4,1.3,4.9,1.9,2.8,67.0
40,Bones Hyland,LAC,47,19.0,30,17,0.7,0.3,1.9,1.6,1.9,84.3
41,Bradley Beal,WAS,48,33.5,24,24,0.9,0.7,3.1,1.4,2.0,68.0
