,PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
0,A.J. Lawson,DAL,13,5,8,4.8,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
1,AJ Green,MIL,32,25,7,9.4,1.0,0.4,1.1,38.2,0.2,0.7,33.3,48.5
2,AJ Griffin,ATL,67,31,36,19.3,2.9,1.2,2.5,49.4,0.4,0.8,45.5,56.8
3,Aaron Gordon,DEN,63,44,19,30.0,1.6,0.6,1.6,37.6,0.4,0.9,39.7,49.0
4,Aaron Holiday,ATL,58,30,28,13.5,0.9,0.4,1.0,41.4,0.1,0.3,38.9,47.4
5,Aaron Nesmith,IND,67,28,39,24.8,1.2,0.5,1.1,41.9,0.2,0.6,43.2,52.7
6,Aaron Wiggins,OKC,64,34,30,18.0,0.2,0.1,0.3,31.3,0.0,0.1,42.9,40.6
7,Admiral Schofield,ORL,33,13,20,11.7,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
8,Al Horford,BOS,60,42,18,30.6,0.3,0.1,0.3,44.4,0.1,0.1,60.0,52.8
9,Alec Burks,DET,51,12,39,22.0,4.8,2.0,4.6,42.6,0.9,2.2,39.6,51.9
10,Aleksej Pokusevski,OKC,32,15,17,21.5,0.3,0.2,0.6,27.8,0.0,0.2,20.0,30.6
11,Alex Caruso,CHI,61,29,32,23.9,0.2,0.1,0.4,19.2,0.0,0.2,25.0,25.0
12,Alex Len,SAC,19,12,7,3.4,0.1,0.1,0.1,100,0.0,0.0,-,100
13,Alize Johnson,SAS,4,1,3,7.4,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,0.0,0.0,-,-,-,-,-
15,Alperen Sengun,HOU,69,14,55,28.6,0.4,0.2,0.5,40.0,0.0,0.1,0.0,40.0
16,Amir Coffey,LAC,48,25,23,12.7,0.4,0.2,0.7,28.6,0.0,0.1,16.7,30.0
17,Andre Drummond,CHI,62,29,33,12.8,0.0,0.0,0.0,50.0,0.0,0.0,-,50.0
18,Andre Iguodala,GSW,8,3,5,14.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0
19,Andrew Nembhard,IND,69,30,39,27.3,2.2,1.0,2.8,35.1,0.3,0.9,32.2,40.1
20,Andrew Wiggins,GSW,37,19,18,32.2,2.3,1.1,3.1,33.9,0.2,0.8,24.1,37.0
