,PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
0,A.J. Lawson,DAL,13,5,8,4.8,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
1,AJ Green,MIL,29,23,6,9.8,1.1,0.4,1.1,39.4,0.2,0.7,33.3,50.0
2,AJ Griffin,ATL,59,28,31,19.9,2.9,1.3,2.5,51.0,0.4,0.8,47.8,58.4
3,Aaron Gordon,DEN,52,38,14,30.0,1.7,0.7,1.7,38.6,0.4,1.0,42.0,50.6
4,Aaron Holiday,ATL,52,28,24,14.0,0.9,0.4,1.0,39.6,0.1,0.3,37.5,45.3
5,Aaron Nesmith,IND,57,24,33,24.4,0.9,0.4,1.0,36.2,0.2,0.5,37.9,45.7
6,Aaron Wiggins,OKC,51,26,25,19.0,0.3,0.1,0.3,33.3,0.1,0.1,50.0,43.3
7,Admiral Schofield,ORL,30,12,18,12.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
8,Al Horford,BOS,50,35,15,30.8,0.3,0.1,0.3,50.0,0.1,0.1,100,60.7
9,Alec Burks,DET,50,12,38,22.0,4.9,2.0,4.7,43.2,0.9,2.2,40.0,52.6
10,Aleksej Pokusevski,OKC,31,15,16,21.9,0.4,0.2,0.6,27.8,0.0,0.2,20.0,30.6
11,Alex Caruso,CHI,54,23,31,24.1,0.2,0.1,0.4,16.7,0.0,0.2,18.2,20.8
12,Alex Len,SAC,14,9,5,3.4,0.1,0.1,0.1,100,0.0,0.0,-,100
13,Alize Johnson,SAS,4,1,3,7.4,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,0.0,0.0,-,-,-,-,-
15,Alperen Sengun,HOU,57,10,47,28.2,0.4,0.2,0.5,40.0,0.0,0.1,0.0,40.0
16,Amir Coffey,LAC,43,21,22,13.7,0.5,0.2,0.8,28.6,0.0,0.1,16.7,30.0
17,Andre Drummond,CHI,51,22,29,13.1,0.0,0.0,0.0,100,0.0,0.0,-,100
18,Andre Iguodala,GSW,3,1,2,14.1,0.0,0.0,0.0,-,-,-,-,-
19,Andrew Nembhard,IND,57,25,32,26.9,2.0,0.9,2.6,34.2,0.3,0.8,32.6,39.4
20,Andrew Wiggins,GSW,37,19,18,32.2,2.3,1.1,3.1,33.9,0.2,0.8,24.1,37.0
21,Anfernee Simons,POR,57,27,30,35.3,7.1,2.9,7.3,39.1,1.4,4.0,34.9,48.7
22,Anthony Davis,LAL,39,18,21,33.3,2.3,1.1,2.7,42.3,0.0,0.1,0.0,42.3
23,Anthony Edwards,MIN,65,33,32,36.3,7.2,2.8,8.0,35.0,1.6,4.6,33.8,44.7
24,Anthony Gill,WAS,42,17,25,10.0,0.0,0.0,0.2,14.3,0.0,0.1,0.0,14.3
25,Anthony Lamb,GSW,49,28,21,20.0,0.3,0.1,0.4,27.8,0.1,0.3,30.8,38.9
26,Austin Reaves,LAL,46,22,24,27.5,1.9,0.8,1.8,44.7,0.2,0.6,40.7,51.2
27,Austin Rivers,MIN,49,24,25,20.4,0.2,0.1,0.4,15.0,0.1,0.3,18.8,22.5
28,Ayo Dosunmu,CHI,62,29,33,27.7,0.7,0.4,0.9,38.6,0.0,0.0,33.3,39.5
29,Bam Adebayo,MIA,59,30,29,35.0,2.9,1.5,3.4,43.4,0.0,0.1,0.0,43.4
30,Ben Simmons,BKN,42,24,18,26.3,0.2,0.1,0.4,23.5,0.0,0.0,0.0,23.5
31,Bennedict Mathurin,IND,64,28,36,28.0,2.6,1.0,3.0,33.5,0.6,1.7,35.8,43.5
32,Bismack Biyombo,PHX,46,25,21,13.9,0.0,0.0,0.0,50.0,-,-,-,50.0
33,Blake Griffin,BOS,27,17,10,14.1,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0
34,Blake Wesley,SAS,19,4,15,14.5,0.8,0.4,1.5,24.1,0.1,0.2,33.3,25.9
35,Boban Marjanovic,HOU,22,1,21,4.4,0.3,0.1,0.4,37.5,0.0,0.0,-,37.5
36,Bobby Portis,MIL,51,34,17,26.1,1.7,0.9,2.2,38.6,0.0,0.1,14.3,39.0
37,Bogdan Bogdanovic,ATL,38,19,19,29.2,4.4,1.8,4.3,41.5,0.8,1.9,40.5,50.6
38,Bojan Bogdanovic,DET,59,15,44,32.1,5.4,2.4,5.5,43.7,0.6,1.7,32.7,48.8
39,Bol Bol,ORL,59,24,35,22.5,1.4,0.6,1.7,36.4,0.2,0.5,32.3,41.4
40,Bones Hyland,LAC,47,30,17,19.0,3.9,1.4,4.2,33.7,1.0,2.8,36.8,46.2
41,Bradley Beal,WAS,40,22,18,33.1,7.0,3.2,6.8,46.3,0.7,2.0,33.3,51.3
42,Brandon Boston Jr.,LAC,21,8,13,11.7,2.2,1.0,2.4,40.0,0.3,0.7,46.7,47.0
43,Brandon Clarke,MEM,56,32,24,19.5,0.3,0.1,0.2,61.5,0.0,0.0,-,61.5
44,Brandon Ingram,NOP,29,13,16,33.0,8.6,4.1,9.7,42.0,0.4,1.1,36.4,44.1
45,Braxton Key,DET,3,0,3,3.0,0.7,0.3,0.3,100,-,-,-,100
46,Brook Lopez,MIL,61,44,17,30.3,0.8,0.4,1.0,37.9,0.1,0.3,27.8,42.2
47,Bruce Brown,DEN,63,45,18,28.5,1.3,0.6,1.7,36.5,0.1,0.5,27.6,40.4
48,Bruno Fernando,ATL,33,10,23,11.2,0.1,0.0,0.1,50.0,0.0,0.0,-,50.0
49,Bryce McGowens,CHA,29,9,20,14.4,0.1,0.0,0.4,7.7,0.0,0.2,16.7,11.5
50,Bryn Forbes,MIN,25,9,16,10.7,1.1,0.5,1.3,37.5,0.2,0.6,28.6,43.8
51,Buddy Boeheim,DET,1,0,1,1.0,0.0,0.0,0.0,-,-,-,-,-
52,Buddy Hield,IND,64,28,36,32.0,4.5,1.7,3.9,43.4,1.1,2.5,43.9,57.2
53,CJ McCollum,NOP,57,27,30,35.1,8.5,3.7,8.6,42.7,1.2,3.1,37.1,49.5
54,Cade Cunningham,DET,12,3,9,33.3,8.0,3.7,8.8,41.5,0.7,2.8,24.2,45.3
55,Caleb Houstan,ORL,36,13,23,15.6,0.2,0.1,0.2,50.0,0.1,0.1,66.7,66.7
56,Caleb Martin,MIA,54,27,27,29.9,1.7,0.7,1.6,45.9,0.3,0.6,44.1,54.7
57,Cam Reddish,POR,28,11,17,23.6,1.1,0.4,1.2,32.4,0.3,0.8,36.4,44.1
58,Cam Thomas,BKN,46,26,20,17.2,3.8,1.6,4.3,38.3,0.5,1.4,36.4,44.4
59,Cameron Johnson,BKN,25,15,10,26.5,2.8,1.2,2.5,49.2,0.4,0.7,50.0,56.3
60,Cameron Payne,PHX,32,18,14,22.7,4.1,1.7,4.2,39.6,0.8,1.8,41.4,48.5
61,Caris LeVert,CLE,59,34,25,30.0,2.7,1.1,3.4,31.5,0.5,1.6,33.7,39.3
62,Carlik Jones,CHI,2,1,1,11.4,0.0,0.0,0.5,0.0,0.0,0.0,-,0.0
63,Cedi Osman,CLE,61,37,24,20.8,0.9,0.3,0.9,32.1,0.3,0.7,36.4,46.4
64,Charles Bassey,SAS,30,7,23,14.2,0.3,0.1,0.2,50.0,0.1,0.1,66.7,66.7
65,Chima Moneke,SAC,2,1,1,4.0,0.0,0.0,0.0,-,-,-,-,-
66,Chimezie Metu,SAC,49,30,19,11.2,0.0,0.0,0.1,16.7,0.0,0.1,0.0,16.7
67,Chris Boucher,TOR,58,29,29,20.5,0.4,0.2,0.4,40.0,0.0,0.1,25.0,44.0
68,Chris Duarte,IND,40,16,24,19.1,2.4,1.0,3.1,31.2,0.5,1.6,29.7,38.8
69,Chris Paul,PHX,43,23,20,32.1,7.7,3.4,8.3,40.7,0.9,2.9,30.9,46.0
70,Chris Silva,DAL,1,1,0,3.0,0.0,0.0,0.0,-,-,-,-,-
71,Christian Braun,DEN,59,42,17,14.8,0.4,0.1,0.4,33.3,0.1,0.2,50.0,43.8
72,Christian Koloko,TOR,46,21,25,14.4,0.0,0.0,0.0,-,0.0,0.0,-,-
73,Christian Wood,DAL,52,28,24,27.0,0.8,0.4,1.4,25.3,0.1,0.7,13.5,28.7
74,Chuma Okeke,ORL,20,5,15,20.4,0.5,0.2,0.7,30.8,0.1,0.3,33.3,38.5
75,Clint Capela,ATL,47,26,21,26.8,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
76,Coby White,CHI,56,26,30,22.4,1.4,0.6,1.6,34.8,0.2,0.8,28.6,41.3
77,Cody Martin,CHA,7,2,5,19.1,0.3,0.1,1.4,10.0,0.0,0.7,0.0,10.0
78,Cody Zeller,MIA,5,1,4,14.4,0.0,0.0,0.2,0.0,-,-,-,0.0
79,Cole Anthony,ORL,44,21,23,25.0,3.2,1.4,3.3,43.4,0.4,0.9,40.0,49.0
80,Cole Swider,LAL,6,1,5,6.7,0.0,0.0,0.5,0.0,0.0,0.3,0.0,0.0
81,Collin Sexton,UTA,47,24,23,24.0,2.4,1.0,2.1,46.0,0.4,0.9,47.6,56.0
82,Corey Kispert,WAS,54,26,28,26.9,0.4,0.1,0.5,30.8,0.1,0.3,33.3,40.4
83,Cory Joseph,DET,44,10,34,16.2,1.5,0.6,1.8,35.4,0.2,0.7,29.0,41.1
84,D'Angelo Russell,LAL,58,30,28,32.4,6.5,2.7,6.2,43.1,1.1,2.9,39.1,52.2
85,Daishen Nix,HOU,45,11,34,16.2,1.0,0.3,0.9,37.5,0.3,0.8,38.9,55.0
86,Dalano Banton,TOR,27,14,13,9.3,0.4,0.2,1.1,17.2,0.1,0.4,16.7,20.7
