,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
0,A.J. Lawson,DAL,13,4.8,5,8,0.1,0.0,0.6,0.4,0.4,100.0
1,AJ Green,MIL,31,9.5,25,6,0.2,0.0,1.0,0.8,1.0,77.4
2,AJ Griffin,ATL,61,19.4,28,33,0.6,0.1,1.6,1.5,2.0,76.4
3,Aaron Gordon,DEN,57,30.1,39,18,0.8,0.8,4.3,1.9,3.1,61.7
4,Aaron Holiday,ATL,54,13.6,28,26,0.5,0.2,0.8,0.7,1.0,76.9
5,Aaron Nesmith,IND,60,24.6,26,34,0.8,0.4,3.0,1.7,2.8,61.8
6,Aaron Wiggins,OKC,57,18.7,31,26,0.5,0.2,2.0,1.3,2.3,58.5
7,Admiral Schofield,ORL,31,11.9,12,19,0.2,0.1,1.1,1.1,1.4,77.3
8,Al Horford,BOS,55,31.0,38,17,0.5,0.9,5.0,2.8,4.8,58.6
9,Alec Burks,DET,50,22.0,12,38,0.8,0.2,2.8,1.8,2.5,71.5
10,Aleksej Pokusevski,OKC,31,21.9,15,16,0.6,1.3,3.6,3.5,5.7,61.0
11,Alex Caruso,CHI,56,24.2,24,32,1.6,0.6,2.5,1.3,1.9,64.2
12,Alex Len,SAC,17,3.1,11,6,0.0,0.0,0.7,0.3,0.5,55.6
13,Alize Johnson,SAS,4,7.4,1,3,0.3,0.0,2.0,0.0,1.8,0.0
14,Alondes Williams,BKN,1,5.3,1,0,0.0,0.0,1.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,63,28.3,13,50,0.9,0.9,5.6,3.8,5.9,63.7
16,Amir Coffey,LAC,45,13.2,23,22,0.2,0.1,0.8,0.6,0.9,70.0
17,Andre Drummond,CHI,55,12.9,24,31,0.7,0.3,4.5,1.4,2.3,61.1
18,Andre Iguodala,GSW,7,13.5,2,5,0.4,0.3,1.4,1.6,2.0,78.6
19,Andrew Nembhard,IND,62,26.9,28,34,1.0,0.2,2.2,1.3,2.0,63.4
20,Andrew Wiggins,GSW,36,32.3,18,18,1.2,0.7,3.4,2.2,3.1,69.6
21,Anfernee Simons,POR,60,35.0,27,33,0.7,0.2,2.3,2.4,3.2,74.7
22,Anthony Davis,LAL,44,33.5,22,22,1.0,2.1,9.2,4.1,7.2,56.9
23,Anthony Edwards,MIN,70,36.4,35,35,1.6,0.7,5.4,2.2,3.1,70.6
24,Anthony Gill,WAS,46,10.0,18,28,0.1,0.2,0.9,0.7,1.1,62.7
25,Anthony Lamb,GSW,49,20.0,27,22,0.5,0.3,2.5,2.4,3.5,69.4
26,Austin Reaves,LAL,52,27.6,26,26,0.6,0.3,2.3,1.9,2.4,76.4
27,Austin Rivers,MIN,50,20.1,24,26,0.6,0.1,1.5,0.8,1.0,76.9
28,Ayo Dosunmu,CHI,65,27.2,30,35,0.8,0.3,2.3,1.5,2.3,65.3
29,Bam Adebayo,MIA,66,35.1,35,31,1.2,0.8,7.0,2.7,4.2,64.0
30,Ben Simmons,BKN,42,26.3,24,18,1.3,0.6,5.3,1.7,3.0,57.5
31,Bennedict Mathurin,IND,67,27.8,30,37,0.6,0.1,2.9,1.7,2.6,68.0
32,Bismack Biyombo,PHX,50,13.4,26,24,0.3,1.2,2.8,1.5,3.4,44.8
33,Blake Griffin,BOS,32,14.2,20,12,0.3,0.2,2.6,1.3,1.8,69.5
34,Blake Wesley,SAS,23,16.8,5,18,0.6,0.1,1.8,0.7,0.9,71.4
35,Boban Marjanovic,HOU,24,4.8,3,21,0.2,0.0,1.2,0.3,0.5,63.6
36,Bobby Portis,MIL,58,25.9,39,19,0.4,0.2,7.3,2.4,3.4,69.9
37,Bogdan Bogdanovic,ATL,43,28.5,21,22,0.8,0.3,2.8,1.9,2.6,73.9
38,Bojan Bogdanovic,DET,58,32.0,15,43,0.6,0.1,3.2,1.9,2.6,76.4
39,Bol Bol,ORL,64,22.0,25,39,0.4,1.3,4.9,1.9,2.9,67.2
40,Bones Hyland,LAC,47,19.0,30,17,0.7,0.3,1.9,1.6,1.9,84.3
41,Bradley Beal,WAS,47,33.5,24,23,0.9,0.7,3.0,1.3,2.0,67.4
42,Brandon Boston Jr.,LAC,21,11.7,8,13,0.4,0.0,1.0,0.9,1.2,69.2
43,Brandon Clarke,MEM,56,19.5,32,24,0.6,0.7,3.9,1.8,3.1,57.0
44,Brandon Ingram,NOP,32,32.9,14,18,0.7,0.4,4.6,1.5,2.3,64.0
45,Braxton Key,DET,3,3.0,0,3,0.0,0.0,0.3,0.0,0.0,0.0
46,Brook Lopez,MIL,68,30.7,49,19,0.5,2.5,4.7,3.9,7.9,50.0
47,Bruce Brown,DEN,68,28.2,46,22,1.0,0.6,3.3,1.9,2.7,69.6
48,Bruno Fernando,ATL,34,10.9,10,24,0.2,0.9,2.2,1.4,2.4,58.0
49,Bryce McGowens,CHA,35,14.6,11,24,0.2,0.1,1.3,0.7,1.0,68.6
50,Bryn Forbes,MIN,25,10.7,9,16,0.3,0.1,0.4,0.3,0.5,66.7
51,Buddy Boeheim,DET,4,13.0,1,3,0.5,0.0,0.3,1.5,1.5,100.0
52,Buddy Hield,IND,69,31.7,31,38,1.2,0.3,4.2,2.6,3.7,70.8
53,CJ McCollum,NOP,62,35.0,29,33,0.9,0.5,3.5,2.3,2.9,79.3
54,Cade Cunningham,DET,12,33.3,3,9,0.8,0.6,5.2,2.8,4.1,69.4
55,Caleb Houstan,ORL,40,15.1,14,26,0.2,0.1,1.4,1.0,1.4,72.7
56,Caleb Martin,MIA,60,29.7,32,28,1.0,0.5,3.6,2.5,3.7,67.1
57,Cam Reddish,POR,34,25.1,13,21,1.0,0.3,1.8,1.7,2.5,67.9
58,Cam Thomas,BKN,50,16.7,28,22,0.4,0.1,1.6,1.0,1.5,69.9
59,Cameron Johnson,BKN,30,27.5,19,11,1.1,0.3,3.6,1.7,2.5,67.1
60,Cameron Payne,PHX,37,21.7,20,17,0.8,0.2,2.0,1.0,1.2,78.3
61,Caris LeVert,CLE,66,30.1,39,27,0.9,0.3,3.1,1.5,2.1,71.2
