,Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time Of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
0,A.J. Lawson,DAL,13,5,8,4.8,2.6,4.8,3.2,0.1,1.39,0.62,0.54,0.0,0.0,0.2,0.0,0.0,2.0
1,AJ Green,MIL,33,26,7,9.7,4.5,12.1,7.4,0.5,2.57,1.79,0.372,0.1,0.0,0.3,0.0,0.0,0.727
2,AJ Griffin,ATL,68,31,37,19.3,8.8,21.0,14.1,0.7,2.08,1.5,0.42,0.4,0.0,0.7,0.767,2.0,0.956
3,Aaron Gordon,DEN,65,44,21,30.1,16.4,42.1,23.6,2.1,2.94,2.1,0.39,1.8,2.2,6.7,0.504,0.721,1.191
4,Aaron Holiday,ATL,59,30,29,13.3,3.9,20.2,7.9,1.4,4.17,3.81,0.194,0.1,0.0,0.4,0.25,0.0,0.636
5,Aaron Nesmith,IND,69,29,40,24.9,10.0,35.7,20.5,1.0,1.66,0.8,0.28,0.4,0.0,1.1,0.759,0.0,0.795
6,Aaron Wiggins,OKC,66,35,31,18.4,6.6,20.6,12.9,0.7,1.93,1.29,0.318,0.5,0.0,2.1,0.412,1.0,0.869
7,Admiral Schofield,ORL,33,13,20,11.7,4.1,17.7,8.4,0.5,1.72,0.81,0.231,0.5,0.0,0.9,0.533,0.0,0.742
8,Al Horford,BOS,61,43,18,30.5,9.7,45.7,25.4,1.2,1.52,0.46,0.213,1.1,0.9,2.7,0.271,0.386,0.542
9,Alec Burks,DET,50,12,38,22.0,12.9,34.6,21.2,1.7,3.03,2.34,0.374,0.3,0.3,0.4,0.625,0.533,0.611
10,Aleksej Pokusevski,OKC,34,16,18,20.6,8.1,41.7,22.7,1.1,1.6,0.75,0.195,1.6,0.0,3.1,0.63,0.0,0.71
11,Alex Caruso,CHI,62,29,33,23.8,5.8,43.4,17.9,1.9,2.61,1.85,0.133,0.8,0.0,1.3,0.292,0.0,0.622
12,Alex Len,SAC,21,14,7,4.4,1.2,6.9,3.6,0.2,1.43,0.37,0.179,1.1,0.0,1.1,0.435,0.0,0.826
13,Alize Johnson,SAS,4,1,3,7.4,1.8,11.5,5.5,0.5,2.7,1.98,0.152,0.0,0.3,1.0,0.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,9.0,3.0,0.4,2.72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,71,15,56,28.7,14.7,55.4,38.3,2.2,2.44,1.25,0.266,5.0,4.4,6.9,0.542,0.518,0.764
16,Amir Coffey,LAC,49,25,24,12.7,3.5,13.9,10.3,0.6,2.5,1.66,0.253,0.1,0.0,0.2,0.429,0.0,0.333
17,Andre Drummond,CHI,63,30,33,12.8,6.1,17.7,10.8,0.4,1.41,0.48,0.345,1.6,0.4,4.5,0.612,0.741,0.957
18,Andre Iguodala,GSW,7,2,5,13.5,1.7,24.4,13.3,0.7,1.76,0.68,0.07,0.7,0.0,1.3,0.4,0.0,0.889
19,Andrew Nembhard,IND,71,31,40,27.4,9.2,47.1,23.2,2.8,3.61,3.26,0.195,0.4,0.1,0.6,0.483,0.0,0.556
20,Andrew Wiggins,GSW,36,18,18,32.3,17.1,46.2,31.6,1.8,2.28,1.48,0.371,0.7,1.7,3.3,0.808,0.581,0.992
21,Anfernee Simons,POR,62,27,35,35.0,21.1,67.4,32.3,5.4,4.78,4.18,0.312,0.3,0.0,0.6,0.95,0.0,0.842
22,Anthony Davis,LAL,51,27,24,34.0,26.3,68.7,38.3,2.5,2.15,0.9,0.383,5.3,5.0,10.7,0.763,0.743,1.188
23,Anthony Edwards,MIN,75,37,38,36.1,24.4,71.2,36.7,4.7,3.99,3.45,0.342,0.5,0.6,0.9,0.846,0.659,0.939
24,Anthony Gill,WAS,54,20,34,10.0,3.1,10.1,6.7,0.3,1.74,0.7,0.309,0.4,0.0,1.3,0.545,2.0,1.257
25,Anthony Lamb,GSW,57,32,25,19.8,6.7,33.4,17.9,1.0,1.8,0.94,0.202,0.6,0.3,1.7,0.417,0.0,0.557
26,Austin Reaves,LAL,59,31,28,28.4,12.4,41.0,21.6,2.4,3.57,3.08,0.303,0.5,0.0,0.9,0.414,0.0,0.654
27,Austin Rivers,MIN,52,25,27,19.5,4.9,22.8,13.3,1.1,3.0,2.37,0.215,0.1,0.0,0.1,1.0,0.0,0.571
28,Ayo Dosunmu,CHI,74,36,38,26.5,8.7,43.6,16.8,2.5,3.45,3.15,0.198,0.2,0.0,0.7,0.875,0.0,0.98
29,Bam Adebayo,MIA,72,37,35,35.2,20.7,63.0,36.9,3.0,2.86,1.6,0.329,6.9,2.7,7.7,0.673,0.609,0.885
30,Ben Simmons,BKN,42,24,18,26.3,6.9,61.4,21.5,3.5,3.42,2.35,0.113,2.3,1.1,4.0,0.344,0.444,0.846
31,Bennedict Mathurin,IND,74,32,42,28.1,16.5,41.2,28.1,1.7,2.49,1.69,0.401,1.1,0.1,1.7,0.877,0.3,1.055
32,Bismack Biyombo,PHX,57,30,27,14.4,4.2,23.5,13.7,0.6,1.56,0.47,0.181,2.5,0.9,5.0,0.401,0.388,0.661
33,Blake Griffin,BOS,37,24,13,14.1,4.4,21.0,12.7,0.6,1.64,0.61,0.208,1.2,0.4,2.3,0.628,0.571,0.774
34,Blake Wesley,SAS,31,6,25,17.4,4.9,34.8,12.5,2.8,4.78,4.4,0.141,0.3,0.0,0.7,0.444,0.0,0.522
35,Boban Marjanovic,HOU,28,5,23,5.3,3.1,6.7,4.3,0.2,2.1,0.89,0.46,0.6,1.4,1.5,0.882,0.925,1.302
36,Bobby Portis,MIL,66,44,22,25.8,13.7,49.2,24.8,1.4,1.76,0.74,0.279,1.4,3.0,4.3,0.62,0.619,0.908
37,Bogdan Bogdanovic,ATL,51,25,26,28.1,13.8,40.6,25.1,1.8,2.69,1.9,0.34,0.6,0.1,0.5,0.533,0.8,0.667
38,Bojan Bogdanovic,DET,58,15,43,32.0,21.5,46.6,33.0,2.3,2.97,2.15,0.462,0.8,1.0,0.8,0.955,0.483,0.816
39,Bol Bol,ORL,67,26,41,21.4,9.0,22.6,12.5,0.9,2.32,1.56,0.4,0.4,0.1,1.9,1.148,0.6,1.44
40,Bones Hyland,LAC,53,33,20,19.3,11.8,45.8,19.6,3.6,4.75,4.08,0.258,0.2,0.0,0.4,0.727,0.0,0.7
41,Bradley Beal,WAS,50,24,26,33.5,23.2,67.9,39.2,5.1,4.52,4.07,0.342,1.9,0.6,1.6,0.638,0.438,0.938
42,Brandon Boston Jr.,LAC,21,8,13,11.7,6.8,20.3,11.6,1.0,2.94,2.6,0.335,0.1,0.1,0.5,1.0,0.667,0.5
43,Brandon Clarke,MEM,56,32,24,19.5,10.0,28.5,17.8,0.7,1.52,0.65,0.35,4.3,0.2,5.4,0.554,0.444,1.095
44,Brandon Ingram,NOP,41,21,20,33.5,24.5,65.3,38.1,4.4,4.07,3.1,0.376,2.1,1.6,0.9,0.741,0.797,0.778
45,Braxton Key,DET,3,0,3,3.0,1.3,3.3,1.3,0.1,1.56,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
46,Brook Lopez,MIL,75,54,21,30.3,15.6,34.2,23.4,0.8,1.43,0.43,0.457,2.5,1.8,5.7,0.554,1.045,1.146
47,Bruce Brown,DEN,76,51,25,28.3,11.2,51.2,24.6,3.0,3.48,2.84,0.219,0.8,0.1,1.8,0.889,1.0,0.907
48,Bruno Fernando,ATL,36,11,25,10.5,3.7,18.7,11.0,0.4,1.41,0.49,0.196,1.4,0.2,3.4,0.347,0.667,0.821
49,Bryce McGowens,CHA,42,15,27,15.6,4.2,16.5,10.7,0.6,2.28,1.39,0.255,0.1,0.0,0.5,0.0,0.0,0.75
50,Bryn Forbes,MIN,25,9,16,10.7,3.6,11.9,8.9,0.4,2.06,1.31,0.3,0.0,0.0,0.1,0.0,0.0,1.0
51,Buddy Boeheim,DET,7,1,6,9.8,2.0,9.6,6.1,0.2,1.25,0.36,0.209,0.0,0.0,0.1,0.0,0.0,2.0
52,Buddy Hield,IND,76,34,42,31.5,16.9,59.3,34.4,2.0,2.03,1.35,0.285,0.4,0.0,0.9,0.788,0.0,0.955
53,CJ McCollum,NOP,71,36,35,35.1,20.8,74.3,32.6,5.4,4.36,3.89,0.28,0.8,0.0,0.6,0.61,0.0,0.619
54,Cade Cunningham,DET,12,3,9,33.3,19.9,78.3,24.8,7.0,5.37,4.99,0.255,0.3,0.4,0.9,1.0,0.6,0.909
55,Caleb Houstan,ORL,47,19,28,15.2,3.4,12.7,7.4,0.3,1.35,0.39,0.269,0.1,0.0,0.7,0.0,0.0,0.71
56,Caleb Martin,MIA,67,35,32,29.6,9.8,38.8,21.8,1.6,2.47,1.58,0.253,0.7,0.1,2.3,0.864,0.0,0.643
