,PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
0,A.J. Lawson,DAL,13,5,8,4.8,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
1,AJ Green,MIL,32,25,7,9.4,1.0,0.4,1.1,38.2,0.2,0.7,33.3,48.5
2,AJ Griffin,ATL,67,31,36,19.3,2.9,1.2,2.5,49.4,0.4,0.8,45.5,56.8
3,Aaron Gordon,DEN,62,43,19,30.1,1.6,0.6,1.6,37.6,0.4,0.9,39.7,49.0
4,Aaron Holiday,ATL,58,30,28,13.5,0.9,0.4,1.0,41.4,0.1,0.3,38.9,47.4
5,Aaron Nesmith,IND,66,28,38,24.6,1.2,0.5,1.1,43.1,0.2,0.5,44.4,54.2
6,Aaron Wiggins,OKC,63,34,29,18.1,0.2,0.1,0.3,31.3,0.0,0.1,42.9,40.6
7,Admiral Schofield,ORL,32,13,19,11.6,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
8,Al Horford,BOS,59,42,17,30.7,0.3,0.1,0.3,47.1,0.1,0.1,60.0,55.9
9,Alec Burks,DET,51,12,39,22.0,4.8,2.0,4.6,42.6,0.9,2.2,39.6,51.9
10,Aleksej Pokusevski,OKC,31,15,16,21.9,0.4,0.2,0.6,27.8,0.0,0.2,20.0,30.6
11,Alex Caruso,CHI,61,29,32,23.9,0.2,0.1,0.4,19.2,0.0,0.2,25.0,25.0
12,Alex Len,SAC,18,12,6,3.2,0.1,0.1,0.1,100,0.0,0.0,-,100
13,Alize Johnson,SAS,4,1,3,7.4,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,0.0,0.0,-,-,-,-,-
15,Alperen Sengun,HOU,68,14,54,28.6,0.4,0.2,0.5,38.2,0.0,0.1,0.0,38.2
16,Amir Coffey,LAC,47,24,23,12.9,0.4,0.2,0.7,28.6,0.0,0.1,16.7,30.0
17,Andre Drummond,CHI,61,29,32,12.8,0.0,0.0,0.0,50.0,0.0,0.0,-,50.0
18,Andre Iguodala,GSW,8,3,5,14.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0
19,Andrew Nembhard,IND,68,30,38,27.2,2.2,0.9,2.7,34.6,0.3,0.9,32.8,39.7
20,Andrew Wiggins,GSW,37,19,18,32.2,2.3,1.1,3.1,33.9,0.2,0.8,24.1,37.0
