,PLAYER,TEAM,GP,W,L,MIN,Touches,Elbow Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,13,5,8,4.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,29,23,6,9.8,12.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,66.7,0.0,50.0,0.0,0.0,0.0,0.0
2,AJ Griffin,ATL,59,28,31,19.9,21.4,0.5,0.2,0.3,73.3,0.0,0.0,0.0,0.4,82.1,0.2,32.1,0.0,22.2,0.0,7.1,0.0,0.0
3,Aaron Gordon,DEN,52,38,14,30.0,42.4,1.8,0.3,0.5,59.3,0.3,0.4,65.0,0.9,50.0,1.1,57.3,0.2,18.2,0.1,3.1,0.2,9.4
4,Aaron Holiday,ATL,52,28,24,14.0,20.4,0.1,0.0,0.1,25.0,0.0,0.0,0.0,0.0,28.6,0.1,42.9,0.0,33.3,0.0,0.0,0.0,0.0
5,Aaron Nesmith,IND,57,24,33,24.4,34.2,0.4,0.2,0.2,83.3,0.0,0.0,0.0,0.4,90.9,0.1,36.4,0.0,0.0,0.0,9.1,0.0,0.0
6,Aaron Wiggins,OKC,51,26,25,19.0,22.0,0.6,0.1,0.2,36.4,0.1,0.1,100.0,0.2,34.5,0.3,48.3,0.0,7.1,0.1,10.3,0.0,3.4
7,Admiral Schofield,ORL,30,12,18,12.0,18.4,0.4,0.1,0.2,66.7,0.0,0.0,0.0,0.3,61.5,0.2,53.8,0.1,28.6,0.0,0.0,0.0,0.0
8,Al Horford,BOS,50,35,15,30.8,46.3,1.2,0.2,0.3,52.9,0.0,0.0,0.0,0.4,31.7,0.8,66.7,0.3,35.0,0.0,3.3,0.0,0.0
9,Alec Burks,DET,49,12,37,22.0,34.5,0.3,0.1,0.2,44.4,0.0,0.0,0.0,0.2,62.5,0.1,43.8,0.0,28.6,0.0,0.0,0.0,0.0
10,Aleksej Pokusevski,OKC,31,15,16,21.9,44.4,1.6,0.5,0.7,65.2,0.0,0.1,50.0,1.0,60.8,0.7,43.1,0.0,0.0,0.2,9.8,0.0,2.0
11,Alex Caruso,CHI,53,22,31,24.1,45.5,0.8,0.1,0.2,40.0,0.0,0.0,0.0,0.2,18.6,0.5,67.4,0.1,24.1,0.0,4.7,0.0,0.0
12,Alex Len,SAC,14,9,5,3.4,6.1,1.3,0.1,0.4,40.0,0.1,0.1,100.0,0.4,33.3,0.7,55.6,0.1,10.0,0.1,11.1,0.1,5.6
13,Alize Johnson,SAS,4,1,3,7.4,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,57,10,47,28.2,54.2,5.3,1.1,2.2,52.8,0.6,0.8,68.8,2.9,55.3,2.1,40.7,0.4,20.5,0.4,7.0,0.4,7.3
16,Amir Coffey,LAC,43,21,22,13.7,14.9,0.1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,16.7,0.1,66.7,0.0,0.0,0.0,0.0,0.0,16.7
17,Andre Drummond,CHI,51,22,29,13.1,18.3,1.8,0.4,0.8,55.0,0.3,0.5,54.2,1.1,63.7,0.6,31.9,0.1,13.8,0.2,8.8,0.2,13.2
18,Andre Iguodala,GSW,2,0,2,12.3,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Andrew Nembhard,IND,57,25,32,26.9,43.7,0.5,0.1,0.2,60.0,0.0,0.0,0.0,0.2,46.2,0.2,53.8,0.0,14.3,0.0,7.7,0.0,0.0
20,Andrew Wiggins,GSW,36,18,18,32.3,46.2,0.7,0.3,0.4,56.3,0.1,0.1,75.0,0.6,80.8,0.2,26.9,0.0,14.3,0.0,0.0,0.1,7.7
21,Anfernee Simons,POR,57,27,30,35.3,68.4,0.3,0.2,0.2,69.2,0.0,0.0,0.0,0.3,118.8,0.0,12.5,0.0,50.0,0.0,6.3,0.0,0.0
22,Anthony Davis,LAL,39,18,21,33.3,67.7,4.9,1.4,2.7,52.8,0.6,0.7,92.3,3.6,72.5,1.5,29.5,0.3,22.8,0.3,5.2,0.3,6.2
23,Anthony Edwards,MIN,65,33,32,36.3,72.5,0.5,0.1,0.2,69.2,0.0,0.0,100.0,0.3,65.6,0.2,37.5,0.0,25.0,0.1,15.6,0.0,3.1
