,PLAYER,TEAM,GP,W,L,MIN,REB,Contested REB,Contested REB%,REB Chances,REB Chance%,Deferred REB Chances,Adjusted REB Chance%,AVG REB Distance
0,A.J. Lawson,DAL,13,5,8,4.8,0.8,0.4,50.0,1.3,58.8,0.2,71.4,5.6
1,AJ Green,MIL,33,26,7,9.7,1.2,0.4,35.9,2.5,47.6,0.2,52.7,8.4
2,AJ Griffin,ATL,67,31,36,19.3,2.1,0.6,26.4,3.7,56.7,0.2,59.8,8.6
3,Aaron Gordon,DEN,64,44,20,30.0,6.5,2.9,44.3,10.4,62.1,0.5,65.3,5.9
4,Aaron Holiday,ATL,58,30,28,13.5,1.2,0.2,20.3,2.5,47.6,0.2,51.1,10.1
5,Aaron Nesmith,IND,68,28,40,24.9,3.7,1.2,31.1,7.9,47.2,0.7,52.0,6.9
6,Aaron Wiggins,OKC,65,35,30,18.2,3.0,1.2,41.1,5.8,52.1,0.5,57.3,7.4
7,Admiral Schofield,ORL,33,13,20,11.7,1.7,0.7,39.3,4.2,40.3,0.3,43.4,6.9
8,Al Horford,BOS,61,43,18,30.5,6.2,2.1,34.2,10.2,60.4,1.0,66.7,6.4
9,Alec Burks,DET,50,12,38,22.0,3.1,0.8,24.5,5.1,60.5,0.2,63.3,7.7
10,Aleksej Pokusevski,OKC,33,16,17,20.9,4.8,2.2,46.2,9.5,50.3,1.1,56.8,5.0
11,Alex Caruso,CHI,61,28,33,23.9,3.0,0.6,18.8,5.5,54.4,0.4,59.0,9.4
12,Alex Len,SAC,20,13,7,4.0,1.4,0.6,40.7,2.3,58.7,0.1,60.0,6.1
13,Alize Johnson,SAS,4,1,3,7.4,2.5,0.8,30.0,4.5,55.6,0.3,58.8,3.8
14,Alondes Williams,BKN,1,1,0,5.3,1.0,0.0,0.0,1.0,100.0,0.0,100.0,7.0
15,Alperen Sengun,HOU,70,14,56,28.6,8.7,4.1,47.4,15.7,55.3,1.2,59.9,5.2
16,Amir Coffey,LAC,48,25,23,12.7,1.1,0.2,21.2,2.2,48.6,0.1,52.0,10.5
17,Andre Drummond,CHI,62,29,33,12.8,6.7,3.6,53.4,9.7,69.1,0.4,72.3,4.2
18,Andre Iguodala,GSW,7,2,5,13.5,1.9,0.4,23.1,3.9,48.1,0.6,56.5,7.3
19,Andrew Nembhard,IND,70,30,40,27.3,2.6,0.5,17.9,4.8,54.4,0.4,59.4,9.8
20,Andrew Wiggins,GSW,36,18,18,32.3,5.0,1.6,32.6,9.8,51.4,0.8,55.9,7.1
21,Anfernee Simons,POR,62,27,35,35.0,2.6,0.5,21.1,4.8,54.0,0.4,59.2,9.5
22,Anthony Davis,LAL,50,26,24,33.9,12.3,6.8,55.1,20.1,61.3,1.5,66.2,4.4
23,Anthony Edwards,MIN,74,37,37,36.1,5.8,1.2,20.9,10.0,57.7,0.8,62.6,7.0
24,Anthony Gill,WAS,53,20,33,9.9,1.5,0.6,39.0,3.1,50.6,0.3,55.8,6.0
25,Anthony Lamb,GSW,56,31,25,19.7,3.4,1.3,38.9,7.1,47.7,0.7,52.8,6.5
26,Austin Reaves,LAL,58,30,28,28.3,3.0,0.4,13.1,5.8,51.9,0.6,58.1,9.1
