,PLAYER,TEAM,GP,W,L,MIN,PTS,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
0,A.J. Lawson,DAL,13,5,8,4.8,2.6,0.0,0.0,1.6,46.7,0.0,0.0,0.3,100.0,0.0,0.0,0.0,0.0,63.5
1,AJ Green,MIL,32,25,7,9.4,4.3,0.1,100.0,3.0,45.7,1.0,38.2,0.3,75.0,0.0,0.0,0.0,0.0,61.9
2,AJ Griffin,ATL,61,28,33,19.4,8.8,2.0,49.5,3.2,37.0,2.9,50.7,0.6,75.0,0.0,100.0,0.4,73.3,56.3
3,Aaron Gordon,DEN,58,40,18,30.1,16.8,2.4,55.2,1.8,33.3,1.7,39.8,8.2,75.7,1.6,51.7,0.9,55.9,62.4
4,Aaron Holiday,ATL,54,28,26,13.6,3.9,1.2,40.9,1.4,42.4,0.9,39.6,0.2,41.7,0.0,0.0,0.0,25.0,50.0
5,Aaron Nesmith,IND,61,27,34,24.8,9.9,2.0,44.0,3.9,34.3,1.2,42.4,0.9,61.5,0.0,0.0,0.3,83.3,51.7
6,Aaron Wiggins,OKC,58,31,27,18.5,6.6,1.4,47.2,1.8,36.5,0.2,33.3,1.8,63.4,0.0,50.0,0.2,38.5,56.0
7,Admiral Schofield,ORL,31,12,19,11.9,4.2,0.8,60.0,1.9,37.7,0.0,0.0,0.7,61.1,0.0,0.0,0.3,66.7,58.9
8,Al Horford,BOS,55,38,17,31.0,9.8,0.7,60.0,6.7,44.0,0.3,50.0,1.5,53.4,0.4,52.4,0.3,47.4,63.2
9,Alec Burks,DET,50,12,38,22.0,12.9,3.0,49.0,3.3,43.4,4.9,42.6,0.2,44.4,0.2,57.1,0.2,44.4,55.1
10,Aleksej Pokusevski,OKC,31,15,16,21.9,8.8,1.1,34.2,3.8,38.5,0.4,27.8,2.5,54.5,0.0,0.0,1.0,65.2,51.9
11,Alex Caruso,CHI,56,24,32,24.2,5.7,0.8,39.4,2.4,38.0,0.2,16.0,0.8,57.6,0.0,0.0,0.2,50.0,53.7
12,Alex Len,SAC,17,11,6,3.1,0.8,0.0,0.0,0.0,0.0,0.1,100.0,0.5,100.0,0.0,0.0,0.4,40.0,45.5
13,Alize Johnson,SAS,4,1,3,7.4,1.8,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,63,13,50,28.3,14.7,2.8,55.4,0.9,35.0,0.4,40.6,5.4,58.0,2.3,55.6,2.9,53.7,56.7
16,Amir Coffey,LAC,45,23,22,13.2,3.6,1.5,41.4,0.7,31.4,0.5,28.6,0.1,50.0,0.0,0.0,0.0,0.0,41.8
17,Andre Drummond,CHI,55,24,31,12.9,6.1,0.2,45.5,0.0,0.0,0.0,100.0,4.3,62.4,0.2,55.6,1.1,54.8,62.0
18,Andre Iguodala,GSW,7,2,5,13.5,1.7,0.4,100.0,0.0,0.0,0.0,0.0,1.1,100.0,0.0,0.0,0.3,100.0,41.7
19,Andrew Nembhard,IND,63,29,34,26.9,8.5,2.3,40.9,2.9,35.4,2.1,33.3,0.4,61.1,0.0,0.0,0.2,63.6,50.0
20,Andrew Wiggins,GSW,36,18,18,32.3,17.1,1.6,34.3,7.1,43.9,2.4,33.9,3.3,63.5,1.0,59.3,0.6,56.3,56.0
21,Anfernee Simons,POR,60,27,33,35.0,21.2,5.9,54.2,6.0,40.1,7.4,39.4,0.5,62.5,0.0,0.0,0.3,64.3,55.2
22,Anthony Davis,LAL,44,22,22,33.5,26.1,2.4,51.3,2.3,31.8,2.2,39.8,13.0,70.7,3.8,50.0,3.7,55.5,57.3
23,Anthony Edwards,MIN,70,35,35,36.4,25.0,9.4,52.6,3.4,41.7,7.5,35.2,0.9,76.3,0.4,52.4,0.5,78.9,52.9
24,Anthony Gill,WAS,46,18,28,10.0,3.2,0.5,40.0,0.2,22.2,0.0,14.3,1.5,84.2,0.0,0.0,0.3,75.0,59.9
25,Anthony Lamb,GSW,49,27,22,20.0,6.9,0.9,69.2,3.7,38.3,0.3,27.8,1.0,61.1,0.0,0.0,0.2,62.5,59.1
26,Austin Reaves,LAL,52,26,26,27.6,11.5,3.4,58.5,3.1,39.1,2.1,44.0,0.7,61.9,0.0,0.0,0.2,55.6,60.1
27,Austin Rivers,MIN,50,24,26,20.1,5.1,1.8,55.6,2.4,37.7,0.2,15.0,0.1,50.0,0.0,0.0,0.1,100.0,54.3
28,Ayo Dosunmu,CHI,65,30,35,27.2,8.9,2.8,60.6,2.3,32.3,0.7,38.3,0.7,64.5,0.0,0.0,0.2,85.7,54.4
29,Bam Adebayo,MIA,66,35,31,35.1,21.0,4.3,51.9,2.1,44.2,2.9,44.2,7.0,61.3,1.7,51.7,4.9,57.9,54.3
30,Ben Simmons,BKN,42,24,18,26.3,6.9,1.7,52.5,0.1,40.0,0.2,23.5,3.4,71.1,0.5,50.0,0.8,51.6,56.6
31,Bennedict Mathurin,IND,67,30,37,27.8,16.6,5.9,44.5,2.4,29.6,2.5,33.5,1.8,63.0,0.0,0.0,1.0,64.7,48.1
32,Bismack Biyombo,PHX,50,26,24,13.4,3.6,0.0,0.0,0.1,33.3,0.0,50.0,2.8,59.1,0.3,36.4,0.9,50.0,56.6
33,Blake Griffin,BOS,32,20,12,14.2,4.5,0.2,33.3,1.8,39.6,0.0,0.0,1.7,71.4,0.3,60.0,0.8,78.6,59.7
34,Blake Wesley,SAS,23,5,18,16.8,5.3,1.2,26.2,1.7,39.4,1.0,25.6,0.4,42.9,0.0,0.0,0.1,50.0,40.7
35,Boban Marjanovic,HOU,24,3,21,4.8,3.3,0.1,0.0,0.1,33.3,0.3,37.5,2.1,87.5,1.5,60.0,0.6,75.0,68.9
36,Bobby Portis,MIL,59,39,20,26.0,13.8,1.7,57.5,4.4,40.5,1.6,37.9,3.9,62.8,1.9,51.0,0.9,68.4,55.4
37,Bogdan Bogdanovic,ATL,43,21,22,28.5,14.1,3.3,51.8,6.4,41.6,4.3,42.2,0.3,54.5,0.0,50.0,0.3,53.8,55.3
38,Bojan Bogdanovic,DET,58,15,43,32.0,21.5,6.1,55.3,6.0,46.5,5.5,43.7,0.7,47.1,0.5,33.3,0.7,58.1,57.1
39,Bol Bol,ORL,65,25,40,21.8,9.2,2.3,55.0,1.0,31.4,1.3,34.9,2.8,84.0,0.1,40.0,0.5,87.5,60.1
40,Bones Hyland,LAC,47,30,17,19.0,11.6,2.9,35.3,3.0,36.4,3.9,33.7,0.2,50.0,0.0,0.0,0.1,75.0,49.3
