,PLAYER,TEAM,GP,W,L,MIN,REB,Contested REB,Contested REB%,REB Chances,REB Chance%,Deferred REB Chances,Adjusted REB Chance%,AVG REB Distance
0,A.J. Lawson,DAL,13,5,8,4.8,0.8,0.4,50.0,1.3,58.8,0.2,71.4,5.6
1,AJ Green,MIL,33,26,7,9.7,1.2,0.4,35.9,2.5,47.6,0.2,52.7,8.4
2,AJ Griffin,ATL,68,31,37,19.3,2.1,0.5,26.1,3.7,56.8,0.2,59.9,8.6
3,Aaron Gordon,DEN,65,44,21,30.1,6.5,2.9,44.0,10.5,61.9,0.5,65.2,5.8
4,Aaron Holiday,ATL,59,30,29,13.3,1.2,0.3,21.1,2.5,48.3,0.2,51.8,10.0
5,Aaron Nesmith,IND,69,29,40,24.9,3.8,1.2,31.2,7.9,47.6,0.7,52.5,7.0
6,Aaron Wiggins,OKC,66,35,31,18.4,3.0,1.3,42.0,5.8,51.8,0.5,57.0,7.3
7,Admiral Schofield,ORL,33,13,20,11.7,1.7,0.7,39.3,4.2,40.3,0.3,43.4,6.9
8,Al Horford,BOS,61,43,18,30.5,6.2,2.1,34.2,10.2,60.4,1.0,66.7,6.4
9,Alec Burks,DET,50,12,38,22.0,3.1,0.8,24.5,5.1,60.5,0.2,63.3,7.7
10,Aleksej Pokusevski,OKC,34,16,18,20.6,4.7,2.1,45.9,9.3,50.3,1.1,57.0,5.0
11,Alex Caruso,CHI,62,29,33,23.8,3.0,0.5,18.4,5.5,54.1,0.4,58.7,9.3
12,Alex Len,SAC,21,14,7,4.4,1.4,0.5,37.9,2.4,56.9,0.0,58.0,5.8
13,Alize Johnson,SAS,4,1,3,7.4,2.5,0.8,30.0,4.5,55.6,0.3,58.8,3.8
14,Alondes Williams,BKN,1,1,0,5.3,1.0,0.0,0.0,1.0,100.0,0.0,100.0,7.0
15,Alperen Sengun,HOU,71,15,56,28.7,8.7,4.2,47.7,15.7,55.5,1.2,60.1,5.2
16,Amir Coffey,LAC,49,25,24,12.7,1.1,0.2,20.8,2.2,48.6,0.1,52.0,10.5
17,Andre Drummond,CHI,63,30,33,12.8,6.7,3.6,53.2,9.7,69.3,0.4,72.4,4.1
18,Andre Iguodala,GSW,7,2,5,13.5,1.9,0.4,23.1,3.9,48.1,0.6,56.5,7.3
19,Andrew Nembhard,IND,71,31,40,27.4,2.6,0.5,17.6,4.8,54.7,0.4,59.6,9.8
20,Andrew Wiggins,GSW,36,18,18,32.3,5.0,1.6,32.6,9.8,51.4,0.8,55.9,7.1
21,Anfernee Simons,POR,62,27,35,35.0,2.6,0.5,21.1,4.8,54.0,0.4,59.2,9.5
22,Anthony Davis,LAL,51,27,24,34.0,12.4,6.9,55.7,20.2,61.7,1.5,66.6,4.3
23,Anthony Edwards,MIN,75,37,38,36.1,5.7,1.2,20.9,9.9,57.9,0.8,62.8,7.0
24,Anthony Gill,WAS,54,20,34,10.0,1.6,0.6,38.8,3.1,50.6,0.3,55.9,6.0
25,Anthony Lamb,GSW,57,32,25,19.8,3.4,1.3,38.8,7.2,47.9,0.7,52.8,6.4
26,Austin Reaves,LAL,59,31,28,28.4,3.1,0.4,13.8,5.9,51.9,0.6,57.8,9.1
