,Player,Team,Age,Less than 5ft._FGM,Less than 5ft._FGA,Less than 5ft._FG%,5-9 ft._FGM,5-9 ft._FGA,5-9 ft._FG%,10-14 ft._FGM,10-14 ft._FGA,10-14 ft._FG%,15-19 ft._FGM,15-19 ft._FGA,15-19 ft._FG%,20-24 ft._FGM,20-24 ft._FGA,20-24 ft._FG%,25-29 ft._FGM,25-29 ft._FGA,25-29 ft._FG%
0,A.J. Lawson,DAL,22,3.0,3.5,84.6,0.6,1.1,54.5,0.7,1.2,54.5,0.3,0.5,50.0,0.4,1.6,25.0,0.8,2.3,36.0
1,AJ Green,MIL,23,3.8,6.1,63.1,1.0,2.3,42.6,1.1,2.2,50.8,0.6,1.6,36.6,0.8,2.4,33.9,1.9,5.5,34.4
2,AJ Griffin,ATL,19,8.2,13.1,62.1,1.6,3.6,43.3,1.3,3.1,43.9,0.8,1.7,44.5,2.4,6.1,40.0,2.5,8.0,31.4
3,Aaron Gordon,DEN,27,12.7,18.9,67.0,2.9,7.1,40.2,1.8,4.3,42.7,1.5,3.6,42.4,3.0,8.4,36.2,4.4,12.9,34.0
4,Aaron Holiday,ATL,26,6.2,9.5,64.6,1.0,2.5,39.3,0.8,2.1,37.1,0.5,1.3,39.7,1.6,3.9,40.9,1.8,5.4,33.2
5,Aaron Nesmith,IND,23,10.3,16.5,62.4,2.4,5.2,46.8,1.9,3.9,48.5,1.1,2.7,41.0,3.0,7.0,43.0,3.9,10.6,36.9
6,Aaron Wiggins,OKC,24,7.2,11.4,63.4,1.7,4.0,42.2,1.1,2.4,45.0,0.8,2.0,38.9,2.3,5.8,39.4,3.1,8.4,37.5
7,Admiral Schofield,ORL,26,4.0,5.9,68.3,0.8,2.0,39.7,0.6,1.1,52.9,0.6,1.4,39.0,1.5,3.7,41.2,2.1,6.0,34.5
8,Al Horford,BOS,36,11.5,17.5,65.9,2.7,7.0,38.7,2.3,5.2,43.5,2.2,4.4,50.7,2.7,7.2,37.5,5.2,15.2,33.9
9,Alec Burks,DET,31,9.9,14.8,67.0,1.9,5.0,39.1,1.1,2.4,47.9,0.8,2.2,38.4,2.3,6.0,38.8,3.1,9.0,34.4
10,Aleksej Pokusevski,OKC,21,8.6,14.0,61.6,2.0,4.2,47.2,1.0,2.6,38.9,0.8,2.0,40.6,3.0,7.2,42.0,3.4,8.9,38.9
11,Alex Caruso,CHI,29,8.3,12.9,64.3,1.6,4.2,37.7,1.3,2.9,43.9,1.0,2.3,42.9,2.6,7.1,37.1,3.9,11.1,35.0
12,Alex Len,SAC,29,2.0,3.2,60.6,0.4,1.3,27.3,0.4,1.1,33.3,0.2,1.2,18.2,0.8,1.9,39.5,0.9,2.7,33.3
13,Alize Johnson,SAS,26,2.3,6.3,36.0,0.8,1.8,42.9,0.0,0.3,0.0,0.3,1.3,25.0,1.0,2.7,37.5,1.5,3.3,46.2
14,Alondes Williams,BKN,23,3.0,5.0,60.0,1.0,1.0,100,1.0,1.0,100,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0
15,Alperen Sengun,HOU,20,11.2,16.8,66.6,2.5,5.3,46.3,1.8,4.1,45.3,1.2,2.9,41.2,3.2,8.3,38.6,6.1,15.3,39.9
16,Amir Coffey,LAC,25,5.9,9.9,59.8,1.2,3.2,37.8,0.9,1.8,49.4,0.8,1.6,54.1,1.2,3.3,36.3,2.5,6.7,37.0
17,Andre Drummond,CHI,29,4.5,7.1,63.3,1.2,2.6,45.0,0.5,1.4,37.1,0.5,1.2,42.1,1.3,3.9,32.0,2.2,6.1,36.6
18,Andre Iguodala,GSW,39,4.3,7.1,59.6,2.1,4.0,53.1,1.9,3.6,51.7,1.0,2.9,34.8,1.1,2.9,39.1,2.0,6.4,31.4
19,Andrew Nembhard,IND,23,11.5,18.8,61.1,2.9,5.9,48.8,1.9,4.2,45.0,1.3,3.0,43.3,2.8,7.4,37.7,4.4,11.4,38.9
20,Andrew Wiggins,GSW,28,10.7,16.2,66.1,4.8,10.4,46.0,1.9,5.2,36.1,1.9,4.1,47.1,3.1,8.5,36.4,5.4,14.9,36.1
21,Anfernee Simons,POR,23,15.2,23.6,64.2,2.9,6.5,44.3,2.0,4.7,41.3,1.8,4.1,43.5,3.3,9.0,36.7,5.4,15.0,36.4
22,Anthony Davis,LAL,30,13.0,20.6,63.2,3.2,7.5,42.1,2.7,6.2,44.0,2.2,4.9,44.6,3.6,9.5,38.1,5.3,16.2,32.9
23,Anthony Edwards,MIN,21,14.3,22.8,62.9,3.1,7.3,43.0,2.6,6.0,43.2,1.4,3.9,37.1,4.0,11.2,35.9,5.3,14.5,36.4
24,Anthony Gill,WAS,30,3.9,6.0,64.4,1.2,2.7,44.0,0.6,1.2,51.9,0.5,1.4,34.3,1.0,2.6,37.9,1.9,4.9,38.2
25,Anthony Lamb,GSW,25,6.3,9.4,67.2,2.8,5.9,47.2,1.2,2.8,41.7,1.0,2.4,40.7,2.2,5.5,39.6,3.4,9.6,35.3
26,Austin Reaves,LAL,24,11.3,18.0,62.6,2.9,6.6,44.4,2.2,4.8,45.9,1.8,4.0,45.1,3.0,7.7,38.8,4.5,14.1,31.9
27,Austin Rivers,MIN,30,8.5,12.8,66.1,1.8,4.2,42.3,1.6,3.3,48.5,0.7,1.8,36.4,2.4,6.8,35.3,2.9,7.3,39.7
28,Ayo Dosunmu,CHI,23,10.7,16.3,65.3,1.9,5.0,37.5,1.3,3.2,40.7,1.1,2.7,41.4,2.9,8.2,35.1,4.5,12.1,37.2
