,Player,Team,Age,Less than 5ft._FGM,Less than 5ft._FGA,Less than 5ft._FG%,5-9 ft._FGM,5-9 ft._FGA,5-9 ft._FG%,10-14 ft._FGM,10-14 ft._FGA,10-14 ft._FG%,15-19 ft._FGM,15-19 ft._FGA,15-19 ft._FG%,20-24 ft._FGM,20-24 ft._FGA,20-24 ft._FG%,25-29 ft._FGM,25-29 ft._FGA,25-29 ft._FG%
0,A.J. Lawson,DAL,22,3.0,3.5,84.6,0.6,1.1,54.5,0.7,1.2,54.5,0.3,0.5,50.0,0.4,1.6,25.0,0.8,2.3,36.0
1,AJ Green,MIL,23,3.9,6.0,64.6,0.9,2.4,39.1,1.0,2.1,48.3,0.6,1.6,36.8,0.6,2.3,27.3,1.9,5.5,34.7
2,AJ Griffin,ATL,19,8.2,13.0,62.9,1.5,3.6,42.2,1.3,3.1,41.7,0.8,1.8,43.0,2.4,6.2,39.6,2.6,8.1,31.7
3,Aaron Gordon,DEN,27,12.6,18.6,67.7,2.7,6.9,39.0,1.9,4.3,44.1,1.5,3.5,42.1,3.1,8.3,37.2,4.4,12.9,33.8
4,Aaron Holiday,ATL,26,6.4,9.9,65.0,1.0,2.5,38.5,0.8,2.2,37.4,0.6,1.4,40.3,1.6,3.8,40.6,1.9,5.7,33.9
5,Aaron Nesmith,IND,23,9.6,15.9,60.1,2.3,5.1,45.8,1.8,3.8,47.4,1.2,2.8,43.4,3.0,7.0,42.7,3.9,10.4,37.2
6,Aaron Wiggins,OKC,24,7.4,11.8,62.9,1.8,4.0,44.6,0.9,2.2,41.9,0.8,1.9,40.8,2.3,5.9,39.8,3.1,8.5,36.0
7,Admiral Schofield,ORL,25,4.2,6.0,70.3,0.8,2.1,40.0,0.7,1.2,54.5,0.6,1.5,40.0,1.5,3.8,41.0,2.3,6.3,36.1
8,Al Horford,BOS,36,11.8,18.0,65.5,2.7,7.1,38.6,2.2,5.2,41.9,2.2,4.4,49.6,2.9,7.4,38.4,5.2,15.4,33.9
9,Alec Burks,DET,31,9.9,14.8,67.0,1.9,5.0,39.1,1.1,2.4,47.9,0.8,2.2,38.4,2.3,6.0,38.8,3.1,9.0,34.4
10,Aleksej Pokusevski,OKC,21,9.1,14.9,61.2,2.1,4.5,47.1,1.0,2.7,37.3,0.9,2.1,41.3,3.2,7.6,42.2,3.7,9.4,39.5
11,Alex Caruso,CHI,29,8.5,13.2,64.6,1.6,4.1,38.0,1.3,3.1,43.6,1.0,2.4,41.5,2.6,7.2,35.9,4.0,11.4,35.1
12,Alex Len,SAC,29,1.5,2.3,64.7,0.2,0.7,28.6,0.1,0.7,14.3,0.1,0.8,10.0,0.5,1.1,50.0,0.5,1.8,29.2
13,Alize Johnson,SAS,26,2.3,6.3,36.0,0.8,1.8,42.9,0.0,0.3,0.0,0.3,1.3,25.0,1.0,2.7,37.5,1.5,3.3,46.2
14,Alondes Williams,BKN,23,3.0,5.0,60.0,1.0,1.0,100,1.0,1.0,100,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0
15,Alperen Sengun,HOU,20,10.8,16.2,66.5,2.3,5.1,45.6,1.7,3.8,44.5,1.3,3.0,41.8,3.0,7.9,37.2,6.2,15.4,40.3
16,Amir Coffey,LAC,25,6.3,10.6,59.3,1.3,3.3,39.3,1.0,2.0,49.3,0.9,1.7,55.2,1.3,3.6,35.5,2.6,7.3,36.1
17,Andre Drummond,CHI,29,4.5,7.0,63.6,1.3,2.7,48.6,0.6,1.5,38.0,0.5,1.2,41.8,1.3,4.1,32.4,2.3,6.3,36.0
18,Andre Iguodala,GSW,39,4.3,7.1,59.6,2.1,4.0,53.1,1.9,3.6,51.7,1.0,2.9,34.8,1.1,2.9,39.1,2.0,6.4,31.4
19,Andrew Nembhard,IND,23,10.7,18.2,58.7,2.7,5.8,47.3,1.8,4.1,44.3,1.3,2.9,45.2,2.7,7.3,37.5,4.4,11.2,39.5
20,Andrew Wiggins,GSW,28,10.7,16.2,66.1,4.8,10.4,46.0,1.9,5.2,36.1,1.9,4.1,47.1,3.1,8.5,36.4,5.4,14.9,36.1
21,Anfernee Simons,POR,23,15.2,23.5,64.6,2.9,6.5,43.9,2.0,4.8,41.5,1.8,4.1,44.4,3.3,9.0,36.2,5.4,14.8,36.5
22,Anthony Davis,LAL,30,13.0,20.6,63.0,3.1,7.2,43.7,2.6,6.2,42.8,2.2,4.7,46.2,3.4,9.3,36.6,5.3,16.3,32.2
23,Anthony Edwards,MIN,21,14.6,23.1,62.9,3.0,7.1,42.4,2.6,6.0,43.0,1.5,3.9,37.8,4.2,11.5,36.1,5.5,14.7,37.3
24,Anthony Gill,WAS,30,3.7,5.9,63.3,1.2,2.8,42.5,0.6,0.9,62.9,0.6,1.5,37.9,0.9,2.5,35.4,1.8,4.7,38.1
25,Anthony Lamb,GSW,25,6.3,9.4,66.7,2.8,6.1,46.4,1.1,2.8,39.1,1.0,2.4,42.7,2.2,5.6,39.6,3.4,9.8,34.8
