,Player,Team,Age,Less than 5ft._FGM,Less than 5ft._FGA,Less than 5ft._FG%,5-9 ft._FGM,5-9 ft._FGA,5-9 ft._FG%,10-14 ft._FGM,10-14 ft._FGA,10-14 ft._FG%,15-19 ft._FGM,15-19 ft._FGA,15-19 ft._FG%,20-24 ft._FGM,20-24 ft._FGA,20-24 ft._FG%,25-29 ft._FGM,25-29 ft._FGA,25-29 ft._FG%
0,A.J. Lawson,DAL,22,0.5,0.9,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,20.0,0.5,0.5,83.3
1,AJ Green,MIL,23,0.1,0.2,60.0,0.0,0.0,0.0,0.0,0.1,33.3,0.2,0.3,57.1,0.4,1.0,39.1,1.0,2.2,44.6
2,AJ Griffin,ATL,19,0.7,1.1,64.6,0.4,0.8,53.2,0.7,1.3,56.0,0.3,0.6,47.1,0.6,1.5,39.3,0.8,2.2,36.6
3,Aaron Gordon,DEN,27,4.9,6.9,70.8,0.3,0.7,41.2,0.2,0.5,33.3,0.2,0.5,36.0,0.3,1.0,32.1,0.6,1.5,43.4
4,Aaron Holiday,ATL,26,0.6,1.1,50.9,0.1,0.5,22.7,0.1,0.4,31.8,0.1,0.2,45.5,0.3,0.6,43.8,0.4,0.9,41.3
5,Aaron Nesmith,IND,23,1.5,2.5,57.6,0.1,0.6,21.9,0.2,0.5,48.1,0.0,0.1,25.0,0.8,2.3,33.1,0.7,1.9,36.4
6,Aaron Wiggins,OKC,24,1.8,2.9,63.9,0.1,0.5,29.2,0.0,0.1,40.0,0.0,0.0,0.0,0.4,1.1,35.1,0.3,0.6,43.8
7,Admiral Schofield,ORL,25,0.8,1.1,70.6,0.1,0.1,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,40.9,0.3,1.1,29.4
8,Al Horford,BOS,36,1.0,1.4,67.6,0.3,0.7,47.1,0.1,0.3,28.6,0.0,0.1,28.6,1.1,2.4,46.7,1.1,2.5,42.1
9,Alec Burks,DET,31,0.7,1.2,56.9,0.4,1.0,41.7,0.5,1.0,48.0,0.4,0.9,43.5,0.9,2.0,44.4,1.1,2.9,38.9
10,Aleksej Pokusevski,OKC,21,1.8,3.1,58.8,0.2,0.8,23.1,0.1,0.3,30.0,0.1,0.2,42.9,0.4,1.3,31.7,0.8,2.0,40.3
11,Alex Caruso,CHI,29,0.9,1.4,63.2,0.0,0.3,11.8,0.0,0.1,16.7,0.1,0.1,42.9,0.6,1.4,43.2,0.3,0.9,29.4
12,Alex Len,SAC,29,0.2,0.3,75.0,0.0,0.1,0.0,0.2,0.2,100,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0
13,Alize Johnson,SAS,26,0.8,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
14,Alondes Williams,BKN,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,20,4.1,6.4,63.1,1.2,2.6,45.6,0.3,0.5,51.6,0.1,0.2,38.5,0.0,0.2,22.2,0.2,0.6,34.4
16,Amir Coffey,LAC,25,0.7,1.2,55.3,0.2,0.8,27.6,0.2,0.4,43.8,0.1,0.3,30.0,0.2,0.6,25.0,0.1,0.4,28.6
17,Andre Drummond,CHI,29,2.5,3.8,64.8,0.2,0.4,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Andre Iguodala,GSW,39,0.7,0.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,50.0
19,Andrew Nembhard,IND,23,0.9,1.3,68.4,0.4,1.0,43.9,0.3,1.1,31.1,0.2,0.6,34.4,0.4,1.4,30.9,0.8,2.1,36.4
20,Andrew Wiggins,GSW,28,2.4,3.4,69.3,1.0,2.3,42.4,0.4,0.9,37.1,0.5,1.2,40.0,0.8,2.2,37.3,1.7,4.2,41.6
21,Anfernee Simons,POR,23,2.2,3.5,62.9,0.5,1.4,38.5,0.7,1.2,54.3,0.6,1.3,47.3,0.9,2.2,40.6,2.5,6.8,36.0
22,Anthony Davis,LAL,29,6.3,8.9,70.6,1.4,3.0,46.6,0.7,1.7,42.4,0.7,1.7,43.3,0.3,0.8,31.3,0.3,1.2,27.7
23,Anthony Edwards,MIN,21,4.4,7.2,60.3,0.6,1.5,40.6,0.3,1.1,30.1,0.6,1.5,41.1,1.2,3.0,39.2,1.8,4.9,36.1
