,Player,Team,Age,Less than 5ft._FGM,Less than 5ft._FGA,Less than 5ft._FG%,5-9 ft._FGM,5-9 ft._FGA,5-9 ft._FG%,10-14 ft._FGM,10-14 ft._FGA,10-14 ft._FG%,15-19 ft._FGM,15-19 ft._FGA,15-19 ft._FG%,20-24 ft._FGM,20-24 ft._FGA,20-24 ft._FG%,25-29 ft._FGM,25-29 ft._FGA,25-29 ft._FG%
0,A.J. Lawson,DAL,22,0.5,0.9,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,20.0,0.5,0.5,83.3
1,AJ Green,MIL,23,0.1,0.2,60.0,0.0,0.0,0.0,0.0,0.1,33.3,0.2,0.3,50.0,0.4,1.0,37.5,0.9,2.1,43.9
2,AJ Griffin,ATL,19,0.7,1.1,63.5,0.5,0.9,53.4,0.7,1.2,54.9,0.2,0.5,45.7,0.6,1.6,39.0,0.7,2.1,36.2
3,Aaron Gordon,DEN,27,4.8,6.7,71.3,0.3,0.7,37.0,0.2,0.5,34.5,0.1,0.4,33.3,0.3,1.1,29.9,0.6,1.5,41.3
4,Aaron Holiday,ATL,26,0.5,1.1,50.8,0.1,0.4,21.7,0.2,0.5,36.0,0.1,0.2,45.5,0.2,0.6,42.4,0.4,0.9,42.9
5,Aaron Nesmith,IND,23,1.4,2.5,56.8,0.2,0.6,30.8,0.3,0.5,51.5,0.0,0.1,22.2,0.8,2.4,35.2,0.7,2.0,33.6
6,Aaron Wiggins,OKC,24,1.7,2.7,61.4,0.1,0.5,27.3,0.0,0.1,40.0,0.0,0.0,0.0,0.3,1.0,32.8,0.3,0.6,41.5
7,Admiral Schofield,ORL,25,0.7,1.0,70.6,0.1,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,37.5,0.4,1.2,34.2
8,Al Horford,BOS,36,0.9,1.4,64.6,0.3,0.7,48.8,0.1,0.3,26.7,0.1,0.2,30.0,1.1,2.5,45.9,1.1,2.6,43.2
9,Alec Burks,DET,31,0.6,1.2,55.9,0.4,0.9,41.7,0.5,1.0,47.1,0.4,0.9,42.6,0.9,2.0,44.6,1.1,2.9,38.7
10,Aleksej Pokusevski,OKC,21,1.8,3.0,58.8,0.2,0.8,22.2,0.1,0.3,30.0,0.1,0.2,42.9,0.4,1.3,31.7,0.8,2.0,39.7
11,Alex Caruso,CHI,29,1.0,1.5,64.8,0.0,0.3,11.8,0.1,0.2,30.0,0.1,0.1,42.9,0.6,1.4,42.2,0.3,0.9,29.1
12,Alex Len,SAC,29,0.2,0.3,66.7,0.0,0.1,0.0,0.2,0.2,100.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0
13,Alize Johnson,SAS,26,0.8,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
14,Alondes Williams,BKN,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,20,4.1,6.4,63.4,1.2,2.6,44.8,0.3,0.5,52.8,0.1,0.2,38.5,0.0,0.2,27.3,0.2,0.6,33.3
16,Amir Coffey,LAC,25,0.6,1.1,54.2,0.2,0.7,27.6,0.2,0.4,43.8,0.1,0.3,30.0,0.1,0.6,25.0,0.1,0.3,28.6
17,Andre Drummond,CHI,29,2.4,3.6,64.9,0.2,0.5,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Andre Iguodala,GSW,39,0.6,0.6,100.0,0.1,0.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.9,14.3
19,Andrew Nembhard,IND,23,1.2,1.8,68.3,0.4,1.0,44.8,0.4,1.2,34.6,0.2,0.6,39.0,0.5,1.4,33.3,0.8,2.2,36.7
20,Andrew Wiggins,GSW,28,2.4,3.4,69.3,1.0,2.3,42.4,0.4,0.9,37.1,0.5,1.2,40.0,0.8,2.2,37.3,1.7,4.2,41.6
21,Anfernee Simons,POR,23,2.2,3.5,61.9,0.5,1.4,38.8,0.7,1.3,54.4,0.6,1.3,48.7,0.8,2.2,38.8,2.5,6.9,36.4
22,Anthony Davis,LAL,30,6.1,8.4,72.0,1.5,3.0,51.0,0.8,1.9,39.8,0.7,1.8,38.6,0.3,0.8,36.6,0.3,1.1,27.3
23,Anthony Edwards,MIN,21,4.4,7.1,61.4,0.6,1.5,38.5,0.4,1.2,32.2,0.6,1.4,40.4,1.1,3.0,36.9,1.8,4.8,37.3
24,Anthony Gill,WAS,30,0.9,1.1,81.0,0.1,0.4,38.9,0.1,0.2,42.9,0.0,0.0,0.0,0.1,0.4,18.8,0.0,0.1,0.0
25,Anthony Lamb,GSW,25,0.9,1.2,78.3,0.2,0.4,40.0,0.0,0.0,0.0,0.0,0.1,40.0,0.6,1.5,36.0,0.8,1.9,39.8
26,Austin Reaves,LAL,24,1.5,2.0,74.3,0.5,0.8,54.2,0.5,0.9,51.9,0.2,0.4,42.9,0.5,1.2,39.7,0.8,2.0,38.8
27,Austin Rivers,MIN,30,0.7,1.2,60.3,0.2,0.4,47.4,0.0,0.1,25.0,0.0,0.0,0.0,0.8,1.9,39.8,0.1,0.5,16.7
