name,minutes,OUT,GTD,team
Nikola Jokic,35.0,0,0,Nuggets
Jamal Murray,35.0,0,1,Nuggets
K. Caldwell-Pope,34.0,0,0,Nuggets
Aaron Gordon,31.0,0,0,Nuggets
Michael Porter,30.0,0,0,Nuggets
Bruce Brown,28.0,0,0,Nuggets
Christian Braun,18.0,0,0,Nuggets
Jeff Green,17.0,0,0,Nuggets
Vlatko Cancar,10.0,0,0,Nuggets
DeAndre Jordan,2.0,0,0,Nuggets
Ish Smith,0.0,0,0,Nuggets
Zeke Nnaji,0.0,0,1,Nuggets
Jack White,0.0,0,0,Nuggets
Bones Hyland,0.0,0,0,Nuggets
Davon Reed,0.0,0,0,Nuggets
Peyton Watson,0.0,0,0,Nuggets
C. Gillespie,0.0,0,1,Nuggets
Paolo Banchero,35.0,0,0,Magic
Franz Wagner,32.0,0,0,Magic
Wendell Carter,31.0,0,0,Magic
Markelle Fultz,30.0,0,0,Magic
Gary Harris,25.0,0,1,Magic
Cole Anthony,22.0,0,0,Magic
Bol Bol,19.0,0,0,Magic
Moritz Wagner,18.0,0,0,Magic
Jalen Suggs,16.0,0,0,Magic
Jonathan Isaac,12.0,0,0,Magic
Terrence Ross,0.0,0,0,Magic
Caleb Houstan,0.0,0,0,Magic
Kevon Harris,0.0,0,0,Magic
Admiral Schofield,0.0,0,0,Magic
R.J. Hampton,0.0,0,0,Magic
Mo Bamba,0.0,1,0,Magic
Deandre Ayton,34.0,0,0,Suns
Chris Paul,33.0,0,0,Suns
Dario Saric,30.0,0,0,Suns
Damion Lee,29.0,0,0,Suns
Torrey Craig,28.0,0,0,Suns
Ish Wainright,27.0,0,0,Suns
Josh Okogie,22.0,0,0,Suns
Saben Lee,21.0,0,0,Suns
Jock Landale,16.0,0,0,Suns
Bismack Biyombo,0.0,0,0,Suns
Devin Booker,0.0,1,0,Suns
Landry Shamet,0.0,1,0,Suns
Kevin Durant,0.0,1,0,Suns
Cameron Payne,0.0,1,0,Suns
T.J. Warren,0.0,1,0,Suns
Dejounte Murray,36.0,0,0,Hawks
Trae Young,35.0,0,0,Hawks
De'Andre Hunter,33.0,0,0,Hawks
John Collins,29.0,0,0,Hawks
Clint Capela,26.0,0,0,Hawks
Bogdan Bogdanovic,27.0,0,0,Hawks
Onyeka Okongwu,20.0,0,0,Hawks
AJ Griffin,18.0,0,0,Hawks
Jalen Johnson,16.0,0,0,Hawks
Justin Holiday,0.0,0,0,Hawks
Aaron Holiday,0.0,0,0,Hawks
Trent Forrest,0.0,0,0,Hawks
Frank Kaminsky,0.0,0,0,Hawks
Vit Krejci,0.0,0,0,Hawks
Derrick Favors,0.0,0,0,Hawks
DeMar DeRozan,36.0,0,1,Bulls
Zach LaVine,36.0,0,0,Bulls
Nikola Vucevic,35.0,0,0,Bulls
P. Williams,28.0,0,1,Bulls
Ayo Dosunmu,27.0,0,0,Bulls
Alex Caruso,26.0,0,1,Bulls
Coby White,20.0,0,0,Bulls
Derrick Jones,15.0,0,0,Bulls
Goran Dragic,13.0,0,0,Bulls
Andre Drummond,12.0,0,0,Bulls
Tony Bradley,0.0,0,0,Bulls
Dalen Terry,0.0,0,0,Bulls
Lonzo Ball,0.0,1,0,Bulls
Javonte Green,0.0,1,0,Bulls
Nic Claxton,33.0,0,0,Nets
Spencer Dinwiddie,32.0,0,0,Nets
Royce O'Neale,28.0,0,0,Nets
Ben Simmons,27.0,0,0,Nets
Joe Harris,20.0,0,0,Nets
Cam Thomas,34.0,0,0,Nets
Dorian Finney-Smith,27.0,0,0,Nets
Yuta Watanabe,15.0,0,1,Nets
Edmond Sumner,14.0,0,0,Nets
Patty Mills,10.0,0,0,Nets
Day'Ron Sharpe,0.0,0,1,Nets
Dru Smith,0.0,0,0,Nets
Seth Curry,0.0,1,0,Nets
Jae Crowder,0.0,1,0,Nets
Mikal Bridges,0.0,1,0,Nets
Cameron Johnson,0.0,1,0,Nets
G. Antetokounmpo,36.0,0,1,Bucks
Jrue Holiday,34.0,0,0,Bucks
Brook Lopez,32.0,0,1,Bucks
Grayson Allen,28.0,0,0,Bucks
Pat Connaughton,28.0,0,0,Bucks
Khris Middleton,24.0,0,0,Bucks
Wesley Matthews,22.0,0,0,Bucks
Jevon Carter,17.0,0,0,Bucks
George Hill,11.0,0,0,Bucks
MarJon Beauchamp,8.0,0,0,Bucks
Jordan Nwora,0.0,0,0,Bucks
T. Antetokounmpo,0.0,0,0,Bucks
Sandro Mamukelashvili,0.0,0,0,Bucks
Bobby Portis,0.0,1,0,Bucks
Joe Ingles,0.0,1,0,Bucks
Serge Ibaka,0.0,1,0,Bucks
Anthony Davis,36.0,0,1,Lakers
LeBron James,35.0,0,1,Lakers
Dennis Schroder,34.0,0,0,Lakers
Rui Hachimura,28.0,0,0,Lakers
Patrick Beverley,26.0,0,0,Lakers
Troy Brown,22.0,0,0,Lakers
Austin Reaves,21.0,0,0,Lakers
Lonnie Walker,20.0,0,0,Lakers
Thomas Bryant,12.0,0,0,Lakers
Wenyen Gabriel,6.0,0,0,Lakers
Cole Swider,0.0,0,0,Lakers
Max Christie,0.0,0,0,Lakers
Malik Beasley,0.0,0,1,Lakers
D. Russell,0.0,0,1,Lakers
J. Vanderbilt,0.0,0,1,Lakers
