Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1,Precious Achiuwa,C,23,TOR,51,1054,14.3,.541,.258,.324,9.2,23.6,15.9,6.5,1.3,2.7,11.9,19.1,,0.5,1.2,1.8,.080,,-2.0,-0.9,-2.9,-0.2
2,Steven Adams,C,29,MEM,42,1133,17.5,.564,.004,.490,20.1,25.3,22.7,11.2,1.5,3.7,19.8,14.6,,1.3,2.1,3.4,.144,,-0.3,0.9,0.5,0.7
3,Bam Adebayo,C,25,MIA,72,2535,20.0,.590,.011,.363,7.8,23.9,15.6,16.2,1.7,2.4,12.8,25.4,,3.3,3.7,7.0,.133,,0.6,0.8,1.4,2.2
4,Ochai Agbaji,SG,22,UTA,55,1079,9.6,.581,.629,.184,4.2,7.0,5.6,6.6,0.6,1.0,8.8,14.5,,1.1,0.4,1.4,.064,,-1.4,-1.4,-2.8,-0.2
5,Santi Aldama,PF,22,MEM,75,1651,14.0,.595,.508,.276,5.3,17.7,11.5,7.4,1.3,2.6,9.1,15.9,,2.2,2.4,4.6,.133,,-0.3,0.8,0.5,1.0
6,Nickeil Alexander-Walker,SG,24,TOT,56,836,11.5,.562,.529,.216,1.9,10.9,6.4,16.9,1.7,1.9,14.8,18.0,,0.3,0.7,1.0,.059,,-1.4,0.4,-1.0,0.2
6,Nickeil Alexander-Walker,SG,24,UTA,36,528,13.0,.609,.512,.229,1.7,10.3,6.1,20.0,2.2,2.2,19.4,18.4,,0.3,0.5,0.8,.074,,-0.6,1.1,0.4,0.3
6,Nickeil Alexander-Walker,SG,24,MIN,20,308,8.9,.486,.556,.194,2.2,11.8,7.1,11.6,0.9,1.4,6.4,17.4,,0.0,0.3,0.2,.033,,-2.8,-0.8,-3.5,-0.1
7,Grayson Allen,SG,27,MIL,72,1972,12.3,.612,.657,.226,3.4,8.9,6.3,10.9,1.5,0.6,10.5,14.6,,2.9,2.3,5.1,.125,,-0.6,0.7,0.1,1.0
8,Jarrett Allen,C,24,CLE,66,2174,20.0,.672,.015,.361,11.7,23.7,17.7,7.5,1.2,3.4,11.4,16.5,,5.5,3.9,9.4,.207,,1.4,1.0,2.5,2.4
9,Jose Alvarado,PG,24,NOP,61,1310,11.9,.525,.505,.164,2.4,9.8,6.1,19.8,2.5,0.7,13.4,19.8,,0.1,1.7,1.8,.067,,-2.0,0.7,-1.2,0.3
10,Kyle Anderson,PF,29,MIN,66,1863,15.0,.587,.212,.288,3.9,17.3,10.7,22.5,1.9,2.8,15.8,14.5,,2.4,2.5,4.9,.126,,0.3,2.3,2.6,2.2
11,Giannis Antetokounmpo,PF,28,MIL,62,1991,29.2,.606,.135,.598,7.5,29.8,19.1,32.9,1.2,2.1,13.0,38.7,,4.9,3.7,8.6,.208,,5.9,2.7,8.6,5.4
12,Thanasis Antetokounmpo,SF,30,MIL,33,138,3.4,.387,.185,.444,7.9,15.2,11.7,7.1,1.0,1.8,25.4,13.2,,-0.3,0.2,-0.1,-0.034,,-8.4,-0.5,-8.8,-0.2
13,Cole Anthony,PG,22,ORL,58,1495,15.9,.570,.338,.279,3.3,17.5,10.4,22.5,1.2,2.0,11.5,21.4,,2.0,1.6,3.6,.117,,0.6,0.5,1.1,1.2
14,OG Anunoby,SF,25,TOR,64,2286,14.7,.593,.414,.198,4.3,12.4,8.0,7.8,2.6,1.9,12.5,19.5,,1.8,2.7,4.5,.095,,-0.3,0.7,0.4,1.4
15,Ryan Arcidiacono,PG,28,TOT,20,172,2.7,.351,.622,.000,0.0,10.0,5.0,17.0,1.4,0.0,15.9,11.1,,-0.2,0.1,-0.1,-0.040,,-7.3,-1.4,-8.8,-0.3
15,Ryan Arcidiacono,PG,28,NYK,11,26,3.1,.300,.600,.000,0.0,16.9,8.5,9.4,3.8,0.0,16.7,9.9,,0.0,0.0,0.0,-0.010,,-9.0,3.9,-5.1,0.0
15,Ryan Arcidiacono,PG,28,POR,9,146,2.7,.359,.625,.000,0.0,8.7,4.3,18.4,1.0,0.0,15.8,11.3,,-0.2,0.0,-0.1,-0.045,,-7.0,-2.4,-9.4,-0.3
16,Deni Avdija,SF,22,WAS,76,2020,11.2,.535,.401,.285,4.3,22.0,13.5,14.0,1.6,1.2,15.9,16.7,,0.0,2.3,2.3,.055,,-2.8,0.5,-2.3,-0.1
17,Deandre Ayton,C,24,PHO,65,1975,19.8,.613,.028,.220,9.1,27.9,18.3,9.2,0.9,2.3,10.9,23.1,,3.0,2.9,5.9,.144,,0.9,0.0,0.8,1.4
18,Udoka Azubuike,C,23,UTA,32,256,16.7,.758,.000,.302,10.7,27.2,19.0,5.0,1.1,3.9,21.0,12.4,,0.3,0.3,0.7,.128,,-1.3,0.6,-0.7,0.1
19,Marvin Bagley III,C,23,DET,40,949,17.3,.589,.169,.280,10.5,19.7,15.0,6.0,0.9,2.7,9.4,20.0,,1.3,0.6,2.0,.100,,0.4,-1.3,-0.9,0.3
20,Patrick Baldwin Jr.,SF,20,GSW,28,212,11.0,.550,.772,.059,0.5,18.0,9.3,6.1,1.3,1.7,9.6,22.7,,-0.1,0.2,0.1,.021,,-0.7,-1.3,-2.0,0.0
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
21,LaMelo Ball,PG,21,CHO,36,1268,17.9,.541,.531,.169,3.4,16.3,9.7,38.5,1.7,0.8,14.3,30.0,,0.6,1.2,1.8,.067,,3.2,-0.8,2.4,1.4
22,Mo Bamba,C,24,TOT,47,762,15.8,.605,.517,.261,8.3,24.1,16.3,8.7,0.8,5.2,10.2,16.6,,1.1,1.1,2.2,.141,,-0.2,0.8,0.6,0.5
22,Mo Bamba,C,24,ORL,40,681,16.3,.613,.505,.238,7.8,22.8,15.3,9.0,0.9,5.4,8.5,16.3,,1.2,1.0,2.1,.151,,0.4,0.9,1.3,0.6
22,Mo Bamba,C,24,LAL,7,81,11.1,.537,.625,.458,12.3,35.7,24.4,6.5,0.6,4.2,21.7,19.2,,-0.1,0.1,0.1,.050,,-5.2,-0.2,-5.4,-0.1
23,Paolo Banchero,PF,20,ORL,71,2392,15.0,.529,.254,.477,3.8,19.2,11.5,17.1,1.2,1.6,12.7,27.5,,-0.2,2.6,2.4,.049,,-0.7,-0.7,-1.4,0.3
24,Desmond Bane,SG,24,MEM,55,1731,19.2,.606,.428,.224,2.4,14.2,8.3,20.8,1.5,1.1,11.2,26.2,,3.2,2.3,5.5,.152,,3.3,0.3,3.6,2.4
25,Dalano Banton,PG,23,TOR,28,252,13.6,.494,.407,.168,3.8,13.6,8.3,16.8,2.5,4.6,11.6,23.2,,-0.1,0.4,0.3,.050,,-2.1,0.8,-1.4,0.0
26,Dominick Barlow,SF,19,SAS,24,310,10.8,.553,.063,.270,11.2,14.0,12.6,7.0,1.1,4.0,15.6,11.2,,0.2,0.2,0.4,.061,,-4.5,-0.8,-5.3,-0.3
27,Harrison Barnes,PF,30,SAC,78,2554,13.9,.629,.449,.533,3.7,12.3,8.0,6.4,1.0,0.3,8.3,17.0,,4.7,1.4,6.1,.115,,0.4,-1.5,-1.2,0.6
28,Scottie Barnes,PF,21,TOR,73,2558,16.0,.529,.217,.245,7.4,15.3,11.0,20.1,1.5,2.2,11.9,20.4,,2.5,2.6,5.1,.096,,0.8,-0.1,0.7,1.8
29,RJ Barrett,SG,22,NYK,71,2402,12.9,.532,.333,.333,2.7,13.8,8.2,12.2,0.6,0.6,11.0,26.2,,0.4,1.8,2.2,.044,,-1.2,-1.8,-3.1,-0.6
30,Will Barton,SG,32,TOT,52,928,9.3,.482,.491,.142,1.6,13.7,7.8,15.6,1.3,1.1,12.0,18.8,,-0.6,0.7,0.2,.008,,-2.4,-0.7,-3.2,-0.3
30,Will Barton,SG,32,WAS,40,782,10.0,.504,.484,.158,1.5,13.9,7.9,16.6,1.1,1.1,12.9,19.5,,-0.4,0.6,0.2,.014,,-1.7,-0.9,-2.7,-0.1
30,Will Barton,SG,32,TOR,12,146,5.0,.345,.532,.043,2.2,12.6,7.0,10.6,2.4,1.3,5.9,14.8,,-0.2,0.2,-0.1,-0.023,,-6.0,0.3,-5.7,-0.1
31,Charles Bassey,C,22,SAS,35,508,18.8,.658,.059,.274,15.6,26.6,20.8,12.9,1.5,5.4,21.3,15.7,,0.7,0.6,1.3,.122,,-0.7,1.2,0.5,0.3
32,Keita Bates-Diop,SF,27,SAS,63,1351,14.2,.607,.301,.318,4.8,14.1,9.3,9.0,1.5,1.1,10.0,16.0,,1.8,0.6,2.3,.083,,-0.1,-0.9,-1.0,0.3
33,Nicolas Batum,PF,34,LAC,75,1634,11.1,.599,.826,.125,4.2,15.6,9.9,9.5,1.5,2.2,11.4,11.7,,1.6,1.8,3.4,.101,,-0.8,1.2,0.5,1.0
34,Darius Bazley,PF,22,TOT,41,582,12.7,.522,.295,.404,5.4,18.5,11.8,8.1,1.7,4.9,11.3,15.8,,0.1,0.8,0.9,.075,,-2.0,0.9,-1.1,0.1
34,Darius Bazley,PF,22,OKC,36,555,12.9,.525,.285,.411,5.5,18.4,11.8,7.6,1.6,4.8,10.5,15.7,,0.1,0.8,0.9,.079,,-1.8,0.8,-1.1,0.1
34,Darius Bazley,PF,22,PHO,5,27,9.7,.450,.500,.250,4.0,21.0,12.3,19.5,3.6,6.7,25.3,18.8,,-0.1,0.1,0.0,.008,,-6.9,4.5,-2.4,0.0
35,Bradley Beal,SG,29,WAS,50,1673,19.8,.593,.249,.260,2.9,9.9,6.6,26.7,1.3,1.7,12.9,29.3,,2.2,1.3,3.5,.100,,2.9,-1.2,1.7,1.6
36,Malik Beasley,SG,26,TOT,77,2006,10.7,.527,.702,.062,1.8,12.7,7.3,8.4,1.5,0.3,8.8,21.3,,-0.4,1.5,1.1,.026,,-1.1,-1.1,-2.2,-0.1
