Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1,Precious Achiuwa,C,23,TOR,47,1004,14.3,.542,.250,.341,9.0,23.7,15.8,6.5,1.3,2.6,11.7,18.8,,0.6,1.1,1.7,.081,,-2.0,-0.8,-2.8,-0.2
2,Steven Adams,C,29,MEM,42,1133,17.6,.564,.004,.490,19.9,25.2,22.6,11.3,1.5,3.7,19.8,14.6,,1.3,2.1,3.4,.145,,-0.3,0.9,0.6,0.7
3,Bam Adebayo,C,25,MIA,68,2389,20.4,.595,.012,.366,7.8,23.9,15.5,16.4,1.7,2.5,12.8,25.5,,3.4,3.7,7.0,.142,,0.9,0.9,1.8,2.3
4,Ochai Agbaji,SG,22,UTA,48,878,9.6,.598,.641,.155,4.1,7.0,5.6,5.6,0.7,0.8,8.1,13.6,,1.0,0.3,1.3,.070,,-1.3,-1.3,-2.6,-0.1
5,Santi Aldama,PF,22,MEM,68,1495,14.2,.588,.515,.269,5.4,17.5,11.4,7.6,1.2,2.7,8.5,16.2,,2.0,2.2,4.2,.135,,-0.2,0.9,0.6,1.0
6,Nickeil Alexander-Walker,SG,24,TOT,50,778,12.1,.568,.523,.218,1.9,10.7,6.4,17.5,1.8,2.1,15.3,18.4,,0.3,0.7,1.0,.063,,-1.1,0.4,-0.7,0.3
6,Nickeil Alexander-Walker,SG,24,UTA,36,528,13.1,.609,.512,.229,1.7,10.4,6.1,20.0,2.2,2.2,19.4,18.4,,0.3,0.5,0.8,.076,,-0.6,1.1,0.5,0.3
6,Nickeil Alexander-Walker,SG,24,MIN,14,250,9.9,.490,.543,.196,2.3,11.5,7.0,12.3,1.1,1.8,6.5,18.3,,0.0,0.2,0.2,.036,,-2.3,-0.8,-3.1,-0.1
7,Grayson Allen,SG,27,MIL,65,1809,12.2,.612,.652,.225,3.4,8.8,6.2,11.1,1.4,0.5,10.8,14.7,,2.6,2.1,4.7,.124,,-0.6,0.6,0.0,0.9
8,Jarrett Allen,C,24,CLE,62,2048,19.8,.673,.016,.353,11.1,23.9,17.5,7.5,1.3,3.4,11.6,16.3,,5.0,3.7,8.7,.204,,1.3,1.1,2.3,2.2
9,Jose Alvarado,PG,24,NOP,61,1310,11.9,.525,.505,.164,2.4,9.8,6.1,20.0,2.5,0.7,13.4,19.8,,0.2,1.5,1.7,.061,,-1.9,0.6,-1.4,0.2
10,Kyle Anderson,PF,29,MIN,60,1665,14.7,.584,.207,.313,3.6,17.5,10.7,21.8,1.9,2.8,15.7,14.4,,2.1,2.2,4.3,.123,,0.1,2.2,2.3,1.8
11,Giannis Antetokounmpo,PF,28,MIL,56,1820,28.6,.602,.137,.619,7.5,29.5,18.9,32.3,1.1,2.0,13.1,38.7,,4.4,3.4,7.7,.204,,5.6,2.6,8.2,4.7
12,Thanasis Antetokounmpo,SF,30,MIL,28,112,2.0,.313,.227,.364,8.7,16.9,13.0,4.4,0.9,2.2,23.9,12.6,,-0.3,0.2,-0.1,-0.054,,-9.2,-1.0,-10.1,-0.2
13,Cole Anthony,PG,22,ORL,52,1325,15.7,.562,.342,.297,3.3,17.2,10.2,22.9,1.2,2.0,11.4,21.3,,1.7,1.3,3.1,.111,,0.6,0.4,1.0,1.0
14,OG Anunoby,SF,25,TOR,58,2072,14.4,.586,.401,.209,4.2,12.5,8.0,7.7,2.7,2.0,13.1,19.6,,1.3,2.4,3.7,.085,,-0.6,0.7,0.1,1.1
15,Ryan Arcidiacono,PG,28,TOT,16,87,5.0,.500,.588,.000,0.0,14.2,7.2,13.4,1.7,0.0,19.0,10.5,,0.0,0.1,0.0,.016,,-6.8,-0.5,-7.3,-0.1
15,Ryan Arcidiacono,PG,28,NYK,11,26,3.1,.300,.600,.000,0.0,16.8,8.4,9.4,3.8,0.0,16.7,9.9,,0.0,0.0,0.0,-0.010,,-9.0,3.8,-5.2,0.0
15,Ryan Arcidiacono,PG,28,POR,5,61,5.9,.583,.583,.000,0.0,13.2,6.6,15.1,0.8,0.0,20.0,10.7,,0.0,0.0,0.0,.027,,-5.9,-2.4,-8.3,-0.1
16,Deni Avdija,SF,22,WAS,69,1784,11.0,.524,.405,.291,4.7,21.5,13.5,13.1,1.6,1.3,14.7,16.1,,0.1,2.1,2.2,.058,,-2.9,0.5,-2.4,-0.2
