Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1,Precious Achiuwa,C,23,TOR,45,981,14.3,.541,.248,.340,9.1,23.6,15.9,6.3,1.3,2.6,11.7,18.9,,0.5,1.1,1.6,.080,,-2.0,-0.9,-2.9,-0.2
2,Steven Adams,C,29,MEM,42,1133,17.6,.564,.004,.490,19.9,25.2,22.5,11.3,1.5,3.7,19.8,14.5,,1.3,2.1,3.4,.145,,-0.3,0.9,0.6,0.7
3,Bam Adebayo,C,25,MIA,66,2316,20.4,.594,.012,.360,7.8,24.0,15.6,16.2,1.7,2.5,12.7,25.5,,3.3,3.6,6.8,.141,,0.8,0.9,1.7,2.2
4,Ochai Agbaji,SG,22,UTA,46,808,8.6,.576,.632,.150,4.4,6.9,5.7,5.1,0.7,0.7,8.6,13.3,,0.7,0.3,1.0,.056,,-1.9,-1.3,-3.3,-0.3
5,Santi Aldama,PF,22,MEM,65,1432,14.0,.590,.519,.263,4.8,17.3,11.1,7.7,1.3,2.7,8.8,16.1,,1.8,2.2,4.0,.133,,-0.4,1.0,0.6,0.9
6,Nickeil Alexander-Walker,SG,24,TOT,47,714,12.4,.576,.531,.199,1.9,11.2,6.6,18.2,1.9,2.2,16.3,18.4,,0.3,0.7,1.0,.067,,-1.0,0.6,-0.4,0.3
6,Nickeil Alexander-Walker,SG,24,UTA,36,528,13.1,.609,.512,.229,1.7,10.4,6.1,20.1,2.2,2.2,19.4,18.4,,0.3,0.5,0.8,.076,,-0.6,1.0,0.5,0.3
6,Nickeil Alexander-Walker,SG,24,MIN,11,186,10.2,.494,.577,.127,2.5,13.5,8.1,13.0,1.0,2.4,7.4,18.6,,0.0,0.2,0.2,.039,,-2.1,-0.6,-2.8,0.0
7,Grayson Allen,SG,27,MIL,64,1783,12.5,.618,.650,.228,3.5,8.8,6.2,11.3,1.4,0.5,10.9,14.7,,2.7,2.0,4.7,.128,,-0.4,0.6,0.2,1.0
8,Jarrett Allen,C,24,CLE,62,2048,19.8,.673,.016,.353,11.1,23.9,17.5,7.6,1.3,3.4,11.6,16.3,,5.0,3.6,8.7,.203,,1.3,1.0,2.3,2.2
