name,minutes,OUT,GTD,team
Kawhi Leonard,36.0,0,0,Clippers
Paul George,30.0,0,0,Clippers
Ivica Zubac,30.0,0,0,Clippers
Terance Mann,30.0,0,0,Clippers
Marcus Morris,25.0,0,0,Clippers
Norman Powell,26.0,0,0,Clippers
Nicolas Batum,24.0,0,0,Clippers
Robert Covington,16.0,0,0,Clippers
Reggie Jackson,15.0,0,0,Clippers
Amir Coffey,8.0,0,0,Clippers
Moussa Diabate,0.0,0,0,Clippers
John Wall,0.0,1,0,Clippers
Luke Kennard,0.0,1,0,Clippers
Luka Doncic,38.0,0,0,Mavericks
Spencer Dinwiddie,36.0,0,0,Mavericks
Tim Hardaway,33.0,0,0,Mavericks
Dwight Powell,30.0,0,0,Mavericks
Dorian Finney-Smith,30.0,0,0,Mavericks
Reggie Bullock,33.0,0,0,Mavericks
Josh Green,25.0,0,0,Mavericks
Davis Bertans,10.0,0,0,Mavericks
Frank Ntilikina,3.0,0,0,Mavericks
Jaden Hardy,3.0,0,0,Mavericks
JaVale McGee,1.0,0,0,Mavericks
Theo Pinson,0.0,0,0,Mavericks
McKinley Wright,0.0,0,1,Mavericks
A.J. Lawson,0.0,0,0,Mavericks
Christian Wood,0.0,1,0,Mavericks
Maxi Kleber,0.0,1,0,Mavericks
Trey Murphy,36.0,0,0,Pelicans
CJ McCollum,35.0,0,0,Pelicans
Dyson Daniels,33.0,0,0,Pelicans
Jonas Valanciunas,28.0,0,0,Pelicans
Herbert Jones,24.0,0,0,Pelicans
Jose Alvarado,30.0,0,0,Pelicans
Larry Nance,28.0,0,0,Pelicans
Jaxson Hayes,17.0,0,0,Pelicans
Devonte' Graham,14.0,0,0,Pelicans
Willy Hernangomez,1.0,0,0,Pelicans
Garrett Temple,1.0,0,0,Pelicans
Kira Lewis,1.0,0,0,Pelicans
Naji Marshall,0.0,0,1,Pelicans
Zion Williamson,0.0,1,0,Pelicans
Brandon Ingram,0.0,1,0,Pelicans
E.J. Liddell,0.0,1,0,Pelicans
Bam Adebayo,34.0,0,0,Heat
Jimmy Butler,33.0,0,0,Heat
Tyler Herro,32.0,0,0,Heat
Kyle Lowry,31.0,0,0,Heat
Caleb Martin,27.0,0,0,Heat
Victor Oladipo,29.0,0,0,Heat
Gabe Vincent,20.0,0,0,Heat
Max Strus,20.0,0,0,Heat
Orlando Robinson,14.0,0,0,Heat
Jamal Cain,0.0,0,0,Heat
Haywood Highsmith,0.0,0,0,Heat
Dewayne Dedmon,0.0,0,0,Heat
Udonis Haslem,0.0,0,1,Heat
Duncan Robinson,0.0,1,0,Heat
Omer Yurtseven,0.0,1,0,Heat
Nikola Jovic,0.0,1,0,Heat
Jalen Brunson,37.0,0,0,Knicks
RJ Barrett,37.0,0,0,Knicks
Julius Randle,34.0,0,0,Knicks
Quentin Grimes,30.0,0,0,Knicks
Jericho Sims,28.0,0,0,Knicks
Immanuel Quickley,32.0,0,0,Knicks
Isaiah Hartenstein,17.0,0,0,Knicks
Obi Toppin,15.0,0,0,Knicks
Miles McBride,11.0,0,0,Knicks
Evan Fournier,0.0,0,0,Knicks
Ryan Arcidiacono,0.0,0,0,Knicks
