name,minutes,OUT,GTD,team
CJ McCollum,36.0,0,0,Pelicans
Naji Marshall,33.0,0,0,Pelicans
Trey Murphy,30.0,0,0,Pelicans
Herbert Jones,29.0,0,1,Pelicans
Jonas Valanciunas,28.0,0,0,Pelicans
Larry Nance,20.0,0,0,Pelicans
Jose Alvarado,18.0,0,0,Pelicans
Willy Hernangomez,13.0,0,0,Pelicans
Jaxson Hayes,13.0,0,0,Pelicans
Devonte' Graham,10.0,0,0,Pelicans
Dyson Daniels,10.0,0,0,Pelicans
Garrett Temple,0.0,0,0,Pelicans
Kira Lewis,0.0,0,0,Pelicans
Dereon Seabron,0.0,0,0,Pelicans
Zion Williamson,0.0,1,0,Pelicans
Brandon Ingram,0.0,1,0,Pelicans
E.J. Liddell,0.0,1,0,Pelicans
Kyle Kuzma,35.0,0,0,Wizards
Kristaps Porzingis,33.0,0,0,Wizards
Daniel Gafford,27.0,0,0,Wizards
Monte Morris,27.0,0,0,Wizards
Corey Kispert,25.0,0,0,Wizards
Deni Avdija,27.0,0,0,Wizards
Rui Hachimura,25.0,0,0,Wizards
Delon Wright,19.0,0,0,Wizards
Jordan Goodwin,17.0,0,0,Wizards
Will Barton,5.0,0,0,Wizards
Taj Gibson,0.0,0,0,Wizards
Vernon Carey,0.0,0,0,Wizards
Anthony Gill,0.0,0,0,Wizards
Bradley Beal,0.0,1,0,Wizards
DeMar DeRozan,36.0,0,0,Bulls
Zach LaVine,36.0,0,0,Bulls
Patrick Williams,35.0,0,0,Bulls
Nikola Vucevic,34.0,0,0,Bulls
Ayo Dosunmu,32.0,0,0,Bulls
Alex Caruso,18.0,0,0,Bulls
Coby White,15.0,0,0,Bulls
Derrick Jones,15.0,0,0,Bulls
Goran Dragic,13.0,0,0,Bulls
Andre Drummond,6.0,0,0,Bulls
Dalen Terry,0.0,0,0,Bulls
Malcolm Hill,0.0,0,0,Bulls
Javonte Green,0.0,1,0,Bulls
Tony Bradley,0.0,1,0,Bulls
Lonzo Ball,0.0,1,0,Bulls
Jayson Tatum,36.0,0,0,Celtics
Jaylen Brown,35.0,0,0,Celtics
Derrick White,33.0,0,0,Celtics
Al Horford,26.0,0,0,Celtics
Robert Williams,21.0,0,0,Celtics
Malcolm Brogdon,28.0,0,0,Celtics
Grant Williams,25.0,0,0,Celtics
Payton Pritchard,19.0,0,0,Celtics
Sam Hauser,15.0,0,0,Celtics
Justin Jackson,3.0,0,0,Celtics
Blake Griffin,0.0,0,0,Celtics
Luke Kornet,0.0,0,0,Celtics
Marcus Smart,0.0,1,0,Celtics
D. Gallinari,0.0,1,0,Celtics
Giannis Antetokounmpo,35.0,0,0,Bucks
Brook Lopez,30.0,0,0,Bucks
Jrue Holiday,27.0,0,0,Bucks
Grayson Allen,27.0,0,0,Bucks
Pat Connaughton,22.0,0,0,Bucks
Bobby Portis,28.0,0,0,Bucks
Jevon Carter,19.0,0,0,Bucks
Joe Ingles,18.0,0,0,Bucks
MarJon Beauchamp,14.0,0,0,Bucks
AJ Green,14.0,0,0,Bucks
George Hill,6.0,0,0,Bucks
Wesley Matthews,0.0,0,0,Bucks
Jordan Nwora,0.0,0,0,Bucks
T. Antetokounmpo,0.0,0,0,Bucks
