name,minutes,OUT,GTD,team
Kyle Kuzma,38.0,0,0,Wizards
Bradley Beal,36.0,0,0,Wizards
Deni Avdija,29.0,0,0,Wizards
Delon Wright,29.0,0,0,Wizards
Daniel Gafford,29.0,0,0,Wizards
Corey Kispert,25.0,0,0,Wizards
Jordan Goodwin,19.0,0,0,Wizards
Kendrick Nunn,15.0,0,0,Wizards
Taj Gibson,12.0,0,0,Wizards
Anthony Gill,8.0,0,0,Wizards
K. Porzingis,0.0,0,1,Wizards
Monte Morris,0.0,1,0,Wizards
Trae Young,35.0,0,0,Hawks
Dejounte Murray,34.0,0,0,Hawks
De'Andre Hunter,28.0,0,0,Hawks
John Collins,26.0,0,0,Hawks
Clint Capela,23.0,0,0,Hawks
Bogdan Bogdanovic,27.0,0,0,Hawks
Saddiq Bey,27.0,0,0,Hawks
Onyeka Okongwu,23.0,0,0,Hawks
AJ Griffin,14.0,0,0,Hawks
Jalen Johnson,3.0,0,0,Hawks
Tyrese Martin,0.0,0,0,Hawks
Trent Forrest,0.0,0,0,Hawks
Aaron Holiday,0.0,0,0,Hawks
Vit Krejci,0.0,0,0,Hawks
Garrison Mathews,0.0,0,0,Hawks
Bruno Fernando,0.0,0,0,Hawks
Donovan Williams,0.0,0,0,Hawks
Jrue Holiday,33.0,0,0,Bucks
G. Antetokounmpo,31.0,0,1,Bucks
Brook Lopez,30.0,0,0,Bucks
Grayson Allen,26.0,0,0,Bucks
Jevon Carter,17.0,0,0,Bucks
Khris Middleton,25.0,0,0,Bucks
Bobby Portis,24.0,0,0,Bucks
Pat Connaughton,21.0,0,0,Bucks
Joe Ingles,18.0,0,0,Bucks
Jae Crowder,17.0,0,0,Bucks
Meyers Leonard,1.0,0,0,Bucks
MarJon Beauchamp,1.0,0,0,Bucks
AJ Green,0.0,0,0,Bucks
Sandro Mamukelashvili,0.0,0,0,Bucks
T. Antetokounmpo,0.0,0,0,Bucks
Wesley Matthews,0.0,1,0,Bucks
Mikal Bridges,36.0,0,0,Nets
Spencer Dinwiddie,35.0,0,0,Nets
Cameron Johnson,33.0,0,0,Nets
Dorian Finney-Smith,29.0,0,0,Nets
Nic Claxton,29.0,0,0,Nets
Cam Thomas,27.0,0,0,Nets
Royce O'Neale,23.0,0,0,Nets
Seth Curry,15.0,0,0,Nets
Joe Harris,13.0,0,0,Nets
Day'Ron Sharpe,0.0,0,0,Nets
Patty Mills,0.0,0,0,Nets
Yuta Watanabe,0.0,0,0,Nets
Dru Smith,0.0,0,0,Nets
Edmond Sumner,0.0,1,0,Nets
Ben Simmons,0.0,1,0,Nets
DeMar DeRozan,35.0,0,0,Bulls
Zach LaVine,35.0,0,0,Bulls
Nikola Vucevic,33.0,0,0,Bulls
Patrick Beverley,22.0,0,0,Bulls
Alex Caruso,21.0,0,0,Bulls
Patrick Williams,27.0,0,0,Bulls
Ayo Dosunmu,25.0,0,0,Bulls
Coby White,22.0,0,0,Bulls
Andre Drummond,13.0,0,0,Bulls
Derrick Jones,7.0,0,0,Bulls
Dalen Terry,0.0,0,0,Bulls
Terry Taylor,0.0,0,0,Bulls
Goran Dragic,0.0,1,0,Bulls
Javonte Green,0.0,1,0,Bulls
Scottie Barnes,37.0,0,0,Raptors
Pascal Siakam,36.0,0,0,Raptors
OG Anunoby,35.0,0,0,Raptors
Fred VanVleet,35.0,0,0,Raptors
Gary Trent,32.0,0,0,Raptors
Jakob Poeltl,27.0,0,0,Raptors
Precious Achiuwa,20.0,0,0,Raptors
Chris Boucher,19.0,0,0,Raptors
Jeff Dowtin,1.0,0,0,Raptors
Thaddeus Young,1.0,0,0,Raptors
Joe Wieskamp,0.0,0,0,Raptors
Malachi Flynn,0.0,0,0,Raptors
Christian Koloko,0.0,0,0,Raptors
Dalano Banton,0.0,0,0,Raptors
Juancho Hernangomez,0.0,0,0,Raptors
Anthony Davis,36.0,0,1,Lakers
Dennis Schroder,32.0,0,0,Lakers
Malik Beasley,32.0,0,0,Lakers
Troy Brown,28.0,0,0,Lakers
Jarred Vanderbilt,28.0,0,0,Lakers
Austin Reaves,27.0,0,0,Lakers
Rui Hachimura,26.0,0,0,Lakers
Mo Bamba,11.0,0,0,Lakers
Lonnie Walker,8.0,0,0,Lakers
Wenyen Gabriel,7.0,0,0,Lakers
Davon Reed,5.0,0,0,Lakers
D. Russell,0.0,0,1,Lakers
Max Christie,0.0,0,0,Lakers
