name,minutes,OUT,GTD,team
Dean Wade,34.0,0,0,Cavaliers
Ricky Rubio,32.0,0,0,Cavaliers
Lamar Stevens,32.0,0,0,Cavaliers
Robin Lopez,18.0,0,0,Cavaliers
Danny Green,14.0,0,0,Cavaliers
Cedi Osman,32.0,0,0,Cavaliers
Raul Neto,26.0,0,0,Cavaliers
Mamadi Diakite,20.0,0,0,Cavaliers
Sam Merrill,17.0,0,0,Cavaliers
Isaiah Mobley,15.0,0,0,Cavaliers
Darius Garland,0.0,1,0,Cavaliers
D. Mitchell,0.0,1,0,Cavaliers
Evan Mobley,0.0,1,0,Cavaliers
Caris LeVert,0.0,1,0,Cavaliers
Jarrett Allen,0.0,1,0,Cavaliers
Isaac Okoro,0.0,1,0,Cavaliers
Dylan Windler,0.0,1,0,Cavaliers
Paolo Banchero,34.0,0,0,Magic
Markelle Fultz,32.0,0,0,Magic
Franz Wagner,32.0,0,0,Magic
Wendell Carter,28.0,0,0,Magic
Gary Harris,25.0,0,0,Magic
Cole Anthony,29.0,0,0,Magic
Jalen Suggs,24.0,0,0,Magic
Moritz Wagner,14.0,0,0,Magic
Goga Bitadze,14.0,0,0,Magic
Caleb Houstan,8.0,0,0,Magic
Jay Scrubb,0.0,0,0,Magic
Kevon Harris,0.0,0,0,Magic
M. Carter-Williams,0.0,0,0,Magic
Admiral Schofield,0.0,0,0,Magic
Chuma Okeke,0.0,0,0,Magic
Bol Bol,0.0,0,0,Magic
Jimmy Butler,36.0,0,0,Heat
Tyler Herro,35.0,0,0,Heat
Bam Adebayo,35.0,0,1,Heat
Max Strus,24.0,0,0,Heat
Gabe Vincent,22.0,0,0,Heat
Caleb Martin,29.0,0,0,Heat
Kyle Lowry,26.0,0,1,Heat
Kevin Love,20.0,0,0,Heat
Cody Zeller,13.0,0,0,Heat
Victor Oladipo,0.0,0,0,Heat
Duncan Robinson,0.0,0,0,Heat
Haywood Highsmith,0.0,0,0,Heat
Omer Yurtseven,0.0,0,0,Heat
Udonis Haslem,0.0,0,0,Heat
Orlando Robinson,0.0,0,0,Heat
Jamal Cain,0.0,0,0,Heat
Nikola Jovic,0.0,1,0,Heat
James Harden,37.0,0,0,76ers
Tyrese Maxey,34.0,0,1,76ers
Joel Embiid,33.0,0,0,76ers
Tobias Harris,31.0,0,0,76ers
P.J. Tucker,21.0,0,1,76ers
D. Melton,25.0,0,1,76ers
Georges Niang,18.0,0,0,76ers
Jalen McDaniels,15.0,0,0,76ers
Paul Reed,12.0,0,0,76ers
Shake Milton,11.0,0,0,76ers
Danuel House,3.0,0,0,76ers
Dewayne Dedmon,0.0,0,0,76ers
Furkan Korkmaz,0.0,0,0,76ers
Montrezl Harrell,0.0,0,0,76ers
Shaedon Sharpe,35.0,0,1,Trail Blazers
Skylar Mays,33.0,0,0,Trail Blazers
Drew Eubanks,29.0,0,1,Trail Blazers
Trendon Watford,20.0,0,1,Trail Blazers
Cam Reddish,15.0,0,1,Trail Blazers
Kevin Knox,25.0,0,1,Trail Blazers
Jeenathan Williams,20.0,0,0,Trail Blazers
Shaquille Harrison,18.0,0,0,Trail Blazers
Justin Minaya,15.0,0,0,Trail Blazers
John Butler,15.0,0,0,Trail Blazers
Jabari Walker,15.0,0,0,Trail Blazers
M. Thybulle,0.0,0,1,Trail Blazers
Anfernee Simons,0.0,1,0,Trail Blazers
Keon Johnson,0.0,1,0,Trail Blazers
Nassir Little,0.0,1,0,Trail Blazers
Jusuf Nurkic,0.0,1,0,Trail Blazers
Jerami Grant,0.0,1,0,Trail Blazers
Ibou Badji,0.0,1,0,Trail Blazers
Keldon Johnson,33.0,0,1,Spurs
Zach Collins,31.0,0,1,Spurs
Malaki Branham,31.0,0,0,Spurs
Tre Jones,30.0,0,0,Spurs
Keita Bates-Diop,27.0,0,0,Spurs
Julian Champagnie,22.0,0,0,Spurs
Blake Wesley,18.0,0,0,Spurs
Sandro Mamukelashvili,17.0,0,0,Spurs
Romeo Langford,16.0,0,1,Spurs
Dominick Barlow,13.0,0,0,Spurs
Gorgui Dieng,2.0,0,0,Spurs
Devin Vassell,0.0,1,0,Spurs
Jeremy Sochan,0.0,1,0,Spurs
Devonte' Graham,0.0,1,0,Spurs
Doug McDermott,0.0,1,0,Spurs
Khem Birch,0.0,1,0,Spurs
S. Gilgeous-Alexander,37.0,0,0,Thunder
Luguentz Dort,36.0,0,1,Thunder
Jalen Williams,32.0,0,0,Thunder
