name,minutes,OUT,GTD,team
Mikal Bridges,39.0,0,0,Nets
Spencer Dinwiddie,34.0,0,0,Nets
Dorian Finney-Smith,33.0,0,0,Nets
Nic Claxton,33.0,0,0,Nets
Cameron Johnson,32.0,0,0,Nets
Royce O'Neale,27.0,0,0,Nets
Joe Harris,17.0,0,0,Nets
Seth Curry,9.0,0,0,Nets
Cam Thomas,5.0,0,0,Nets
Yuta Watanabe,4.0,0,0,Nets
Day'Ron Sharpe,4.0,0,0,Nets
David Duke,2.0,0,0,Nets
Patty Mills,0.0,0,0,Nets
Edmond Sumner,0.0,0,0,Nets
Moses Brown,0.0,0,0,Nets
Joel Embiid,38.0,0,0,76ers
James Harden,37.0,0,0,76ers
Tyrese Maxey,35.0,0,0,76ers
Tobias Harris,33.0,0,0,76ers
P.J. Tucker,24.0,0,0,76ers
De'Anthony Melton,19.0,0,0,76ers
Jalen McDaniels,17.0,0,0,76ers
Georges Niang,17.0,0,0,76ers
Danuel House,7.0,0,0,76ers
Paul Reed,4.0,0,0,76ers
Montrezl Harrell,2.0,0,0,76ers
Shake Milton,2.0,0,0,76ers
Furkan Korkmaz,2.0,0,0,76ers
Dewayne Dedmon,1.0,0,0,76ers
Jaden Springer,1.0,0,0,76ers
Trae Young,38.0,0,0,Hawks
Dejounte Murray,38.0,0,0,Hawks
De'Andre Hunter,34.0,0,0,Hawks
John Collins,32.0,0,0,Hawks
Clint Capela,26.0,0,0,Hawks
Bogdan Bogdanovic,26.0,0,0,Hawks
Saddiq Bey,23.0,0,0,Hawks
Onyeka Okongwu,19.0,0,0,Hawks
AJ Griffin,2.0,0,0,Hawks
Jalen Johnson,1.0,0,0,Hawks
Vit Krejci,1.0,0,0,Hawks
Aaron Holiday,0.0,0,0,Hawks
Garrison Mathews,0.0,0,0,Hawks
Bruno Fernando,0.0,0,0,Hawks
Tyrese Martin,0.0,0,0,Hawks
Jayson Tatum,38.0,0,0,Celtics
Jaylen Brown,37.0,0,0,Celtics
Marcus Smart,32.0,0,0,Celtics
Derrick White,26.0,0,0,Celtics
Al Horford,26.0,0,0,Celtics
Malcolm Brogdon,23.0,0,0,Celtics
Robert Williams,23.0,0,0,Celtics
Grant Williams,18.0,0,0,Celtics
Mike Muscala,7.0,0,0,Celtics
Blake Griffin,5.0,0,0,Celtics
Luke Kornet,4.0,0,0,Celtics
Sam Hauser,2.0,0,0,Celtics
Payton Pritchard,0.0,0,0,Celtics
Justin Champagnie,0.0,0,0,Celtics
D. Gallinari,0.0,1,0,Celtics
Julius Randle,38.0,0,0,Knicks
Jalen Brunson,38.0,0,0,Knicks
RJ Barrett,34.0,0,0,Knicks
Mitchell Robinson,25.0,0,0,Knicks
Quentin Grimes,21.0,0,0,Knicks
Josh Hart,28.0,0,0,Knicks
Immanuel Quickley,26.0,0,0,Knicks
Isaiah Hartenstein,17.0,0,0,Knicks
Obi Toppin,10.0,0,0,Knicks
Miles McBride,2.0,0,0,Knicks
Jericho Sims,1.0,0,0,Knicks
Evan Fournier,0.0,0,0,Knicks
Derrick Rose,0.0,0,0,Knicks
DaQuan Jeffries,0.0,0,0,Knicks
Donovan Mitchell,39.0,0,0,Cavaliers
Evan Mobley,39.0,0,0,Cavaliers
Darius Garland,38.0,0,0,Cavaliers
Jarrett Allen,35.0,0,0,Cavaliers
Isaac Okoro,31.0,0,0,Cavaliers
Caris LeVert,26.0,0,0,Cavaliers
Ricky Rubio,14.0,0,0,Cavaliers
Dean Wade,14.0,0,0,Cavaliers
Lamar Stevens,7.0,0,0,Cavaliers
Cedi Osman,4.0,0,0,Cavaliers
Raul Neto,1.0,0,0,Cavaliers
Sam Merrill,1.0,0,0,Cavaliers
Danny Green,1.0,0,0,Cavaliers
Robin Lopez,0.0,0,0,Cavaliers
Dylan Windler,0.0,1,0,Cavaliers
Stephen Curry,38.0,0,0,Warriors
Klay Thompson,36.0,0,0,Warriors
Draymond Green,33.0,0,0,Warriors
Andrew Wiggins,25.0,0,0,Warriors
Kevon Looney,25.0,0,0,Warriors
Jordan Poole,27.0,0,0,Warriors
Donte DiVincenzo,23.0,0,0,Warriors
Jonathan Kuminga,16.0,0,0,Warriors
Gary Payton,14.0,0,0,Warriors
Anthony Lamb,2.0,0,0,Warriors
Moses Moody,1.0,0,0,Warriors
JaMychal Green,0.0,0,0,Warriors
Patrick Baldwin,0.0,0,0,Warriors
Andre Iguodala,0.0,1,0,Warriors
De'Aaron Fox,38.0,0,0,Kings
Domantas Sabonis,37.0,0,0,Kings
Keegan Murray,32.0,0,0,Kings
Harrison Barnes,30.0,0,0,Kings
Kevin Huerter,26.0,0,0,Kings
Malik Monk,21.0,0,0,Kings
Trey Lyles,15.0,0,0,Kings
Davion Mitchell,15.0,0,0,Kings
Kessler Edwards,11.0,0,0,Kings
Alex Len,11.0,0,0,Kings
Terence Davis,2.0,0,0,Kings
Chimezie Metu,2.0,0,0,Kings
Richaun Holmes,1.0,0,0,Kings
P.J. Dozier,0.0,0,0,Kings
M. Dellavedova,0.0,1,0,Kings
