Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1,Precious Achiuwa,C,23,TOR,52,1069,14.5,.544,.263,.323,9.2,23.6,15.9,6.5,1.3,2.6,11.6,19.2,,0.6,1.3,1.9,.084,,-1.8,-0.9,-2.7,-0.2
2,Steven Adams,C,29,MEM,42,1133,17.5,.564,.004,.490,20.1,25.2,22.6,11.2,1.5,3.7,19.8,14.6,,1.3,2.1,3.4,.145,,-0.3,0.9,0.5,0.7
3,Bam Adebayo,C,25,MIA,73,2566,20.0,.592,.011,.365,7.9,23.7,15.5,16.1,1.7,2.4,12.8,25.3,,3.4,3.8,7.2,.135,,0.7,0.8,1.4,2.2
4,Ochai Agbaji,SG,22,UTA,56,1117,9.9,.585,.624,.188,4.1,7.1,5.6,6.7,0.6,1.1,8.7,14.6,,1.2,0.4,1.6,.067,,-1.2,-1.4,-2.6,-0.2
5,Santi Aldama,PF,22,MEM,76,1674,14.0,.594,.509,.276,5.4,17.9,11.7,7.6,1.3,2.6,9.3,16.0,,2.2,2.5,4.6,.133,,-0.3,0.8,0.5,1.1
6,Nickeil Alexander-Walker,SG,24,TOT,57,851,11.3,.556,.530,.212,1.8,10.9,6.5,16.6,1.7,2.0,14.6,17.9,,0.2,0.8,1.0,.056,,-1.6,0.4,-1.1,0.2
6,Nickeil Alexander-Walker,SG,24,UTA,36,528,13.0,.609,.512,.229,1.7,10.3,6.1,20.0,2.2,2.2,19.4,18.4,,0.3,0.5,0.8,.074,,-0.6,1.1,0.5,0.3
6,Nickeil Alexander-Walker,SG,24,MIN,21,323,8.6,.474,.558,.186,2.1,11.9,7.1,11.0,1.0,1.6,6.1,17.2,,-0.1,0.3,0.2,.027,,-3.1,-0.6,-3.7,-0.1
7,Grayson Allen,SG,27,MIL,72,1972,12.3,.612,.657,.226,3.4,8.9,6.2,10.9,1.5,0.6,10.5,14.6,,2.9,2.3,5.1,.124,,-0.6,0.7,0.1,1.0
8,Jarrett Allen,C,24,CLE,67,2208,20.0,.671,.014,.355,11.7,23.6,17.6,7.5,1.2,3.4,11.3,16.4,,5.5,3.9,9.4,.205,,1.3,1.0,2.4,2.4
