name,minutes,OUT,GTD,team
Killian Hayes,34.0,0,0,Pistons
Jaden Ivey,33.0,0,0,Pistons
Isaiah Livers,30.0,0,1,Pistons
Marvin Bagley,26.0,0,1,Pistons
James Wiseman,20.0,0,0,Pistons
Cory Joseph,26.0,0,0,Pistons
Eugene Omoruyi,20.0,0,1,Pistons
Jalen Duren,20.0,0,0,Pistons
R.J. Hampton,17.0,0,0,Pistons
Jared Rhoden,10.0,0,0,Pistons
Buddy Boeheim,4.0,0,0,Pistons
Rodney McGruder,0.0,1,0,Pistons
B. Bogdanovic,0.0,1,0,Pistons
Hamidou Diallo,0.0,1,0,Pistons
Isaiah Stewart,0.0,1,0,Pistons
Alec Burks,0.0,1,0,Pistons
Bennedict Mathurin,30.0,0,0,Pacers
Andrew Nembhard,30.0,0,0,Pacers
Aaron Nesmith,26.0,0,0,Pacers
Myles Turner,25.0,0,1,Pacers
Jordan Nwora,23.0,0,0,Pacers
Buddy Hield,29.0,0,0,Pacers
T.J. McConnell,24.0,0,1,Pacers
Jalen Smith,20.0,0,1,Pacers
Isaiah Jackson,18.0,0,0,Pacers
Gabe York,10.0,0,0,Pacers
Oshae Brissett,4.0,0,0,Pacers
James Johnson,1.0,0,0,Pacers
George Hill,0.0,0,0,Pacers
Daniel Theis,0.0,0,0,Pacers
T. Haliburton,0.0,1,0,Pacers
Chris Duarte,0.0,1,0,Pacers
Bam Adebayo,37.0,0,0,Heat
Jimmy Butler,34.0,0,0,Heat
Tyler Herro,33.0,0,0,Heat
Max Strus,31.0,0,0,Heat
Gabe Vincent,25.0,0,0,Heat
Caleb Martin,33.0,0,0,Heat
Kevin Love,19.0,0,0,Heat
Haywood Highsmith,13.0,0,0,Heat
Duncan Robinson,7.0,0,0,Heat
Victor Oladipo,5.0,0,0,Heat
Omer Yurtseven,3.0,0,0,Heat
Cody Zeller,0.0,0,0,Heat
Jamal Cain,0.0,0,0,Heat
Orlando Robinson,0.0,0,0,Heat
Nikola Jovic,0.0,0,1,Heat
Udonis Haslem,0.0,0,0,Heat
Kyle Lowry,0.0,1,0,Heat
Johnny Davis,34.0,0,0,Wizards
Corey Kispert,33.0,0,0,Wizards
Delon Wright,32.0,0,0,Wizards
Daniel Gafford,28.0,0,0,Wizards
Anthony Gill,22.0,0,0,Wizards
Jay Huff,29.0,0,0,Wizards
Xavier Cooks,20.0,0,0,Wizards
Jordan Goodwin,20.0,0,0,Wizards
Kendrick Nunn,14.0,0,0,Wizards
Quenton Jackson,5.0,0,0,Wizards
Taj Gibson,4.0,0,0,Wizards
Isaiah Todd,0.0,0,0,Wizards
Kyle Kuzma,0.0,1,0,Wizards
K. Porzingis,0.0,1,0,Wizards
Deni Avdija,0.0,1,0,Wizards
Bradley Beal,0.0,1,0,Wizards
Monte Morris,0.0,1,0,Wizards
Jabari Smith,36.0,0,0,Rockets
Kevin Porter,35.0,0,0,Rockets
Jalen Green,34.0,0,0,Rockets
Kenyon Martin,33.0,0,0,Rockets
Alperen Sengun,31.0,0,0,Rockets
Tari Eason,28.0,0,0,Rockets
Daishen Nix,15.0,0,0,Rockets
Usman Garuba,15.0,0,0,Rockets
Josh Christopher,13.0,0,0,Rockets
Boban Marjanovic,0.0,0,0,Rockets
Frank Kaminsky,0.0,0,0,Rockets
D.J. Augustin,0.0,0,0,Rockets
Jae'Sean Tate,0.0,1,0,Rockets
Bryce McGowens,34.0,0,0,Hornets
Svi Mykhailiuk,32.0,0,0,Hornets
JT Thor,32.0,0,0,Hornets
Mark Williams,28.0,0,1,Hornets
Theo Maledon,20.0,0,0,Hornets
Kai Jones,28.0,0,0,Hornets
Nick Richards,27.0,0,0,Hornets
Dennis Smith,22.0,0,1,Hornets
Xavier Sneed,12.0,0,0,Hornets
James Bouknight,5.0,0,0,Hornets
Kobi Simmons,0.0,0,0,Hornets
P.J. Washington,0.0,1,0,Hornets
Terry Rozier,0.0,1,0,Hornets
Gordon Hayward,0.0,1,0,Hornets
Kelly Oubre,0.0,1,0,Hornets
Cody Martin,0.0,1,0,Hornets
James Harden,37.0,0,0,76ers
Tyrese Maxey,34.0,0,1,76ers
Tobias Harris,31.0,0,0,76ers
P.J. Tucker,27.0,0,0,76ers
Dewayne Dedmon,7.0,0,0,76ers
D. Melton,25.0,0,1,76ers
Georges Niang,18.0,0,0,76ers
Danuel House,16.0,0,0,76ers
Jalen McDaniels,15.0,0,0,76ers
Paul Reed,12.0,0,0,76ers
Shake Milton,11.0,0,0,76ers
Montrezl Harrell,7.0,0,0,76ers
Furkan Korkmaz,0.0,0,0,76ers
Joel Embiid,0.0,1,0,76ers
Dejounte Murray,35.0,0,0,Hawks
Trae Young,32.0,0,0,Hawks
John Collins,29.0,0,0,Hawks
De'Andre Hunter,28.0,0,1,Hawks
Clint Capela,26.0,0,0,Hawks
Bogdan Bogdanovic,24.0,0,0,Hawks
Saddiq Bey,24.0,0,0,Hawks
Onyeka Okongwu,19.0,0,0,Hawks
AJ Griffin,15.0,0,0,Hawks
Aaron Holiday,5.0,0,0,Hawks
Garrison Mathews,3.0,0,0,Hawks
Jalen Johnson,0.0,0,0,Hawks
Donovan Williams,0.0,0,0,Hawks
Trent Forrest,0.0,0,0,Hawks
Vit Krejci,0.0,0,0,Hawks
Bruno Fernando,0.0,0,0,Hawks
Tyrese Martin,0.0,0,0,Hawks
Pascal Siakam,37.0,0,0,Raptors
Fred VanVleet,36.0,0,0,Raptors
Scottie Barnes,36.0,0,0,Raptors
OG Anunoby,33.0,0,0,Raptors
Jakob Poeltl,29.0,0,0,Raptors
Gary Trent,28.0,0,0,Raptors
Chris Boucher,18.0,0,0,Raptors
Precious Achiuwa,12.0,0,0,Raptors
Will Barton,11.0,0,0,Raptors
Christian Koloko,0.0,0,0,Raptors
Malachi Flynn,0.0,0,0,Raptors
Ron Harper,0.0,0,0,Raptors
Dalano Banton,0.0,0,0,Raptors
Joe Wieskamp,0.0,0,0,Raptors
Thaddeus Young,0.0,0,0,Raptors
Jayson Tatum,37.0,0,0,Celtics
Jaylen Brown,35.0,0,0,Celtics
Marcus Smart,31.0,0,1,Celtics
Derrick White,28.0,0,1,Celtics
Al Horford,25.0,0,0,Celtics
Malcolm Brogdon,25.0,0,1,Celtics
Grant Williams,19.0,0,0,Celtics
Robert Williams,15.0,0,0,Celtics
